FileSize,FileCount,Bandwidth,RTT,BufferSize,Parallelism,Concurrency,Pipelining,Fast,Throughput,Duration,Date,Time,Source,Destination
3131997,3429,10000,0.08,33554432,1,1,1,0,201.4981498,406.637939,3/31/15,57:22.9,Blacklight,Trestles
3131997,3429,10000,0.08,33554432,1,1,2,0,280.9311075,291.66152,3/31/15,04:09.5,Blacklight,Trestles
3131997,3429,10000,0.08,33554432,1,1,4,0,184.6113215,443.8340418,3/31/15,09:01.2,Blacklight,Trestles
3131997,3429,10000,0.08,33554432,1,1,8,0,263.5905387,310.848773,3/31/15,16:25.0,Blacklight,Trestles
3131997,3429,10000,0.08,33554432,1,1,16,0,342.0575672,239.5409629,3/31/15,21:35.9,Blacklight,Trestles
3131997,3429,10000,0.08,33554432,1,1,32,0,233.3391947,351.1488621,3/31/15,25:35.4,Blacklight,Trestles
3131997,3429,10000,0.08,33554432,1,2,1,0,171.8945767,476.6688409,3/31/15,31:26.6,Blacklight,Trestles
3131997,3429,10000,0.08,33554432,1,2,2,0,213.1615071,384.3883018,3/31/15,39:23.2,Blacklight,Trestles
3131997,3429,10000,0.08,33554432,1,2,4,0,418.0279552,196.0079401,3/31/15,45:47.6,Blacklight,Trestles
3131997,3429,10000,0.08,33554432,1,2,8,0,528.9131273,154.9154279,3/31/15,49:03.6,Blacklight,Trestles
3131997,3429,10000,0.08,33554432,1,2,16,0,385.2911088,212.6620491,3/31/15,51:38.5,Blacklight,Trestles
3131997,3429,10000,0.08,33554432,1,2,32,0,463.7563759,176.6807041,3/31/15,55:11.2,Blacklight,Trestles
3131997,3429,10000,0.08,33554432,1,4,1,0,225.1463036,363.9268751,3/31/15,58:07.9,Blacklight,Trestles
3131997,3429,10000,0.08,33554432,1,4,2,0,567.9805951,144.259867,3/31/15,04:11.8,Blacklight,Trestles
3131997,3429,10000,0.08,33554432,1,4,4,0,312.2734127,262.3880041,3/31/15,06:36.1,Blacklight,Trestles
3131997,3429,10000,0.08,33554432,1,4,8,0,563.3173173,145.454093,3/31/15,10:58.5,Blacklight,Trestles
3131997,3429,10000,0.08,33554432,1,4,16,0,527.0455668,155.4643731,3/31/15,13:23.9,Blacklight,Trestles
3131997,3429,10000,0.08,33554432,1,4,32,0,385.140931,212.7449732,3/31/15,15:59.4,Blacklight,Trestles
3131997,3429,10000,0.08,33554432,1,8,1,0,226.5312543,361.7019231,3/31/15,19:32.1,Blacklight,Trestles
3131997,3429,10000,0.08,33554432,1,8,2,0,638.8974814,128.2472031,3/31/15,25:33.8,Blacklight,Trestles
3131997,3429,10000,0.08,33554432,1,8,4,0,883.995866,92.68914318,3/31/15,27:42.1,Blacklight,Trestles
3131997,3429,10000,0.08,33554432,1,8,8,0,706.7105163,115.941124,3/31/15,29:14.8,Blacklight,Trestles
3131997,3429,10000,0.08,33554432,1,8,16,0,479.4351641,170.9027839,3/31/15,31:10.7,Blacklight,Trestles
3131997,3429,10000,0.08,33554432,1,8,32,0,695.0721238,117.8824701,3/31/15,34:01.6,Blacklight,Trestles
3131997,3429,10000,0.08,33554432,1,16,1,0,923.1759888,88.75536108,3/31/15,35:59.5,Blacklight,Trestles
3131997,3429,10000,0.08,33554432,1,16,2,0,790.0342745,103.7129872,3/31/15,37:28.2,Blacklight,Trestles
3131997,3429,10000,0.08,33554432,1,16,4,0,1137.094021,72.05811691,3/31/15,39:11.9,Blacklight,Trestles
3131997,3429,10000,0.08,33554432,1,16,8,0,931.7780055,87.935987,3/31/15,40:24.0,Blacklight,Trestles
3131997,3429,10000,0.08,33554432,1,16,16,0,740.1508309,110.7028592,3/31/15,41:51.9,Blacklight,Trestles
3131997,3429,10000,0.08,33554432,1,16,32,0,987.5077188,82.97334695,3/31/15,43:42.6,Blacklight,Trestles
