FileSize,FileCount,Bandwidth,RTT,BufferSize,Parallelism,Concurrency,Pipelining,Fast,Throughput,Duration,Date,Time,Source,Destination
3136594,3424,10000000000,0.044,33554432,1,1,1,0,426.968718455,191.904987812,2015-04-10,11:11:55.293224,Stampede,Blacklight
3136594,3424,10000000000,0.044,33554432,1,1,2,0,463.217066953,176.887784004,2015-04-10,11:15:07.198281,Stampede,Blacklight
3136594,3424,10000000000,0.044,33554432,1,1,4,0,569.364202938,143.910399914,2015-04-10,11:18:04.086166,Stampede,Blacklight
3136594,3424,10000000000,0.044,33554432,1,1,8,0,483.486787986,169.471903086,2015-04-10,11:20:27.996614,Stampede,Blacklight
3136594,3424,10000000000,0.044,33554432,1,1,16,0,404.75157765,202.438797951,2015-04-10,11:23:17.468569,Stampede,Blacklight
3136594,3424,10000000000,0.044,33554432,1,1,32,0,445.338575707,183.989056826,2015-04-10,11:26:39.907420,Stampede,Blacklight
3136594,3424,10000000000,0.044,33554432,1,2,1,0,510.7817972,160.415745974,2015-04-10,11:29:43.896543,Stampede,Blacklight
3136594,3424,10000000000,0.044,33554432,1,2,2,0,562.434878228,145.683409929,2015-04-10,11:32:24.312384,Stampede,Blacklight
3136594,3424,10000000000,0.044,33554432,1,2,4,0,546.858487392,149.832999945,2015-04-10,11:34:49.995847,Stampede,Blacklight
3136594,3424,10000000000,0.044,33554432,1,2,8,0,764.934414408,107.116945982,2015-04-10,11:37:19.828939,Stampede,Blacklight
3136594,3424,10000000000,0.044,33554432,1,2,16,0,593.922599653,137.959806919,2015-04-10,11:39:06.945944,Stampede,Blacklight
3136594,3424,10000000000,0.044,33554432,1,2,32,0,552.671058802,148.257153034,2015-04-10,11:41:24.905843,Stampede,Blacklight
3136594,3424,10000000000,0.044,33554432,1,4,1,0,803.144952828,102.020735025,2015-04-10,11:43:53.163068,Stampede,Blacklight
3136594,3424,10000000000,0.044,33554432,1,4,2,0,873.091747596,93.8474581242,2015-04-10,11:45:35.183857,Stampede,Blacklight
3136594,3424,10000000000,0.044,33554432,1,4,4,0,953.94778194,85.8930151463,2015-04-10,11:47:09.031369,Stampede,Blacklight
3136594,3424,10000000000,0.044,33554432,1,4,8,0,1073.80212251,76.3059110641,2015-04-10,11:48:34.924439,Stampede,Blacklight
3136594,3424,10000000000,0.044,33554432,1,4,16,0,948.29973457,86.4045901299,2015-04-10,11:49:51.230404,Stampede,Blacklight
