FileSize,FileCount,Bandwidth,RTT,BufferSize,Parallelism,Concurrency,Pipelining,Fast,Throughput,Duration,Date,Time,Source,Destination
3137508,3424,10000000000,0.04,33554432,1,1,1,0,148.95258572,550.250858068,2015-08-08,15:49:30.398143,Stampede,Gordon
3137508,3424,10000000000,0.04,33554432,1,1,2,0,220.429143668,371.82602191,2015-08-08,15:58:40.649073,Stampede,Gordon
3137508,3424,10000000000,0.04,33554432,1,1,4,0,216.396282325,378.755572081,2015-08-08,16:04:52.475147,Stampede,Gordon
3137508,3424,10000000000,0.04,33554432,1,1,8,0,204.375315924,401.033221006,2015-08-08,16:11:11.230850,Stampede,Gordon
3137508,3424,10000000000,0.04,33554432,1,1,16,0,197.012875969,416.020001888,2015-08-08,16:17:52.264124,Stampede,Gordon
3137508,3424,10000000000,0.04,33554432,1,1,32,0,223.213136883,367.188503981,2015-08-08,16:24:48.284215,Stampede,Gordon
3137508,3424,10000000000,0.04,33554432,1,2,1,0,334.615009071,244.94207406,2015-08-08,16:30:55.472857,Stampede,Gordon
3137508,3424,10000000000,0.04,33554432,1,2,2,0,393.146058144,208.475469828,2015-08-08,16:35:00.414976,Stampede,Gordon
3137508,3424,10000000000,0.04,33554432,1,2,4,0,441.374413272,185.695655107,2015-08-08,16:38:28.890546,Stampede,Gordon
3137508,3424,10000000000,0.04,33554432,1,2,8,0,416.061643517,196.993158102,2015-08-08,16:41:34.586290,Stampede,Gordon
3137508,3424,10000000000,0.04,33554432,1,2,16,0,337.161975698,243.091753006,2015-08-08,16:44:51.579494,Stampede,Gordon
3137508,3424,10000000000,0.04,33554432,1,2,32,0,429.762620397,190.712951899,2015-08-08,16:48:54.671308,Stampede,Gordon
3137508,3424,10000000000,0.04,33554432,1,4,1,0,714.493511046,114.712498188,2015-08-08,16:52:05.384317,Stampede,Gordon
3137508,3424,10000000000,0.04,33554432,1,4,2,0,821.392129497,99.7834508419,2015-08-08,16:54:00.096924,Stampede,Gordon
3137508,3424,10000000000,0.04,33554432,1,4,4,0,816.312614561,100.404322147,2015-08-08,16:55:39.880471,Stampede,Gordon
3137508,3424,10000000000,0.04,33554432,1,4,8,0,777.929151834,105.358322859,2015-08-08,16:57:20.284840,Stampede,Gordon
3137508,3424,10000000000,0.04,33554432,1,4,16,0,823.258969079,99.5571808815,2015-08-08,16:59:05.643212,Stampede,Gordon
3137508,3424,10000000000,0.04,33554432,1,4,32,0,718.849606763,114.01731801,2015-08-08,17:00:45.200495,Stampede,Gordon
3137508,3424,10000000000,0.04,33554432,1,8,1,0,1103.97833232,74.2418041229,2015-08-08,17:02:39.217864,Stampede,Gordon
3137508,3424,10000000000,0.04,33554432,1,8,2,0,1159.56586987,70.682790041,2015-08-08,17:03:53.459744,Stampede,Gordon
3137508,3424,10000000000,0.04,33554432,1,8,4,0,1341.78790647,61.0837118626,2015-08-08,17:05:04.142617,Stampede,Gordon
3137508,3424,10000000000,0.04,33554432,1,8,8,0,1385.91116333,59.1389930248,2015-08-08,17:06:05.226433,Stampede,Gordon
3137508,3424,10000000000,0.04,33554432,1,8,16,0,1083.27639487,75.6606140137,2015-08-08,17:07:04.365528,Stampede,Gordon
3137508,3424,10000000000,0.04,33554432,1,8,32,0,1343.9468908,60.9855451584,2015-08-08,17:08:20.026226,Stampede,Gordon
3137508,3424,10000000000,0.04,33554432,1,16,1,0,1957.38357027,41.8729419708,2015-08-08,17:09:21.011830,Stampede,Gordon
