FileSize,FileCount,Bandwidth,RTT,BufferSize,Parallelism,Concurrency,Pipelining,Fast,Throughput,Duration,Date,Time,Source,Destination,Note
104857664,64,10000,0.04,33554432,1,1,1,1,1117.53360356,45.8152589798,2014-11-05,19:36:04.807831,Stampede,Gordon/Oasis,BS=32MB
104857664,64,10000,0.04,33554432,1,1,1,0,496.096173668,103.2059021,2014-11-05,19:36:50.624118,Stampede,Gordon/Oasis,BW=10GB
104857664,64,10000,0.04,33554432,1,1,2,1,756.260775967,67.7016260624,2014-11-05,19:38:33.830928,Stampede,Gordon/Oasis,RTT=40msec
104857664,64,10000,0.04,33554432,1,1,4,1,1372.23493282,37.3114519119,2014-11-05,19:42:35.359354,Stampede,Gordon/Oasis,
104857664,64,10000,0.04,33554432,1,1,4,0,484.119232312,105.759175062,2014-11-05,19:43:12.670924,Stampede,Gordon/Oasis,
104857664,64,10000,0.04,33554432,1,1,8,1,892.5973681,57.3607671261,2014-11-05,19:44:58.430956,Stampede,Gordon/Oasis,
104857664,64,10000,0.04,33554432,1,1,8,0,313.994907597,163.060107946,2014-11-05,19:45:55.792824,Stampede,Gordon/Oasis,
104857664,64,10000,0.04,33554432,1,1,16,1,1352.64602388,37.8518049717,2014-11-05,19:48:38.863296,Stampede,Gordon/Oasis,
104857664,64,10000,0.04,33554432,1,1,16,0,476.617124118,107.423851967,2014-11-05,19:49:16.716043,Stampede,Gordon/Oasis,
104857664,64,10000,0.04,33554432,1,1,32,1,823.214641736,62.1952939034,2014-11-05,19:51:04.140924,Stampede,Gordon/Oasis,
104857664,64,10000,0.04,33554432,1,1,32,0,307.319228215,166.602146149,2014-11-05,19:52:06.336337,Stampede,Gordon/Oasis,
104857664,64,10000,0.04,33554432,1,2,1,1,943.994748302,54.2376790047,2014-11-05,19:54:52.947432,Stampede,Gordon/Oasis,
104857664,64,10000,0.04,33554432,1,2,1,0,931.555328304,54.9619240761,2014-11-05,19:55:47.185244,Stampede,Gordon/Oasis,
104857664,64,10000,0.04,33554432,1,2,2,1,947.714776111,54.0247662067,2014-11-05,19:56:42.148069,Stampede,Gordon/Oasis,
104857664,64,10000,0.04,33554432,1,2,2,0,824.573767719,62.0927708149,2014-11-05,19:57:36.172949,Stampede,Gordon/Oasis,
104857664,64,10000,0.04,33554432,1,2,4,1,749.626128103,68.300796032,2014-11-05,19:58:38.266908,Stampede,Gordon/Oasis,
104857664,64,10000,0.04,33554432,1,2,4,0,808.199124347,63.3508081436,2014-11-05,19:59:46.567814,Stampede,Gordon/Oasis,
104857664,64,10000,0.04,33554432,1,2,8,1,725.906856341,70.5325419903,2014-11-05,20:00:49.918764,Stampede,Gordon/Oasis,
104857664,64,10000,0.04,33554432,1,2,8,0,797.870624515,64.1708858013,2014-11-05,20:02:00.452318,Stampede,Gordon/Oasis,
104857664,64,10000,0.04,33554432,1,2,16,1,761.790832319,67.2101330757,2014-11-05,20:03:04.623338,Stampede,Gordon/Oasis,
104857664,64,10000,0.04,33554432,1,2,16,0,779.48681761,65.684319973,2014-11-05,20:04:11.834460,Stampede,Gordon/Oasis,
104857664,64,10000,0.04,33554432,1,2,32,1,599.707843393,85.3750009537,2014-11-05,20:05:17.523886,Stampede,Gordon/Oasis,
104857664,64,10000,0.04,33554432,1,2,32,0,866.180481993,59.1101570129,2014-11-05,20:06:42.899978,Stampede,Gordon/Oasis,
104857664,64,10000,0.04,33554432,1,4,1,1,1306.24970911,39.1962490082,2014-11-05,20:07:42.010262,Stampede,Gordon/Oasis,
104857664,64,10000,0.04,33554432,1,4,1,0,958.073302709,53.4406659603,2014-11-05,20:08:21.206644,Stampede,Gordon/Oasis,
104857664,64,10000,0.04,33554432,1,4,2,1,1193.45814671,42.9006071091,2014-11-05,20:09:14.648291,Stampede,Gordon/Oasis,
104857664,64,10000,0.04,33554432,1,4,2,0,1410.13910098,36.3085389137,2014-11-05,20:09:57.549012,Stampede,Gordon/Oasis,
104857664,64,10000,0.04,33554432,1,4,4,1,1255.58513979,40.7778701782,2014-11-05,20:10:33.858775,Stampede,Gordon/Oasis,
104857664,64,10000,0.04,33554432,1,4,4,0,874.109725208,58.5739588737,2014-11-05,20:11:14.636766,Stampede,Gordon/Oasis,
104857664,64,10000,0.04,33554432,1,4,8,1,995.329675923,51.4403400421,2014-11-05,20:12:13.210839,Stampede,Gordon/Oasis,
