FileSize,FileCount,Bandwidth,RTT,BufferSize,Parallelism,Concurrency,Pipelining,Fast,Throughput,Duration,Date,Time,Source,Destination,Note
3221225984,8,10000,0.04,33554432,1,1,1,1,1468.68262415,133.867007971,2014-11-19,09:00:42.897591,Stampede,Gordon/Oasis,BS=32MB
3221225984,8,10000,0.04,33554432,1,1,1,0,1076.09244679,182.705568075,2014-11-19,09:02:56.765979,Stampede,Gordon/Oasis,BW=10GB
3221225984,8,10000,0.04,33554432,1,1,2,1,1151.76317606,170.701864958,2014-11-19,09:05:59.487457,Stampede,Gordon/Oasis,RTT=40msec
3221225984,8,10000,0.04,33554432,1,1,2,0,1296.66713604,151.62572217,2014-11-19,09:08:50.207000,Stampede,Gordon/Oasis,
3221225984,8,10000,0.04,33554432,1,1,4,1,1489.44795705,132.000684977,2014-11-19,09:11:21.844837,Stampede,Gordon/Oasis,
3221225984,8,10000,0.04,33554432,1,1,4,0,1062.60840716,185.02402091,2014-11-19,09:13:33.845813,Stampede,Gordon/Oasis,
3221225984,8,10000,0.04,33554432,1,1,8,1,1621.34729594,121.262207031,2014-11-19,09:16:38.877362,Stampede,Gordon/Oasis,
3221225984,8,10000,0.04,33554432,1,1,8,0,1069.48656195,183.834081173,2014-11-19,09:18:40.139818,Stampede,Gordon/Oasis,
3221225984,8,10000,0.04,33554432,1,1,16,1,1650.14893614,119.145682096,2014-11-19,09:21:43.986421,Stampede,Gordon/Oasis,
3221225984,8,10000,0.04,33554432,1,1,16,0,817.020021894,240.640483856,2014-11-19,09:23:43.135455,Stampede,Gordon/Oasis,
3221225984,8,10000,0.04,33554432,1,1,32,1,971.885884977,202.295430899,2014-11-19,09:27:43.791213,Stampede,Gordon/Oasis,
3221225984,8,10000,0.04,33554432,1,1,32,0,1555.93299966,126.36026001,2014-11-19,09:31:06.099958,Stampede,Gordon/Oasis,
3221225984,8,10000,0.04,33554432,1,2,1,1,1236.7574164,158.97061491,2014-11-19,09:33:12.460349,Stampede,Gordon/Oasis,
3221225984,8,10000,0.04,33554432,1,2,1,0,1104.74004963,177.967743874,2014-11-19,09:35:51.443782,Stampede,Gordon/Oasis,
3221225984,8,10000,0.04,33554432,1,2,2,1,1320.32106518,148.909307003,2014-11-19,09:38:49.421263,Stampede,Gordon/Oasis,
3221225984,8,10000,0.04,33554432,1,2,2,0,1277.37875721,153.915263176,2014-11-19,09:41:18.342738,Stampede,Gordon/Oasis,
3221225984,8,10000,0.04,33554432,1,2,4,1,1122.43546059,175.162045002,2014-11-19,09:43:52.258140,Stampede,Gordon/Oasis,
3221225984,8,10000,0.04,33554432,1,2,4,0,1329.19393177,147.915277958,2014-11-19,09:46:47.432951,Stampede,Gordon/Oasis,
3221225984,8,10000,0.04,33554432,1,2,8,1,1430.8220472,137.409196138,2014-11-19,09:49:15.348368,Stampede,Gordon/Oasis,
3221225984,8,10000,0.04,33554432,1,2,8,0,567.336570409,346.545705795,2014-11-19,09:51:32.776903,Stampede,Gordon/Oasis,
3221225984,8,10000,0.04,33554432,1,2,16,1,1606.56813353,122.377690077,2014-11-19,09:57:19.333785,Stampede,Gordon/Oasis,
3221225984,8,10000,0.04,33554432,1,2,16,0,1306.91125878,150.437216043,2014-11-19,09:59:21.722980,Stampede,Gordon/Oasis,
3221225984,8,10000,0.04,33554432,1,2,32,1,1590.30040485,123.629533052,2014-11-19,10:01:52.177851,Stampede,Gordon/Oasis,
3221225984,8,10000,0.04,33554432,1,2,32,0,1675.92168973,117.313414097,2014-11-19,10:03:55.859778,Stampede,Gordon/Oasis,
3221225984,8,10000,0.04,33554432,1,4,1,1,1864.30023965,105.459471941,2014-11-19,10:05:53.192027,Stampede,Gordon/Oasis,
3221225984,8,10000,0.04,33554432,1,4,1,0,1228.80471254,159.999469995,2014-11-19,10:07:38.652449,Stampede,Gordon/Oasis,
3221225984,8,10000,0.04,33554432,1,4,2,1,777.720288751,252.800487995,2014-11-19,10:10:18.662790,Stampede,Gordon/Oasis,
3221225984,8,10000,0.04,33554432,1,4,2,0,834.234389777,235.674856901,2014-11-19,10:14:31.476119,Stampede,Gordon/Oasis,
3221225984,8,10000,0.04,33554432,1,4,4,1,743.759034115,264.343773842,2014-11-19,10:18:27.165648,Stampede,Gordon/Oasis,
3221225984,8,10000,0.04,33554432,1,4,4,0,511.148713851,384.639638901,2014-11-19,10:22:51.519718,Stampede,Gordon/Oasis,
3221225984,8,10000,0.04,33554432,1,4,8,1,1441.03457867,136.435373068,2014-11-19,10:29:16.172460,Stampede,Gordon/Oasis,
3221225984,8,10000,0.04,33554432,1,4,8,0,1381.83731277,142.280198097,2014-11-19,10:31:32.608739,Stampede,Gordon/Oasis,
3221225984,8,10000,0.04,33554432,1,4,16,1,684.772829951,287.114281893,2014-11-19,10:33:54.900496,Stampede,Gordon/Oasis,
3221225984,8,10000,0.04,33554432,1,4,16,0,487.763543039,403.080667019,2014-11-19,10:38:42.027808,Stampede,Gordon/Oasis,
3221225984,8,10000,0.04,33554432,1,4,32,1,613.165324334,320.644445181,2014-11-19,10:45:25.121013,Stampede,Gordon/Oasis,
3221225984,8,10000,0.04,33554432,1,4,32,0,737.984363911,266.412222862,2014-11-19,10:50:45.778788,Stampede,Gordon/Oasis,
3221225984,8,10000,0.04,33554432,1,8,1,1,1474.0840921,133.376437187,2014-11-19,10:55:12.199397,Stampede,Gordon/Oasis,
3221225984,8,10000,0.04,33554432,1,8,1,0,1544.22247925,127.318499088,2014-11-19,10:57:25.588712,Stampede,Gordon/Oasis,
3221225984,8,10000,0.04,33554432,1,8,2,1,1453.35104452,135.279192924,2014-11-19,10:59:32.920223,Stampede,Gordon/Oasis,
3221225984,8,10000,0.04,33554432,1,8,2,0,1005.99134124,195.437133074,2014-11-19,11:01:48.200594,Stampede,Gordon/Oasis,
3221225984,8,10000,0.04,33554432,1,8,4,1,1788.46468268,109.931226015,2014-11-19,11:05:03.652255,Stampede,Gordon/Oasis,
3221225984,8,10000,0.04,33554432,1,8,4,0,1420.20241057,138.436668873,2014-11-19,11:06:53.583648,Stampede,Gordon/Oasis,
3221225984,8,10000,0.04,33554432,1,8,8,1,922.166753068,213.202301025,2014-11-19,11:09:12.030778,Stampede,Gordon/Oasis,
3221225984,8,10000,0.04,33554432,1,8,8,0,1586.31475211,123.940162897,2014-11-19,11:12:45.247106,Stampede,Gordon/Oasis,
3221225984,8,10000,0.04,33554432,1,8,16,1,1735.78424885,113.267619133,2014-11-19,11:14:49.187429,Stampede,Gordon/Oasis,
3221225984,8,10000,0.04,33554432,1,8,16,0,1389.36691549,141.509133101,2014-11-19,11:16:42.456080,Stampede,Gordon/Oasis,
3221225984,8,10000,0.04,33554432,1,8,32,1,592.652980159,331.742331982,2014-11-19,11:19:03.965332,Stampede,Gordon/Oasis,
3221225984,8,10000,0.04,33554432,1,8,32,0,536.171177706,366.688969135,2014-11-19,11:24:35.724000,Stampede,Gordon/Oasis,
3221225984,8,10000,0.04,33554432,1,16,1,1,1501.1475396,130.971864939,2014-11-19,11:30:42.427881,Stampede,Gordon/Oasis,
3221225984,8,10000,0.04,33554432,1,16,1,0,1718.94391626,114.377292871,2014-11-19,11:32:53.425833,Stampede,Gordon/Oasis,
3221225984,8,10000,0.04,33554432,1,16,2,1,1404.77389335,139.957107067,2014-11-19,11:34:47.825090,Stampede,Gordon/Oasis,
