Note,FileSize,FileNumbers,Network,Source,Destination,Bandwidth,RTT,BufferSize,P,CC,PP,FAST,Throughput,TestBed,Protocol,Version,Dedicated,TransferDuration,CPU,MEM,DiskBW,Power
chris-parallelism,569376768,1,DIDCLAB,didclab-ws1.cse.buffalo.edu,didclab-ws6.cse.buffalo.edu,1000000000,0.000163,131071,1,na,na,OFF,888.593418395,REAL,GRIDFTP,UNKNOWN,yes,,,,,
chris-parallelism,569376768,1,DIDCLAB,didclab-ws1.cse.buffalo.edu,didclab-ws6.cse.buffalo.edu,1000000000,0.000163,131071,2,na,na,OFF,888.737401626,REAL,GRIDFTP,UNKNOWN,yes,,,,,
chris-parallelism,569376768,1,DIDCLAB,didclab-ws1.cse.buffalo.edu,didclab-ws6.cse.buffalo.edu,1000000000,0.000163,131071,4,na,na,OFF,888.012505767,REAL,GRIDFTP,UNKNOWN,yes,,,,,
chris-parallelism,569376768,1,DIDCLAB,didclab-ws1.cse.buffalo.edu,didclab-ws6.cse.buffalo.edu,1000000000,0.000163,131071,8,na,na,OFF,888.601416239,REAL,GRIDFTP,UNKNOWN,yes,,,,,
chris-parallelism,569376768,1,DIDCLAB,didclab-ws1.cse.buffalo.edu,didclab-ws6.cse.buffalo.edu,1000000000,0.000163,131071,16,na,na,OFF,887.989270538,REAL,GRIDFTP,UNKNOWN,yes,,,,,
chris-parallelism,569376768,1,DIDCLAB,didclab-ws1.cse.buffalo.edu,didclab-ws6.cse.buffalo.edu,1000000000,0.000163,131071,32,na,na,OFF,887.565259748,REAL,GRIDFTP,UNKNOWN,yes,,,,,
chris-parallelism,569376768,1,DIDCLAB,didclab-ws1.cse.buffalo.edu,didclab-ws6.cse.buffalo.edu,1000000000,0.000163,131071,64,na,na,OFF,886.292036899,REAL,GRIDFTP,UNKNOWN,yes,,,,,
chris-parallelism,911212544,1,DIDCLAB,didclab-ws1.cse.buffalo.edu,didclab-ws6.cse.buffalo.edu,1000000000,0.000163,131071,1,na,na,OFF,892.100152871,REAL,GRIDFTP,UNKNOWN,yes,,,,,
chris-parallelism,911212544,1,DIDCLAB,didclab-ws1.cse.buffalo.edu,didclab-ws6.cse.buffalo.edu,1000000000,0.000163,131071,2,na,na,OFF,891.873431973,REAL,GRIDFTP,UNKNOWN,yes,,,,,
chris-parallelism,911212544,1,DIDCLAB,didclab-ws1.cse.buffalo.edu,didclab-ws6.cse.buffalo.edu,1000000000,0.000163,131071,4,na,na,OFF,892.008008569,REAL,GRIDFTP,UNKNOWN,yes,,,,,
chris-parallelism,911212544,1,DIDCLAB,didclab-ws1.cse.buffalo.edu,didclab-ws6.cse.buffalo.edu,1000000000,0.000163,131071,8,na,na,OFF,891.88670473,REAL,GRIDFTP,UNKNOWN,yes,,,,,
chris-parallelism,911212544,1,DIDCLAB,didclab-ws1.cse.buffalo.edu,didclab-ws6.cse.buffalo.edu,1000000000,0.000163,131071,16,na,na,OFF,891.556033309,REAL,GRIDFTP,UNKNOWN,yes,,,,,
chris-parallelism,911212544,1,DIDCLAB,didclab-ws1.cse.buffalo.edu,didclab-ws6.cse.buffalo.edu,1000000000,0.000163,131071,32,na,na,OFF,891.322846443,REAL,GRIDFTP,UNKNOWN,yes,,,,,
