Note,FileSize,FileNumbers,Network,Source,Destination,Bandwidth,RTT,BufferSize,P,CC,PP,FAST,Throughput,TestBed,Protocol,Version,Dedicated,TransferDuration,CPU,MEM,DiskBW,Power
Chris-data,262144,1000,FUTUREGRID,india.futuregrid.org,alamo.futuregrid.org,1000000000,0.06,131071,1,1,2,OFF,10.98398732,REAL,GridFTP,gt-5.0.3,no,182.0832400597,,,,
Chris-data,262144,1000,FUTUREGRID,india.futuregrid.org,alamo.futuregrid.org,1000000000,0.06,131071,1,1,3,OFF,14.63169022,REAL,GridFTP,gt-5.0.3,no,136.6896079625,,,,
Chris-data,262144,1000,FUTUREGRID,india.futuregrid.org,alamo.futuregrid.org,1000000000,0.06,131071,1,1,4,OFF,17.75159693,REAL,GridFTP,gt-5.0.3,no,112.6659200232,,,,
Chris-data,262144,1000,FUTUREGRID,india.futuregrid.org,alamo.futuregrid.org,1000000000,0.06,131071,1,1,5,OFF,18.17540854,REAL,GridFTP,gt-5.0.3,no,110.0387920084,,,,
Chris-data,262144,1000,FUTUREGRID,india.futuregrid.org,alamo.futuregrid.org,1000000000,0.06,131071,1,1,6,OFF,23.65555095,REAL,GridFTP,gt-5.0.3,no,84.5467520172,,,,
Chris-data,262144,1000,FUTUREGRID,india.futuregrid.org,alamo.futuregrid.org,1000000000,0.06,131071,1,1,7,OFF,23.43540546,REAL,GridFTP,gt-5.0.3,no,85.3409600023,,,,
Chris-data,262144,1000,FUTUREGRID,india.futuregrid.org,alamo.futuregrid.org,1000000000,0.06,131071,1,1,8,OFF,23.19660543,REAL,GridFTP,gt-5.0.3,no,86.21951199,,,,
Chris-data,262144,1000,FUTUREGRID,india.futuregrid.org,alamo.futuregrid.org,1000000000,0.06,131071,1,1,9,OFF,28.56493209,REAL,GridFTP,gt-5.0.3,no,70.0159199993,,,,
Chris-data,262144,1000,FUTUREGRID,india.futuregrid.org,alamo.futuregrid.org,1000000000,0.06,131071,1,1,10,OFF,32.76417162,REAL,GridFTP,gt-5.0.3,no,61.0422879967,,,,
Chris-data,262144,1000,FUTUREGRID,india.futuregrid.org,alamo.futuregrid.org,1000000000,0.06,131071,1,1,11,OFF,32.05824444,REAL,GridFTP,gt-5.0.3,no,62.3864480085,,,,
Chris-data,262144,1000,FUTUREGRID,india.futuregrid.org,alamo.futuregrid.org,1000000000,0.06,131071,1,1,12,OFF,33.98164882,REAL,GridFTP,gt-5.0.3,no,58.8552960039,,,,
Chris-data,262144,1000,FUTUREGRID,india.futuregrid.org,alamo.futuregrid.org,1000000000,0.06,131071,1,1,13,OFF,17.04307316,REAL,GridFTP,gt-5.0.3,no,117.3497280229,,,,
Chris-data,262144,1000,FUTUREGRID,india.futuregrid.org,alamo.futuregrid.org,1000000000,0.06,131071,1,1,14,OFF,33.62216115,REAL,GridFTP,gt-5.0.3,no,59.4845759937,,,,
Chris-data,262144,1000,FUTUREGRID,india.futuregrid.org,alamo.futuregrid.org,1000000000,0.06,131071,1,1,15,OFF,34.74891615,REAL,GridFTP,gt-5.0.3,no,57.5557519943,,,,
