Note,FileSize,FileCount,Network,Source,Destination,Bandwidth,RTT,BufferSize,Parallelism,Concurrency,Pipelining,Fast,Throughput,TestBed,Protocol,Version,Dedicated,Duration,CPU,MEM,DiskBW,Power
Chris-data,1048576,128,XSEDE,gridftp.lonestar.tacc.teragrid.org,gridftp.steele.purdue.teragrid.org,10000,0.063,32777216,1,1,0,OFF,19.22162075,REAL,GridFTP,gt-5.0.3,no,53.27334325,,,,
Chris-data,1048576,128,XSEDE,gridftp.lonestar.tacc.teragrid.org,gridftp.steele.purdue.teragrid.org,10000,0.063,32777216,1,1,1,OFF,55.79050625,REAL,GridFTP,gt-5.0.3,no,18.35437727,,,,
Chris-data,1048576,128,XSEDE,gridftp.lonestar.tacc.teragrid.org,gridftp.steele.purdue.teragrid.org,10000,0.063,32777216,1,1,2,OFF,93.9029993,REAL,GridFTP,gt-5.0.3,no,10.90487,,,,
Chris-data,1048576,128,XSEDE,gridftp.lonestar.tacc.teragrid.org,gridftp.steele.purdue.teragrid.org,10000,0.063,32777216,1,1,3,OFF,67.4123942,REAL,GridFTP,gt-5.0.3,no,15.19008503,,,,
Chris-data,1048576,128,XSEDE,gridftp.lonestar.tacc.teragrid.org,gridftp.steele.purdue.teragrid.org,10000,0.063,32777216,1,1,4,OFF,81.62821073,REAL,GridFTP,gt-5.0.3,no,12.54468266,,,,
Chris-data,1048576,128,XSEDE,gridftp.lonestar.tacc.teragrid.org,gridftp.steele.purdue.teragrid.org,10000,0.063,32777216,1,1,5,OFF,72.39403994,REAL,GridFTP,gt-5.0.3,no,14.14481083,,,,
Chris-data,1048576,128,XSEDE,gridftp.lonestar.tacc.teragrid.org,gridftp.steele.purdue.teragrid.org,10000,0.063,32777216,1,1,6,OFF,51.41158438,REAL,GridFTP,gt-5.0.3,no,19.91769,,,,
Chris-data,1048576,128,XSEDE,gridftp.lonestar.tacc.teragrid.org,gridftp.steele.purdue.teragrid.org,10000,0.063,32777216,1,1,7,OFF,69.79088833,REAL,GridFTP,gt-5.0.3,no,14.67240244,,,,
Chris-data,1048576,128,XSEDE,gridftp.lonestar.tacc.teragrid.org,gridftp.steele.purdue.teragrid.org,10000,0.063,32777216,1,1,8,OFF,37.38293465,REAL,GridFTP,gt-5.0.3,no,27.392178,,,,
Chris-data,1048576,128,XSEDE,gridftp.lonestar.tacc.teragrid.org,gridftp.steele.purdue.teragrid.org,10000,0.063,32777216,1,1,9,OFF,61.45066737,REAL,GridFTP,gt-5.0.3,no,16.66377346,,,,
Chris-data,1048576,128,XSEDE,gridftp.lonestar.tacc.teragrid.org,gridftp.steele.purdue.teragrid.org,10000,0.063,32777216,1,1,0,OFF,5.942125977,REAL,GridFTP,gt-5.0.3,no,172.3288944,,,,
Chris-data,1048576,128,XSEDE,gridftp.lonestar.tacc.teragrid.org,gridftp.steele.purdue.teragrid.org,10000,0.063,32777216,1,2,0,OFF,23.04613366,REAL,GridFTP,gt-5.0.3,no,44.43261569,,,,
Chris-data,1048576,128,XSEDE,gridftp.lonestar.tacc.teragrid.org,gridftp.steele.purdue.teragrid.org,10000,0.063,32777216,1,3,0,OFF,25.75941342,REAL,GridFTP,gt-5.0.3,no,39.752458,,,,
Chris-data,1048576,128,XSEDE,gridftp.lonestar.tacc.teragrid.org,gridftp.steele.purdue.teragrid.org,10000,0.063,32777216,1,4,0,OFF,40.49888292,REAL,GridFTP,gt-5.0.3,no,25.28464802,,,,
Chris-data,1048576,128,XSEDE,gridftp.lonestar.tacc.teragrid.org,gridftp.steele.purdue.teragrid.org,10000,0.063,32777216,1,5,0,OFF,40.35634673,REAL,GridFTP,gt-5.0.3,no,25.37395188,,,,
Chris-data,1048576,128,XSEDE,gridftp.lonestar.tacc.teragrid.org,gridftp.steele.purdue.teragrid.org,10000,0.063,32777216,1,6,0,OFF,35.3262596,REAL,GridFTP,gt-5.0.3,no,28.98693526,,,,
Chris-data,1048576,128,XSEDE,gridftp.lonestar.tacc.teragrid.org,gridftp.steele.purdue.teragrid.org,10000,0.063,32777216,1,7,0,OFF,52.1297147,REAL,GridFTP,gt-5.0.3,no,19.6433072,,,,
Chris-data,1048576,128,XSEDE,gridftp.lonestar.tacc.teragrid.org,gridftp.steele.purdue.teragrid.org,10000,0.063,32777216,1,8,0,OFF,38.79320906,REAL,GridFTP,gt-5.0.3,no,26.39637258,,,,
Chris-data,1048576,128,XSEDE,gridftp.lonestar.tacc.teragrid.org,gridftp.steele.purdue.teragrid.org,10000,0.063,32777216,1,9,0,OFF,38.41331775,REAL,GridFTP,gt-5.0.3,no,26.65742144,,,,
Chris-data,1048576,128,XSEDE,gridftp.lonestar.tacc.teragrid.org,gridftp.steele.purdue.teragrid.org,10000,0.063,32777216,1,10,0,OFF,31.60047462,REAL,GridFTP,gt-5.0.3,no,32.40457659,,,,
Chris-data,1048576,128,XSEDE,gridftp.lonestar.tacc.teragrid.org,gridftp.steele.purdue.teragrid.org,10000,0.063,32777216,1,1,0,ON,9.144450873,REAL,GridFTP,gt-5.0.3,no,111.9804802,,,,
Chris-data,1048576,128,XSEDE,gridftp.lonestar.tacc.teragrid.org,gridftp.steele.purdue.teragrid.org,10000,0.063,32777216,1,2,0,ON,48.13935194,REAL,GridFTP,gt-5.0.3,no,21.27157842,,,,
Chris-data,1048576,128,XSEDE,gridftp.lonestar.tacc.teragrid.org,gridftp.steele.purdue.teragrid.org,10000,0.063,32777216,1,3,0,ON,80.63592133,REAL,GridFTP,gt-5.0.3,no,12.699055,,,,
Chris-data,1048576,128,XSEDE,gridftp.lonestar.tacc.teragrid.org,gridftp.steele.purdue.teragrid.org,10000,0.063,32777216,1,4,0,ON,71.66915374,REAL,GridFTP,gt-5.0.3,no,14.28787626,,,,
Chris-data,1048576,128,XSEDE,gridftp.lonestar.tacc.teragrid.org,gridftp.steele.purdue.teragrid.org,10000,0.063,32777216,1,5,0,ON,104.0882143,REAL,GridFTP,gt-5.0.3,no,9.837809274,,,,
Chris-data,1048576,128,XSEDE,gridftp.lonestar.tacc.teragrid.org,gridftp.steele.purdue.teragrid.org,10000,0.063,32777216,1,6,0,ON,86.08222673,REAL,GridFTP,gt-5.0.3,no,11.89560306,,,,
Chris-data,1048576,128,XSEDE,gridftp.lonestar.tacc.teragrid.org,gridftp.steele.purdue.teragrid.org,10000,0.063,32777216,1,7,0,ON,78.80975587,REAL,GridFTP,gt-5.0.3,no,12.99331521,,,,
Chris-data,1048576,128,XSEDE,gridftp.lonestar.tacc.teragrid.org,gridftp.steele.purdue.teragrid.org,10000,0.063,32777216,1,8,0,ON,90.03753863,REAL,GridFTP,gt-5.0.3,no,11.37303413,,,,
Chris-data,1048576,128,XSEDE,gridftp.lonestar.tacc.teragrid.org,gridftp.steele.purdue.teragrid.org,10000,0.063,32777216,1,9,0,ON,64.0341047,REAL,GridFTP,gt-5.0.3,no,15.99147837,,,,
Chris-data,1048576,128,XSEDE,gridftp.lonestar.tacc.teragrid.org,gridftp.steele.purdue.teragrid.org,10000,0.063,32777216,1,10,0,ON,81.16862384,REAL,GridFTP,gt-5.0.3,no,12.61571222,,,,
Chris-data,1048576,128,XSEDE,gridftp.lonestar.tacc.teragrid.org,gridftp.steele.purdue.teragrid.org,10000,0.063,32777216,1,1,0,OFF,9.921072856,REAL,GridFTP,gt-5.0.3,no,103.2146437,,,,
Chris-data,1048576,128,XSEDE,gridftp.lonestar.tacc.teragrid.org,gridftp.steele.purdue.teragrid.org,10000,0.063,32777216,2,1,0,OFF,24.3804562,REAL,GridFTP,gt-5.0.3,no,42.00085477,,,,
Chris-data,1048576,128,XSEDE,gridftp.lonestar.tacc.teragrid.org,gridftp.steele.purdue.teragrid.org,10000,0.063,32777216,3,1,0,OFF,27.85703021,REAL,GridFTP,gt-5.0.3,no,36.759123,,,,
Chris-data,1048576,128,XSEDE,gridftp.lonestar.tacc.teragrid.org,gridftp.steele.purdue.teragrid.org,10000,0.063,32777216,4,1,0,OFF,19.27090262,REAL,GridFTP,gt-5.0.3,no,53.13710625,,,,
Chris-data,1048576,128,XSEDE,gridftp.lonestar.tacc.teragrid.org,gridftp.steele.purdue.teragrid.org,10000,0.063,32777216,5,1,0,OFF,20.91721786,REAL,GridFTP,gt-5.0.3,no,48.95488525,,,,
Chris-data,1048576,128,XSEDE,gridftp.lonestar.tacc.teragrid.org,gridftp.steele.purdue.teragrid.org,10000,0.063,32777216,6,1,0,OFF,23.22455698,REAL,GridFTP,gt-5.0.3,no,44.09126085,,,,
Chris-data,1048576,128,XSEDE,gridftp.lonestar.tacc.teragrid.org,gridftp.steele.purdue.teragrid.org,10000,0.063,32777216,7,1,0,OFF,21.59933663,REAL,GridFTP,gt-5.0.3,no,47.40886341,,,,
Chris-data,1048576,128,XSEDE,gridftp.lonestar.tacc.teragrid.org,gridftp.steele.purdue.teragrid.org,10000,0.063,32777216,8,1,0,OFF,11.22014196,REAL,GridFTP,gt-5.0.3,no,91.26444243,,,,
Chris-data,1048576,128,XSEDE,gridftp.lonestar.tacc.teragrid.org,gridftp.steele.purdue.teragrid.org,10000,0.063,32777216,9,1,0,OFF,6.085958808,REAL,GridFTP,gt-5.0.3,no,168.2561503,,,,
Chris-data,1048576,128,XSEDE,gridftp.lonestar.tacc.teragrid.org,gridftp.steele.purdue.teragrid.org,10000,0.063,32777216,10,1,0,OFF,10.90656098,REAL,GridFTP,gt-5.0.3,no,93.88844035,,,,
Chris-data,1048576,128,XSEDE,gridftp.lonestar.tacc.teragrid.org,gridftp.steele.purdue.teragrid.org,10000,0.063,32777216,1,1,0,OFF,20.28656284,REAL,GridFTP,gt-5.0.3,no,50.47676179,,,,
Chris-data,1048576,128,XSEDE,gridftp.lonestar.tacc.teragrid.org,gridftp.steele.purdue.teragrid.org,10000,0.063,32777216,1,2,1,OFF,103.7629681,REAL,GridFTP,gt-5.0.3,no,9.868646,,,,
Chris-data,1048576,128,XSEDE,gridftp.lonestar.tacc.teragrid.org,gridftp.steele.purdue.teragrid.org,10000,0.063,32777216,1,3,2,OFF,97.55493419,REAL,GridFTP,gt-5.0.3,no,10.49665,,,,
Chris-data,1048576,128,XSEDE,gridftp.lonestar.tacc.teragrid.org,gridftp.steele.purdue.teragrid.org,10000,0.063,32777216,1,4,3,OFF,143.09861,REAL,GridFTP,gt-5.0.3,no,7.155904589,,,,
Chris-data,1048576,128,XSEDE,gridftp.lonestar.tacc.teragrid.org,gridftp.steele.purdue.teragrid.org,10000,0.063,32777216,1,5,4,OFF,128.559997,REAL,GridFTP,gt-5.0.3,no,7.965152644,,,,
Chris-data,1048576,128,XSEDE,gridftp.lonestar.tacc.teragrid.org,gridftp.steele.purdue.teragrid.org,10000,0.063,32777216,1,6,5,OFF,112.8598669,REAL,GridFTP,gt-5.0.3,no,9.073198721,,,,
