FileSize,FileCount,Bandwidth,RTT,BufferSize,Parallelism,Concurrency,Pipelining,Fast,Throughput,Duration,Date,Time,Source,Destination,
5242929,1000,10000,0.04,33554432,1,1,1,1,192.635110633,207.648496866,2014-10-30,13:25:09.370447,Stampede,Gordon/Oasis,BS=32MB
5242929,1000,10000,0.04,33554432,1,1,1,0,215.769070454,185.385198116,2014-10-30,13:28:37.019989,Stampede,Gordon/Oasis,BW=10GB
5242929,1000,10000,0.04,33554432,1,1,2,1,208.316421723,192.017447948,2014-10-30,13:31:42.405450,Stampede,Gordon/Oasis,RTT=40msec
5242929,1000,10000,0.04,33554432,1,1,2,0,515.863272456,77.5406980515,2014-10-30,13:34:54.436229,Stampede,Gordon/Oasis,
5242929,1000,10000,0.04,33554432,1,1,4,1,631.280551873,63.363907814,2014-10-30,13:36:11.977376,Stampede,Gordon/Oasis,
5242929,1000,10000,0.04,33554432,1,1,4,0,432.360891639,92.5162379742,2014-10-30,13:37:15.341383,Stampede,Gordon/Oasis,
5242929,1000,10000,0.04,33554432,1,1,8,1,494.980524317,80.8120679855,2014-10-30,13:38:47.880442,Stampede,Gordon/Oasis,
5242929,1000,10000,0.04,33554432,1,1,8,0,282.538187763,141.575153112,2014-10-30,13:40:08.692722,Stampede,Gordon/Oasis,
5242929,1000,10000,0.04,33554432,1,1,16,1,765.137403521,52.2787320614,2014-10-30,13:42:30.275360,Stampede,Gordon/Oasis,
5242929,1000,10000,0.04,33554432,1,1,16,0,225.045980939,177.743180037,2014-10-30,13:43:22.554271,Stampede,Gordon/Oasis,
5242929,1000,10000,0.04,33554432,1,1,32,1,339.444055377,117.840921879,2014-10-30,13:46:20.311670,Stampede,Gordon/Oasis,
5242929,1000,10000,0.04,33554432,1,1,32,0,536.34619817,74.5794351101,2014-10-30,13:48:18.152822,Stampede,Gordon/Oasis,
5242929,1000,10000,0.04,33554432,1,2,1,1,883.553257017,45.2722129822,2014-10-30,13:49:32.732381,Stampede,Gordon/Oasis,
5242929,1000,10000,0.04,33554432,1,2,1,0,921.427524714,43.4113540649,2014-10-30,13:50:18.004714,Stampede,Gordon/Oasis,
5242929,1000,10000,0.04,33554432,1,2,2,1,902.813655486,44.3063988686,2014-10-30,13:51:01.416219,Stampede,Gordon/Oasis,
5242929,1000,10000,0.04,33554432,1,2,2,0,855.585111904,46.7521109581,2014-10-30,13:51:45.722801,Stampede,Gordon/Oasis,
5242929,1000,10000,0.04,33554432,1,2,4,1,1010.00251597,39.6042749882,2014-10-30,13:52:32.475350,Stampede,Gordon/Oasis,
5242929,1000,10000,0.04,33554432,1,2,4,0,973.541909939,41.08751297,2014-10-30,13:53:12.079728,Stampede,Gordon/Oasis,
5242929,1000,10000,0.04,33554432,1,2,8,1,1000.70163784,39.9723749161,2014-10-30,13:53:53.167365,Stampede,Gordon/Oasis,
5242929,1000,10000,0.04,33554432,1,2,8,0,979.3594582,40.8434479237,2014-10-30,13:54:33.139901,Stampede,Gordon/Oasis,
5242929,1000,10000,0.04,33554432,1,2,16,1,866.530264385,46.1615891457,2014-10-30,13:55:13.983498,Stampede,Gordon/Oasis,
5242929,1000,10000,0.04,33554432,1,2,16,0,1029.56499674,38.8517670631,2014-10-30,13:56:00.145231,Stampede,Gordon/Oasis,
5242929,1000,10000,0.04,33554432,1,2,32,1,972.215507191,41.1435761452,2014-10-30,13:56:38.997655,Stampede,Gordon/Oasis,
5242929,1000,10000,0.04,33554432,1,2,32,0,1083.85378216,36.9057340622,2014-10-30,13:57:20.141336,Stampede,Gordon/Oasis,
5242929,1000,10000,0.04,33554432,1,4,1,1,1277.57178448,31.3097379208,2014-10-30,13:57:57.047197,Stampede,Gordon/Oasis,
5242929,1000,10000,0.04,33554432,1,4,1,0,1469.00416214,27.2296299934,2014-10-30,13:58:28.357064,Stampede,Gordon/Oasis,
5242929,1000,10000,0.04,33554432,1,4,2,1,1170.9437759,34.1608421803,2014-10-30,13:58:55.586795,Stampede,Gordon/Oasis,
