Note,FileSize,FileNumbers,Network,Source,Destination,Bandwidth,RTT,BufferSize,P,CC,PP,FAST,Throughput,TestBed,Protocol,Version,Dedicated,TransferDuration,CPU,MEM,DiskBW,Power
Chris-data,1048576,128,LONI,eric1.loni.org,oliver1.loni.org,10000000000,0.002,16777216,1,1,0,ON,157.7630919,REAL,GridFTP,gt-5.0.3,no,6.4907450004,,,,
Chris-data,1048576,128,LONI,eric1.loni.org,oliver1.loni.org,10000000000,0.002,16777216,1,1,0,ON,157.8911685,REAL,GridFTP,gt-5.0.3,no,6.4854799019,,,,
Chris-data,1048576,128,LONI,eric1.loni.org,oliver1.loni.org,10000000000,0.002,16777216,1,1,0,ON,158.3469214,REAL,GridFTP,gt-5.0.3,no,6.4668134432,,,,
Chris-data,1048576,128,LONI,eric1.loni.org,oliver1.loni.org,10000000000,0.002,16777216,1,1,0,ON,156.6635091,REAL,GridFTP,gt-5.0.3,no,6.5363019498,,,,
Chris-data,1048576,128,LONI,eric1.loni.org,oliver1.loni.org,10000000000,0.002,16777216,1,1,0,ON,157.8141299,REAL,GridFTP,gt-5.0.3,no,6.488645856,,,,
Chris-data,1048576,128,LONI,eric1.loni.org,oliver1.loni.org,10000000000,0.002,16777216,1,1,0,ON,156.5607438,REAL,GridFTP,gt-5.0.3,no,6.5405923295,,,,
Chris-data,1048576,128,LONI,eric1.loni.org,oliver1.loni.org,10000000000,0.002,16777216,1,1,0,ON,156.7386786,REAL,GridFTP,gt-5.0.3,no,6.5331672383,,,,
Chris-data,1048576,128,LONI,eric1.loni.org,oliver1.loni.org,10000000000,0.002,16777216,1,1,0,ON,157.1635755,REAL,GridFTP,gt-5.0.3,no,6.5155046056,,,,
Chris-data,1048576,128,LONI,eric1.loni.org,oliver1.loni.org,10000000000,0.002,16777216,1,1,0,ON,155.8842846,REAL,GridFTP,gt-5.0.3,no,6.5689752025,,,,
Chris-data,1048576,128,LONI,eric1.loni.org,oliver1.loni.org,10000000000,0.002,16777216,1,1,0,ON,156.6361948,REAL,GridFTP,gt-5.0.3,no,6.5374417535,,,,
Chris-data,1048576,128,LONI,eric1.loni.org,oliver1.loni.org,10000000000,0.002,16777216,1,1,0,OFF,166.8477616,REAL,GridFTP,gt-5.0.3,no,6.1373313623,,,,
Chris-data,1048576,128,LONI,eric1.loni.org,oliver1.loni.org,10000000000,0.002,16777216,1,1,1,OFF,303.7542967,REAL,GridFTP,gt-5.0.3,no,3.371145729,,,,
Chris-data,1048576,128,LONI,eric1.loni.org,oliver1.loni.org,10000000000,0.002,16777216,1,1,2,OFF,368.2732706,REAL,GridFTP,gt-5.0.3,no,2.7805439106,,,,
Chris-data,1048576,128,LONI,eric1.loni.org,oliver1.loni.org,10000000000,0.002,16777216,1,1,3,OFF,324.2668998,REAL,GridFTP,gt-5.0.3,no,3.1578924665,,,,
Chris-data,1048576,128,LONI,eric1.loni.org,oliver1.loni.org,10000000000,0.002,16777216,1,1,4,OFF,362.6041708,REAL,GridFTP,gt-5.0.3,no,2.8240160551,,,,
Chris-data,1048576,128,LONI,eric1.loni.org,oliver1.loni.org,10000000000,0.002,16777216,1,1,5,OFF,362.6309345,REAL,GridFTP,gt-5.0.3,no,2.8238076308,,,,
Chris-data,1048576,128,LONI,eric1.loni.org,oliver1.loni.org,10000000000,0.002,16777216,1,1,6,OFF,327.3877868,REAL,GridFTP,gt-5.0.3,no,3.1277892496,,,,
Chris-data,1048576,128,LONI,eric1.loni.org,oliver1.loni.org,10000000000,0.002,16777216,1,1,7,OFF,349.5042011,REAL,GridFTP,gt-5.0.3,no,2.929864639,,,,
Chris-data,1048576,128,LONI,eric1.loni.org,oliver1.loni.org,10000000000,0.002,16777216,1,1,8,OFF,350.6901258,REAL,GridFTP,gt-5.0.3,no,2.91995675,,,,
Chris-data,1048576,128,LONI,eric1.loni.org,oliver1.loni.org,10000000000,0.002,16777216,1,1,9,OFF,330.6754557,REAL,GridFTP,gt-5.0.3,no,3.0966918843,,,,
Chris-data,1048576,128,LONI,eric1.loni.org,oliver1.loni.org,10000000000,0.002,16777216,1,1,0,ON,165.2864753,REAL,GridFTP,gt-5.0.3,no,6.1953042325,,,,
Chris-data,1048576,128,LONI,eric1.loni.org,oliver1.loni.org,10000000000,0.002,16777216,1,1,1,ON,293.3124543,REAL,GridFTP,gt-5.0.3,no,3.4911575863,,,,
Chris-data,1048576,128,LONI,eric1.loni.org,oliver1.loni.org,10000000000,0.002,16777216,1,1,2,ON,322.7111674,REAL,GridFTP,gt-5.0.3,no,3.1731160971,,,,
Chris-data,1048576,128,LONI,eric1.loni.org,oliver1.loni.org,10000000000,0.002,16777216,1,1,3,ON,326.7795211,REAL,GridFTP,gt-5.0.3,no,3.1336113002,,,,
Chris-data,1048576,128,LONI,eric1.loni.org,oliver1.loni.org,10000000000,0.002,16777216,1,1,4,ON,346.3115159,REAL,GridFTP,gt-5.0.3,no,2.9568753939,,,,
