file_name,error_rate,mean_estimation,required_seconds,error_rate,mean_estimation,required_seconds,error_rate,mean_estimation,required_seconds,error_rate,mean_estimation,required_seconds,error_rate,mean_estimation,required_seconds
comet-stampede2-745-1539303907875.log,0.04985213876055456,2377.64608,6.0,0.04985213876055456,2377.64608,6.0,0.19777560936753213,1816.8326826666666,5.0,0.19777560936753213,1816.8326826666666,5.0,0.40519953799585784,1347.0706346666666,4.0
stampede2-comet-745-1539352343410.log,0.04653415491170247,1743.2576,7.0,0.04653415491170247,1743.2576,7.0,0.04653415491170247,1743.2576,7.0,0.04653415491170247,1743.2576,7.0,0.34963592882398226,1189.085184,6.0
stampede2-comet-745-1539352780998.log,0,3777.7244159999996,16.0,0.09099898514142954,3433.955328,5.0,0.09099898514142954,3433.955328,5.0,0.09099898514142954,3433.955328,5.0,0.3767554017365357,2354.446336,4.0
comet-stampede2-745-1539380291969.log,0.013358334479366065,1862.795264,7.0,0.07355943678659461,2026.897408,6.0,0.07355943678659461,2026.897408,6.0,0.2528218853473537,1410.6842453333334,5.0,0.39512389495992406,1142.0157724444446,3.0
comet-stampede2-745-1539284275155.log,0.036093316903320474,2167.406592,19.0,0.07844933300314172,2256.0112639999998,6.0,0.18256111278527495,1710.0027611428573,5.0,0.18256111278527495,1710.0027611428573,5.0,0.4557448852634123,1138.5288411428571,4.0
stampede2-comet-745-1539382411007.log,0.04384105464214787,1423.966208,17.0,0.05719635968690349,1574.436864,16.0,0.10615332759072647,1331.1672320000002,7.0,0.10615332759072647,1331.1672320000002,7.0,0.3483614845885919,970.4570880000001,6.0
comet-stampede2-745-1539293560494.log,0.04978493900135099,1817.7064960000002,17.0,0.06219947101723063,1839.202304,16.0,0.1795811098286241,1420.558336,7.0,0.2601241711999421,1281.097728,6.0,0.4995160480535816,866.5898097777778,3.0
comet-stampede2-745-1539380233593.log,0.04260027517800254,1776.8120319999998,10.0,0.09554326729410045,2033.188864,6.0,0.14439521001940894,1587.8935893333332,5.0,0.14439521001940894,1587.8935893333332,5.0,0.49611036416617404,935.1550293333332,4.0
comet-stampede2-745-1539342494367.log,0.03081514943734168,1914.1754880000003,6.0,0.03081514943734168,1914.1754880000003,6.0,0.19180817166135564,1500.7744000000002,5.0,0.19180817166135564,1500.7744000000002,5.0,0.3894446012987534,1133.7728000000002,4.0
stampede2-comet-745-1539362958871.log,0.002283247533599672,1912.602624,8.0,0.002283247533599672,1912.602624,8.0,0.002283247533599672,1912.602624,8.0,0.002283247533599672,1912.602624,8.0,0.30887329126025403,1324.8757759999999,7.0
comet-stampede2-745-1539345224967.log,0.03323964937507655,67.108864,9.0,0.06494694873526717,73.92460799999999,8.0,0.1635257122522635,58.064896,5.0,0.1635257122522635,58.064896,5.0,0.4580855065832949,37.617664,4.0
stampede2-comet-745-1539306056548.log,0.0037853001043396347,1833.9594240000001,6.0,0.0037853001043396347,1833.9594240000001,6.0,0.0037853001043396347,1833.9594240000001,6.0,0.25399397909789106,1373.343288888889,5.0,0.4832543660092709,951.2914488888889,4.0
comet-stampede2-745-1539300678722.log,0.0030194965770362313,1086.1499733333335,4.0,0.0030194965770362313,1086.1499733333335,4.0,0.0030194965770362313,1086.1499733333335,4.0,0.21974820175096105,844.9192391111111,3.0,0.21974820175096105,844.9192391111111,3.0
stampede2-comet-745-1539344477870.log,0.04701493103212958,1683.4887680000002,21.0,0.09038241338257277,1753.219072,16.0,0.1805828334837306,1317.5357439999998,9.0,0.1805828334837306,1317.5357439999998,9.0,0.44111379888225793,898.6296319999999,8.0
stampede2-comet-745-1539336836021.log,0.04522550447426427,4397.727744,15.0,0.08996035856418569,4585.947136,6.0,0.18738950631225615,3419.0131199999996,5.0,0.18738950631225615,3419.0131199999996,5.0,0.49230924992796005,2136.080384,4.0
stampede2-comet-745-1539329961659.log,0.032795523937942495,1888.4853759999999,20.0,0.06118163078687556,1940.3898880000002,13.0,0.14382914089986218,1565.523968,8.0,0.14382914089986218,1565.523968,8.0,0.4446071821577472,1015.545856,7.0
stampede2-comet-745-1539281692079.log,0.02699442014779089,1904.2140160000001,6.0,0.02699442014779089,1904.2140160000001,6.0,0.02699442014779089,1904.2140160000001,6.0,0.21595536118232528,1453.7457664,5.0,0.4489518926255466,1021.7324544,4.0
stampede2-comet-745-1539288649044.log,0.038907100469065876,1491.7304319999998,5.0,0.038907100469065876,1491.7304319999998,5.0,0.038907100469065876,1491.7304319999998,5.0,0.038907100469065876,1491.7304319999998,5.0,0.4846472540605002,799.8887253333332,3.0
comet-stampede2-745-1539340065476.log,0.004989326976585679,1789.3949440000001,6.0,0.004989326976585679,1789.3949440000001,6.0,0.004989326976585679,1789.3949440000001,6.0,0.004989326976585679,1789.3949440000001,6.0,0.34780268611344134,1172.8905102222222,5.0
comet-stampede2-745-1539349432669.log,0.031819039189797234,77.594624,5.0,0.031819039189797234,77.594624,5.0,0.19127696928367238,60.817408,4.0,0.19127696928367238,60.817408,4.0,0.3400076415993188,49.63259733333334,3.0
