file_name,error_rate,mean_estimation,required_seconds,error_rate,mean_estimation,required_seconds,error_rate,mean_estimation,required_seconds,error_rate,mean_estimation,required_seconds,error_rate,mean_estimation,required_seconds
stampede2-comet-745-1539807433022.log,0.024632021628116632,1192.230912,8.0,0.0654851306698708,1087.373312,5.0,0.0654851306698708,1087.373312,5.0,0.0654851306698708,1087.373312,5.0,0.45419044758185634,635.0875306666667,4.0
stampede2-psc-745-1539791211851.log,0.031018289668808742,1296.0399360000001,5.0,0.031018289668808742,1296.0399360000001,5.0,0.031018289668808742,1296.0399360000001,5.0,0.2192288680177954,981.467136,4.0,0.42609985170538806,721.420288,3.0
stampede2-comet-745-1539778597014.log,0.02624867162593,1513.095168,6.0,0.06051663533066278,1385.1688960000001,5.0,0.06051663533066278,1385.1688960000001,5.0,0.06051663533066278,1385.1688960000001,5.0,0.40734079947682494,873.8133333333333,4.0
psc-comet-745-1539794111624.log,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
psc-comet-745-1539749749489.log,0.005333902282910246,2560.6225919999997,12.0,0.005333902282910246,2560.6225919999997,12.0,0.14394747560951954,2944.925696,4.0,0.14394747560951954,2944.925696,4.0,0.14394747560951954,2944.925696,4.0
comet-psc-745-1539788271606.log,0.008403361344537716,2227.175424,6.0,0.008403361344537716,2227.175424,6.0,0.14098972922502323,1929.37984,5.0,0.14098972922502323,1929.37984,5.0,0.480859010270775,1166.016512,4.0
stampede2-psc-745-1539816544702.log,0.04975887768522597,1212.153856,5.0,0.04975887768522597,1212.153856,5.0,0.04975887768522597,1212.153856,5.0,0.04975887768522597,1212.153856,5.0,0.43248575186321797,723.9368704,4.0
comet-psc-745-1539814313203.log,0.032686524416440044,672.137216,9.0,0.05753257912072157,613.41696,8.0,0.15097379349849618,552.599552,6.0,0.15097379349849618,552.599552,6.0,0.31369039094944856,446.693376,5.0
stampede2-psc-745-1539799850973.log,0.022188792779240286,1677.7216,17.0,0.05396765701391509,1623.195648,6.0,0.19819481007897707,1375.731712,5.0,0.19819481007897707,1375.731712,5.0,0.4768710041368936,897.581056,4.0
comet-psc-745-1539752509470.log,0.016727332215451297,2606.759936,5.0,0.016727332215451297,2606.759936,5.0,0.016727332215451297,2606.759936,5.0,0.016727332215451297,2606.759936,5.0,0.4351969244611673,1448.0834559999998,4.0
comet-psc-745-1539748726388.log,0.010395655546935442,2229.2725760000003,6.0,0.09325058184639248,2042.626048,5.0,0.09325058184639248,2042.626048,5.0,0.09325058184639248,2042.626048,5.0,0.4414274631497284,1258.2912000000001,4.0
stampede2-comet-745-1539736552652.log,0.00036859896432672875,1341.128704,17.0,0.00036859896432672875,1341.128704,17.0,0.11617160529344085,1184.89088,7.0,0.11617160529344085,1184.89088,7.0,0.11617160529344085,1184.89088,7.0
comet-psc-745-1539759303735.log,0.0012330456226880026,30.408704,10.0,0.06781750924784224,28.311552,7.0,0.10480887792848326,33.554432,5.0,0.25524044389642425,22.619282285714284,4.0,0.25524044389642425,22.619282285714284,4.0
stampede2-psc-745-1539795510089.log,0.011109754608716901,1258.2912000000001,6.0,0.011109754608716901,1258.2912000000001,6.0,0.011109754608716901,1258.2912000000001,6.0,0.20888780368697357,1006.63296,5.0,0.49566597485044567,641.728512,3.0
comet-psc-745-1539778049146.log,0.028346641157292896,631.2427520000001,18.0,0.09325888760908187,671.0886399999999,9.0,0.09325888760908187,671.0886399999999,9.0,0.09325888760908187,671.0886399999999,9.0,0.48070202838568604,318.767104,6.0
stampede2-comet-745-1539748087871.log,0.013903623876263704,1360.003072,20.0,0.0947568261767823,1214.251008,7.0,0.0947568261767823,1214.251008,7.0,0.0947568261767823,1214.251008,7.0,0.4504439108827962,737.148928,6.0
comet-psc-745-1539796800867.log,0.010309278350515276,14.680064,9.0,0.061855670103092876,13.631488000000001,4.0,0.061855670103092876,13.631488000000001,4.0,0.061855670103092876,13.631488000000001,4.0,0.42268041237113413,8.388608,3.0
comet-psc-745-1539754700881.log,0.0328172457219054,998.2443519999999,10.0,0.0328172457219054,998.2443519999999,10.0,0.0328172457219054,998.2443519999999,10.0,0.0328172457219054,998.2443519999999,10.0,0.41684569227350177,601.882624,5.0
stampede2-psc-745-1539775317053.log,0.0030523828278849296,1048.576,5.0,0.0030523828278849296,1048.576,5.0,0.0030523828278849296,1048.576,5.0,0.0030523828278849296,1048.576,5.0,0.31675856636471045,718.6240853333334,4.0
stampede2-psc-745-1539776962755.log,0.01351351351351366,1258.2912000000001,13.0,0.07432432432432448,1333.7886720000001,7.0,0.1486486486486488,1426.06336,5.0,0.1486486486486488,1426.06336,5.0,0.37837837837837834,771.751936,4.0
comet-psc-745-1539819053503.log,0.02922490470139747,28.311552,7.0,0.06734434561626407,29.360128,5.0,0.14231257941550216,23.592959999999998,4.0,0.27573062261753506,19.922944,3.0,0.27573062261753506,19.922944,3.0
psc-comet-745-1539765110606.log,0,3655.900553846153,13.0,0.050612244897959464,3840.933888,12.0,0.16792057363485943,4269.801471999999,5.0,0.16792057363485943,4269.801471999999,5.0,0.34533921676778806,2393.37472,4.0
stampede2-comet-745-1539806356383.log,0.015363774264461434,2828.4289024,4.0,0.015363774264461434,2828.4289024,4.0,0.015363774264461434,2828.4289024,4.0,0.015363774264461434,2828.4289024,4.0,0.015363774264461434,2828.4289024,4.0
stampede2-comet-745-1539813350706.log,0.04263235755592407,1681.915904,12.0,0.08488366880351449,1750.073344,8.0,0.13027300847267678,1402.994688,7.0,0.13027300847267678,1402.994688,7.0,0.4442327520509257,896.5324800000001,6.0
stampede2-comet-745-1539794265483.log,0.04581537763665248,1260.388352,16.0,0.05057836244046281,1254.096896,14.0,0.11215695168972534,1469.054976,7.0,0.22805624858244483,1622.147072,5.0,0.38716262190973016,809.500672,4.0
stampede2-psc-745-1539789181573.log,0.045045045045044994,1275.068416,5.0,0.045045045045044994,1275.068416,5.0,0.045045045045044994,1275.068416,5.0,0.23684210526315805,931.1354879999999,4.0,0.4362256993835942,687.865856,3.0
stampede2-comet-745-1539777063166.log,0.007985321480256382,1410.3347199999998,13.0,0.07894872855075442,1288.699904,8.0,0.12166632210047548,1228.9310719999999,5.0,0.12166632210047548,1228.9310719999999,5.0,0.4244366342774446,805.306368,4.0
stampede2-comet-745-1539796840683.log,0.023318691703270732,1345.323008,6.0,0.023318691703270732,1345.323008,6.0,0.1633883415291461,1152.3850240000002,5.0,0.1633883415291461,1152.3850240000002,5.0,0.45900635248411875,745.1880106666667,4.0
stampede2-psc-745-1539764574949.log,0.012174126906050168,1161.822208,5.0,0.012174126906050168,1161.822208,5.0,0.012174126906050168,1161.822208,5.0,0.2511067388096409,880.80384,4.0,0.32956222331529766,788.529152,3.0
psc-comet-745-1539817888009.log,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
stampede2-psc-745-1539747419998.log,0.018335482022632885,1493.172224,18.0,0.05611660220598767,1606.418432,5.0,0.05611660220598767,1606.418432,5.0,0.05611660220598767,1606.418432,5.0,0.35711216158143533,977.8720182857143,4.0
comet-psc-745-1539746395513.log,0.03967018636153297,920.649728,6.0,0.03967018636153297,920.649728,6.0,0.15123469774094483,813.694976,5.0,0.15123469774094483,813.694976,5.0,0.15123469774094483,813.694976,5.0
stampede2-comet-745-1539772172905.log,0.041025641025641164,1216.34816,12.0,0.041025641025641164,1216.34816,12.0,0.1774358974358976,1375.731712,8.0,0.22102564102564087,910.1639680000001,7.0,0.4947435897435897,590.348288,6.0
