file_name,error_rate,mean_estimation,required_seconds,error_rate,mean_estimation,required_seconds,error_rate,mean_estimation,required_seconds,error_rate,mean_estimation,required_seconds,error_rate,mean_estimation,required_seconds
dtn0-dtn1-1600-1548257870704.log,0.01385774387393551,16959.143936,4.0,0.01385774387393551,16959.143936,4.0,0.01385774387393551,16959.143936,4.0,0.01385774387393551,16959.143936,4.0,0.31545929393592453,11772.362752,3.0
dtn0-dtn1-1600-1548257944870.log,0.00035686839486648346,17907.580928,11.0,0.00035686839486648346,17907.580928,11.0,0.11370790038651306,15877.013504,4.0,0.25843314004535445,13284.409344,3.0,0.25843314004535445,13284.409344,3.0
dtn0-dtn1-1600-1548218974177.log,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dtn0-dtn1-1600-1548254003570.log,0.004368943467229802,18759.548928,4.0,0.004368943467229802,18759.548928,4.0,0.004368943467229802,18759.548928,4.0,0.25822493222478365,13854.834688,3.0,0.25822493222478365,13854.834688,3.0
dtn0-dtn1-1600-1548250048483.log,0.0019375684718563502,18313.37984,26.0,0.08971108577858047,19917.701119999998,5.0,0.12404324460367737,16010.706944000001,4.0,0.23860776359814043,13916.700672,3.0,0.23860776359814043,13916.700672,3.0
dtn0-dtn1-1600-1548264302552.log,0.010883835981352794,18569.232384,11.0,0.08264675102273802,16851.140608,4.0,0.08264675102273802,16851.140608,4.0,0.2760156027019313,13299.089408,3.0,0.2760156027019313,13299.089408,3.0
dtn0-dtn1-1600-1548257088289.log,0.04520196884025571,19244.515328,9.0,0.06849855591262241,17151.033344,4.0,0.06849855591262241,17151.033344,4.0,0.2513932392303623,13783.53152,3.0,0.2513932392303623,13783.53152,3.0
dtn0-dtn1-1600-1548255732815.log,0.028618639813420544,18782.093311999997,5.0,0.028618639813420544,18782.093311999997,5.0,0.10343297710545835,16370.8928,4.0,0.2873979063507851,13011.779584,3.0,0.2873979063507851,13011.779584,3.0
dtn0-dtn1-1600-1548206332951.log,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dtn0-dtn1-1600-1548228132656.log,0.0033469500796234177,17968.922624,4.0,0.0033469500796234177,17968.922624,4.0,0.0033469500796234177,17968.922624,4.0,0.24130720764384136,13678.67392,3.0,0.24130720764384136,13678.67392,3.0
dtn0-dtn1-1600-1548254843366.log,0.001247930635254448,18779.99616,5.0,0.001247930635254448,18779.99616,5.0,0.001247930635254448,18779.99616,5.0,0.2679876938169725,13730.054144,3.0,0.2679876938169725,13730.054144,3.0
dtn0-dtn1-1600-1548241840694.log,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dtn0-dtn1-1600-1548264251328.log,0.04371352539956546,19860.02944,5.0,0.08923044925864203,17330.33984,4.0,0.08923044925864203,17330.33984,4.0,0.27650924630565493,13766.754304,3.0,0.27650924630565493,13766.754304,3.0
dtn0-dtn1-1600-1548201346785.log,0,17885.274856727276,11.0,0.09458278258644927,19576.91392,5.0,0.13775956167654474,15421.407232,4.0,0.2272843559459345,13820.23168,3.0,0.2272843559459345,13820.23168,3.0
dtn0-dtn1-1600-1548233181812.log,0.014087174253821475,18717.0816,18.0,0.05703674869280664,19509.805055999997,9.0,0.1388780759802634,15893.79072,4.0,0.1388780759802634,15893.79072,4.0,0.316840433030689,12609.1264,3.0
dtn0-dtn1-1600-1548249035138.log,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dtn0-dtn1-1600-1548219736523.log,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dtn0-dtn1-1600-1548240719235.log,0.038326990350978564,18033.934336,4.0,0.038326990350978564,18033.934336,4.0,0.038326990350978564,18033.934336,4.0,0.25268135163187644,14014.21824,3.0,0.25268135163187644,14014.21824,3.0
dtn0-dtn1-1600-1548245321700.log,0.04407922498855272,18006.67136,4.0,0.04407922498855272,18006.67136,4.0,0.04407922498855272,18006.67136,4.0,0.29243214609576323,13328.449536,3.0,0.29243214609576323,13328.449536,3.0
dtn0-dtn1-1600-1548224141001.log,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dtn0-dtn1-1600-1548229712333.log,0.02893489232138145,18476.957695999998,5.0,0.07579212256871527,16596.33664,4.0,0.07579212256871527,16596.33664,4.0,0.28778622770308776,12789.481472,3.0,0.28778622770308776,12789.481472,3.0
dtn0-dtn1-1600-1548225780627.log,0.04735424450430119,19260.243968000002,7.0,0.0828237683552003,16866.34496,4.0,0.0828237683552003,16866.34496,4.0,0.0828237683552003,16866.34496,4.0,0.30320835867581886,12813.59872,3.0
dtn0-dtn1-1600-1548211994231.log,0,16258.470473142856,7.0,0.0856343919585026,14866.186239999999,4.0,0.0856343919585026,14866.186239999999,4.0,0.0856343919585026,14866.186239999999,4.0,0.0856343919585026,14866.186239999999,4.0
dtn0-dtn1-1600-1548224606639.log,0.020237593313657806,19480.444927999997,12.0,0.0906953838304748,20825.767936,5.0,0.11172660825447199,16960.716800000002,4.0,0.29915641264566134,13381.926912,3.0,0.29915641264566134,13381.926912,3.0
dtn0-dtn1-1600-1548238801408.log,0.005584789243947699,18155.044864,11.0,0.08036407793543326,16789.798912,4.0,0.08036407793543326,16789.798912,4.0,0.2826472229211567,13096.71424,3.0,0.2826472229211567,13096.71424,3.0
dtn0-dtn1-1600-1548233868097.log,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dtn0-dtn1-1600-1548263921737.log,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dtn0-dtn1-1600-1548218582306.log,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dtn0-dtn1-1600-1548205949407.log,0.02817198307894575,19467.862016,15.0,0.05436638941290797,19963.838464,14.0,0.15978534270851205,15908.995072,4.0,0.15978534270851205,15908.995072,4.0,0.41464085634253706,11083.44832,3.0
dtn0-dtn1-1600-1548250100793.log,0.04730547485560072,19746.258944,4.0,0.04730547485560072,19746.258944,4.0,0.04730547485560072,19746.258944,4.0,0.28440753285893244,13492.027392,3.0,0.28440753285893244,13492.027392,3.0
dtn0-dtn1-1600-1548200021206.log,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dtn0-dtn1-1600-1548246379596.log,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dtn0-dtn1-1600-1548227167909.log,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dtn0-dtn1-1600-1548208253910.log,0.042398061843337026,19923.992576,18.0,0.07553360362289473,20557.33248,9.0,0.152986428302184,16189.489152,4.0,0.152986428302184,16189.489152,4.0,0.34754801592006695,12470.714368,3.0
dtn0-dtn1-1600-1548210987877.log,0,18041.798656,11.0,0.0841566895269091,16523.460608,4.0,0.0841566895269091,16523.460608,4.0,0.25886318726025803,13371.441152,3.0,0.25886318726025803,13371.441152,3.0
dtn0-dtn1-1600-1548231091625.log,0.031667389747956846,19545.456639999997,8.0,0.05702611841036383,17865.1136,4.0,0.05702611841036383,17865.1136,4.0,0.05702611841036383,17865.1136,4.0,0.3841543430404765,11667.505152,3.0
dtn0-dtn1-1600-1548262668867.log,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dtn0-dtn1-1600-1548250520576.log,0.0245212538256176,19509.805055999997,5.0,0.0245212538256176,19509.805055999997,5.0,0.17026773550084268,15800.467456,4.0,0.28686580897046243,13580.107776,3.0,0.28686580897046243,13580.107776,3.0
dtn0-dtn1-1600-1548204622571.log,0.043042928233825675,20609.76128,8.0,0.06826628275424088,18410.37312,4.0,0.06826628275424088,18410.37312,4.0,0.2676145788575411,14471.397376,3.0,0.2676145788575411,14471.397376,3.0
dtn0-dtn1-1600-1548200323072.log,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dtn0-dtn1-1600-1548212735803.log,0.04732902746026932,17067.671552,4.0,0.04732902746026932,17067.671552,4.0,0.04732902746026932,17067.671552,4.0,0.2966025835238384,12601.786368,3.0,0.2966025835238384,12601.786368,3.0
dtn0-dtn1-1600-1548222801862.log,0.006529858505868679,18125.684736,11.0,0.09062362228303805,16376.13568,4.0,0.09062362228303805,16376.13568,4.0,0.2691798996814094,13160.677376,3.0,0.2691798996814094,13160.677376,3.0
dtn0-dtn1-1600-1548228810982.log,0.023066319497625876,17510.170624,5.0,0.073364986981161,15859.712,4.0,0.073364986981161,15859.712,4.0,0.073364986981161,15859.712,4.0,0.073364986981161,15859.712,4.0
dtn0-dtn1-1600-1548252457889.log,0.023319568904956806,15656.288256,4.0,0.023319568904956806,15656.288256,4.0,0.023319568904956806,15656.288256,4.0,0.23787331014512628,11660.16512,3.0,0.23787331014512628,11660.16512,3.0
dtn0-dtn1-1600-1548216078201.log,0.023627032198633716,19469.959168,5.0,0.023627032198633716,19469.959168,5.0,0.18757046674325376,15452.864512,4.0,0.26193888910624147,14038.335488,3.0,0.26193888910624147,14038.335488,3.0
dtn0-dtn1-1600-1548209471162.log,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dtn0-dtn1-1600-1548237440878.log,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dtn0-dtn1-1600-1548253052701.log,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dtn0-dtn1-1600-1548223014679.log,0.027382457051431303,16692.805632,4.0,0.027382457051431303,16692.805632,4.0,0.027382457051431303,16692.805632,4.0,0.24381498608157065,12978.225152,3.0,0.24381498608157065,12978.225152,3.0
dtn0-dtn1-1600-1548239393297.log,0.035700785417278974,16049.504256,4.0,0.035700785417278974,16049.504256,4.0,0.035700785417278974,16049.504256,4.0,0.24247133436935597,12608.077824,3.0,0.24247133436935597,12608.077824,3.0
dtn0-dtn1-1600-1548241488702.log,0.03148264984227126,16096.690176,4.0,0.03148264984227126,16096.690176,4.0,0.03148264984227126,16096.690176,4.0,0.03148264984227126,16096.690176,4.0,0.03148264984227126,16096.690176,4.0
dtn0-dtn1-1600-1548209369632.log,0.02488564963370265,19349.372928,13.0,0.06339569974541029,17682.661376,4.0,0.06339569974541029,17682.661376,4.0,0.2575924522487561,14016.315392,3.0,0.2575924522487561,14016.315392,3.0
dtn0-dtn1-1600-1548220575210.log,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dtn0-dtn1-1600-1548227260584.log,0.010488343194168841,18428.7232,8.0,0.06960327911419392,16968.056832000002,4.0,0.06960327911419392,16968.056832000002,4.0,0.06960327911419392,16968.056832000002,4.0,0.37548083164864515,11389.632512,3.0
dtn0-dtn1-1600-1548259712320.log,0.017878083299635972,19196.280832,10.0,0.08553881924787719,17245.929472,4.0,0.08553881924787719,17245.929472,4.0,0.08553881924787719,17245.929472,4.0,0.3622624342903357,12027.16672,3.0
dtn0-dtn1-1600-1548255241922.log,0.016127435341745475,16142.303232000002,4.0,0.016127435341745475,16142.303232000002,4.0,0.13406893213496004,13756.268544,3.0,0.13406893213496004,13756.268544,3.0,0.13406893213496004,13756.268544,3.0
dtn0-dtn1-1600-1548213610327.log,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dtn0-dtn1-1600-1548260148386.log,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dtn0-dtn1-1600-1548262133604.log,0.01813141114499589,18568.183808,5.0,0.01813141114499589,18568.183808,5.0,0.17829220959245926,15539.372032,4.0,0.28644302744663164,13494.124544,3.0,0.28644302744663164,13494.124544,3.0
dtn0-dtn1-1600-1548224233038.log,0.0359656931651381,17838.8992,4.0,0.0359656931651381,17838.8992,4.0,0.0359656931651381,17838.8992,4.0,0.0359656931651381,17838.8992,4.0,0.34714831746983427,12080.644096,3.0
dtn0-dtn1-1600-1548261582247.log,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dtn0-dtn1-1600-1548239806756.log,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dtn0-dtn1-1600-1548248027828.log,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dtn0-dtn1-1600-1548252562463.log,0.029991675837354397,16962.813952,4.0,0.029991675837354397,16962.813952,4.0,0.029991675837354397,16962.813952,4.0,0.21533480064335905,13721.665536,3.0,0.21533480064335905,13721.665536,3.0
dtn0-dtn1-1600-1548264139320.log,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dtn0-dtn1-1600-1548225842291.log,0.03777776227264891,18658.885631999998,4.0,0.03777776227264891,18658.885631999998,4.0,0.03777776227264891,18658.885631999998,4.0,0.2768665607278728,14022.606848,3.0,0.2768665607278728,14022.606848,3.0
dtn0-dtn1-1600-1548242699258.log,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dtn0-dtn1-1600-1548238594758.log,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dtn0-dtn1-1600-1548221544156.log,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
