file_name,error_rate,mean_estimation,required_seconds,error_rate,mean_estimation,required_seconds,error_rate,mean_estimation,required_seconds,error_rate,mean_estimation,required_seconds,error_rate,mean_estimation,required_seconds
dtn0-dtn1-1600-1547389359846.log,0.015782243114406905,4988.076032,7.0,0.09740383342161026,4574.4128,5.0,0.09740383342161026,4574.4128,5.0,0.09740383342161026,4574.4128,5.0,0.3348892125706216,3370.8223146666664,3.0
dtn0-dtn1-1600-1547333954257.log,0.0206037780661796,5368.7091199999995,5.0,0.0206037780661796,5368.7091199999995,5.0,0.0206037780661796,5368.7091199999995,5.0,0.0206037780661796,5368.7091199999995,5.0,0.3300958795271339,3523.9144106666668,3.0
dtn0-dtn1-1600-1547377084878.log,0.025224020781682635,5368.7091199999995,12.0,0.07643783687733255,5086.642175999999,7.0,0.18352992443793864,4496.818176,5.0,0.18352992443793864,4496.818176,5.0,0.4118343896226975,3239.4007893333333,3.0
dtn0-dtn1-1600-1547388777809.log,0.021584647042410744,5006.9504,4.0,0.021584647042410744,5006.9504,4.0,0.16071428571428573,4294.967296,3.0,0.16071428571428573,4294.967296,3.0,0.16071428571428573,4294.967296,3.0
dtn0-dtn1-1600-1547313736764.log,0.00041118421052637036,5098.176512,7.0,0.00041118421052637036,5098.176512,7.0,0.10300164473684204,4574.937088000001,5.0,0.10300164473684204,4574.937088000001,5.0,0.36787280701754393,3224.0216746666665,3.0
dtn0-dtn1-1600-1547379309403.log,0.020601261575627663,5101.3222399999995,9.0,0.020601261575627663,5101.3222399999995,9.0,0.12407730505972368,4562.354176,5.0,0.12407730505972368,4562.354176,5.0,0.39216212588914245,3166.0004693333335,3.0
dtn0-dtn1-1600-1547400385124.log,0.0350877192982459,5368.7091199999995,5.0,0.0350877192982459,5368.7091199999995,5.0,0.0350877192982459,5368.7091199999995,5.0,0.0350877192982459,5368.7091199999995,5.0,0.39253243786549724,3379.9099733333333,3.0
dtn0-dtn1-1600-1547271816267.log,0.00862068965517268,5368.7091199999995,5.0,0.00862068965517268,5368.7091199999995,5.0,0.14696844692887953,4619.501568,4.0,0.20689655172413812,4294.967296,3.0,0.20689655172413812,4294.967296,3.0
dtn0-dtn1-1600-1547352305808.log,0.03475952148437534,5527.568384,10.0,0.06250000000000043,5368.7091199999995,6.0,0.06250000000000043,5368.7091199999995,6.0,0.25000000000000033,4294.967296,3.0,0.25000000000000033,4294.967296,3.0
dtn0-dtn1-1600-1547258138400.log,0.030172413793103824,5368.7091199999995,12.0,0.08519876414331916,5064.0977920000005,7.0,0.17962436018318995,4541.382656,5.0,0.17962436018318995,4541.382656,5.0,0.4093901535560347,3269.4599679999997,3.0
