file_name,error_rate,mean_estimation,required_seconds,error_rate,mean_estimation,required_seconds,error_rate,mean_estimation,required_seconds,error_rate,mean_estimation,required_seconds,error_rate,mean_estimation,required_seconds
dtn1-dtn0-100GB-1549671789000-16-na-na-na-na,0.04780152033199142,22068.666666666668,3.0,0.04780152033199142,22068.666666666668,3.0,0.04780152033199142,22068.666666666668,3.0,0.04780152033199142,22068.666666666668,3.0,0.3639257776969256,14742.0,2.0
dtn1-dtn0-100GB-1549686138000-16-na-na-na-na,0.010909732469365545,26261.75,5.0,0.010909732469365545,26261.75,5.0,0.12786296272534797,22656.666666666668,3.0,0.12786296272534797,22656.666666666668,3.0,0.4109706806954513,15302.0,2.0
dtn1-dtn0-100GB-1549680940000-16-na-na-na-na,0.007074274633072372,23638.5,18.0,0.06121120262668762,22349.666666666668,3.0,0.06121120262668762,22349.666666666668,3.0,0.06121120262668762,22349.666666666668,3.0,0.3670746946790674,15068.0,2.0
dtn1-dtn0-100GB-1549673818000-16-na-na-na-na,0.041996105047112646,25529.5,5.0,0.07015774170476093,22781.666666666668,3.0,0.07015774170476093,22781.666666666668,3.0,0.07015774170476093,22781.666666666668,3.0,0.347729499020431,15981.0,2.0
dtn1-dtn0-100GB-1549682754000-16-na-na-na-na,0.008204037278305947,22989.75,4.0,0.055906965138744324,21884.0,3.0,0.055906965138744324,21884.0,3.0,0.055906965138744324,21884.0,3.0,0.3602220934476137,14830.0,2.0
dtn1-dtn0-100GB-1549669727000-16-na-na-na-na,0.029053087855010904,22062.666666666668,3.0,0.029053087855010904,22062.666666666668,3.0,0.029053087855010904,22062.666666666668,3.0,0.029053087855010904,22062.666666666668,3.0,0.33056666872670076,14352.5,2.0
dtn1-dtn0-100GB-1549683124000-16-na-na-na-na,0.016511953352769646,24212.75,16.0,0.07723848396501455,21979.666666666668,3.0,0.07723848396501455,21979.666666666668,3.0,0.07723848396501455,21979.666666666668,3.0,0.4003008746355685,14284.5,2.0
dtn1-dtn0-100GB-1549678799000-16-na-na-na-na,0.02435518054244961,23735.5,5.0,0.07928657826072255,21334.0,3.0,0.07928657826072255,21334.0,3.0,0.2970788480088834,16287.5,2.0,0.2970788480088834,16287.5,2.0
dtn1-dtn0-100GB-1549670933000-16-na-na-na-na,0.0004233611375468337,23807.25,4.0,0.053756367911325036,22537.0,3.0,0.053756367911325036,22537.0,3.0,0.053756367911325036,22537.0,3.0,0.3512917762973744,15450.5,2.0
dtn1-dtn0-100GB-1549673306000-16-na-na-na-na,0.010907814273234246,24229.0,12.0,0.07084568218744135,22760.75,4.0,0.10222810068500424,21992.0,3.0,0.10222810068500424,21992.0,3.0,0.4050301679444159,14574.5,2.0
dtn1-dtn0-100GB-1549672120000-16-na-na-na-na,0.00486308459730387,22457.333333333332,3.0,0.00486308459730387,22457.333333333332,3.0,0.00486308459730387,22457.333333333332,3.0,0.00486308459730387,22457.333333333332,3.0,0.32638601409365525,15201.5,2.0
dtn1-dtn0-100GB-1549685191000-16-na-na-na-na,0.04346732681964773,22170.333333333332,3.0,0.04346732681964773,22170.333333333332,3.0,0.04346732681964773,22170.333333333332,3.0,0.04346732681964773,22170.333333333332,3.0,0.3568417603509414,14907.0,2.0
dtn1-dtn0-100GB-1549681017000-16-na-na-na-na,0.019870775962299792,24013.25,7.0,0.05161556286100452,23235.5,4.0,0.1148466341614354,21686.333333333332,3.0,0.1148466341614354,21686.333333333332,3.0,0.4237367099590322,14118.5,2.0
dtn1-dtn0-100GB-1549671222000-16-na-na-na-na,0.013234532746570023,23484.75,5.0,0.013234532746570023,23484.75,5.0,0.11748209509017171,20455.0,3.0,0.2786694279057727,16719.0,2.0,0.2786694279057727,16719.0,2.0
dtn1-dtn0-100GB-1549684754000-16-na-na-na-na,0.018931476586939642,24031.75,4.0,0.08204854849834328,22485.666666666668,3.0,0.08204854849834328,22485.666666666668,3.0,0.08204854849834328,22485.666666666668,3.0,0.3827434092812437,15120.0,2.0
dtn1-dtn0-100GB-1549682390000-16-na-na-na-na,0.015630867661705506,24115.75,4.0,0.06469812569148509,22913.666666666668,3.0,0.06469812569148509,22913.666666666668,3.0,0.06469812569148509,22913.666666666668,3.0,0.3584349714387011,15717.5,2.0
dtn1-dtn0-100GB-1549669815000-16-na-na-na-na,0.02822826745286292,22041.666666666668,3.0,0.02822826745286292,22041.666666666668,3.0,0.02822826745286292,22041.666666666668,3.0,0.27301734654130444,15584.0,2.0,0.27301734654130444,15584.0,2.0
