file_name,error_rate,mean_estimation,required_seconds,error_rate,mean_estimation,required_seconds,error_rate,mean_estimation,required_seconds,error_rate,mean_estimation,required_seconds,error_rate,mean_estimation,required_seconds
dtn1-dtn0-100GB-1549671789000-16-na-na-na-na,0.020930594562649375,23941.5,19.0,0.06820433399775483,22785.5,6.0,0.15926986635499094,28348.0,4.0,0.20572572102478315,29484.0,3.0,0.20572572102478315,29484.0,3.0
dtn1-dtn0-100GB-1549686138000-16-na-na-na-na,0.03789732103872009,27221.0,18.0,0.051166057224807104,27569.0,4.0,0.16688621333047976,30604.0,3.0,0.16688621333047976,30604.0,3.0,0.16688621333047976,30604.0,3.0
dtn1-dtn0-100GB-1549680940000-16-na-na-na-na,0.03237217539601848,23793.5,4.0,0.03237217539601848,23793.5,4.0,0.03237217539601848,23793.5,4.0,0.22556295300252535,30136.0,3.0,0.22556295300252535,30136.0,3.0
dtn1-dtn0-100GB-1549673818000-16-na-na-na-na,0.004654262215169458,24766.0,4.0,0.004654262215169458,24766.0,4.0,0.004654262215169458,24766.0,4.0,0.28455303525311937,31962.0,3.0,0.28455303525311937,31962.0,3.0
dtn1-dtn0-100GB-1549682754000-16-na-na-na-na,0.02430019151817831,23796.5,6.0,0.02430019151817831,23796.5,6.0,0.14737442861979944,27983.5,4.0,0.2161139797689085,29660.0,3.0,0.2161139797689085,29660.0,3.0
dtn1-dtn0-100GB-1549669727000-16-na-na-na-na,0.017548958744850192,22462.0,8.0,0.017548958744850192,22462.0,8.0,0.017548958744850192,22462.0,8.0,0.2555096224391895,28705.0,3.0,0.2555096224391895,28705.0,3.0
dtn1-dtn0-100GB-1549683124000-16-na-na-na-na,0.012438547164537407,25187.5,14.0,0.0990309202463299,28030.5,7.0,0.12014464103449453,28569.0,3.0,0.12014464103449453,28569.0,3.0,0.12014464103449453,28569.0,3.0
dtn1-dtn0-100GB-1549678799000-16-na-na-na-na,0.02322760044900839,22764.5,4.0,0.02322760044900839,22764.5,4.0,0.02322760044900839,22764.5,4.0,0.02322760044900839,22764.5,4.0,0.3484603747364982,31427.0,3.0
dtn1-dtn0-100GB-1549670933000-16-na-na-na-na,0.026137557975978224,25321.5,6.0,0.026137557975978224,25321.5,6.0,0.18572248396019725,29259.5,4.0,0.2522432193596629,30901.0,3.0,0.2522432193596629,30901.0,3.0
dtn1-dtn0-100GB-1549673306000-16-na-na-na-na,0.012645268900771793,25303.0,6.0,0.08488273917567568,27108.0,4.0,0.16656510861117643,29149.0,3.0,0.16656510861117643,29149.0,3.0,0.16656510861117643,29149.0,3.0
dtn1-dtn0-100GB-1549672120000-16-na-na-na-na,0.040805025410368276,24767.5,9.0,0.040805025410368276,24767.5,9.0,0.11192897839339233,26460.0,4.0,0.2776257267609338,30403.0,3.0,0.2776257267609338,30403.0,3.0
