file_name,error_rate,mean_estimation,required_seconds,error_rate,mean_estimation,required_seconds,error_rate,mean_estimation,required_seconds,error_rate,mean_estimation,required_seconds,error_rate,mean_estimation,required_seconds
dtn1-dtn0-100GB-1549753563000-2-na-na-na-na,0.035259892472742596,9522.75,8.0,0.035259892472742596,9522.75,8.0,0.12783097469720836,8609.0,5.0,0.12783097469720836,8609.0,5.0,0.48990927605998885,5035.0,2.0
dtn1-dtn0-100GB-1549791412000-2-na-na-na-na,0.023162036142080854,9641.75,6.0,0.07343878461248222,9145.5,5.0,0.07343878461248222,9145.5,5.0,0.27882626740668104,7118.25,4.0,0.4672944212445937,5258.0,2.0
dtn1-dtn0-100GB-1549768290000-2-na-na-na-na,0.0007484533129321025,10110.75,6.0,0.06789324511423882,9417.25,5.0,0.06789324511423882,9417.25,5.0,0.24716833707705546,7606.0,4.0,0.41965514283396466,5863.333333333333,3.0
dtn1-dtn0-100GB-1549791592000-2-na-na-na-na,0.01759293871861434,9924.75,8.0,0.08693233229806074,9224.25,5.0,0.08693233229806074,9224.25,5.0,0.2908673581682312,7164.0,4.0,0.46315174721180935,5423.5,2.0
dtn1-dtn0-100GB-1549778192000-2-na-na-na-na,0.026057345958869604,9503.5,9.0,0.061052798296926766,10353.5,6.0,0.13356151222278773,8454.5,4.0,0.20903989015736893,7718.0,3.0,0.3646083595459559,6200.0,2.0
dtn1-dtn0-100GB-1549752319000-2-na-na-na-na,0.04945738943705687,9717.25,6.0,0.04945738943705687,9717.25,6.0,0.13747104698976037,8817.5,5.0,0.2940810672641458,7216.5,4.0,0.41888324352902406,5940.666666666667,3.0
dtn1-dtn0-100GB-1549749371000-2-na-na-na-na,0.011653771084393458,9755.0,6.0,0.011653771084393458,9755.0,6.0,0.10152184951065107,8868.0,5.0,0.10152184951065107,8868.0,5.0,0.41638096081016246,5760.333333333333,3.0
dtn1-dtn0-100GB-1549758677000-2-na-na-na-na,0.010848539689083489,9543.5,6.0,0.06308643312406037,9039.5,5.0,0.06308643312406037,9039.5,5.0,0.2860302997483367,6888.5,4.0,0.4674118741753398,5138.5,2.0
dtn1-dtn0-100GB-1549761377000-2-na-na-na-na,0.017404569485525392,9928.25,6.0,0.0540466264527097,9231.0,5.0,0.0540466264527097,9231.0,5.0,0.24729021589771052,7345.25,4.0,0.47634906956704004,5110.0,2.0
dtn1-dtn0-100GB-1549761469000-2-na-na-na-na,0.037734168208670725,9721.5,7.0,0.07534780973319936,9341.5,5.0,0.07534780973319936,9341.5,5.0,0.07534780973319936,9341.5,5.0,0.43965572455169316,5661.0,2.0
dtn1-dtn0-100GB-1549752675000-2-na-na-na-na,0.008562415502478594,9900.0,10.0,0.05227579990986931,9463.5,5.0,0.05227579990986931,9463.5,5.0,0.2247508887887437,7741.25,4.0,0.42396474888588453,5752.0,3.0
dtn1-dtn0-100GB-1549780974000-2-na-na-na-na,0.04112581586133419,9357.25,5.0,0.04112581586133419,9357.25,5.0,0.04112581586133419,9357.25,5.0,0.23395613417098013,7475.5,4.0,0.3948402047149653,5905.5,2.0
dtn1-dtn0-100GB-1549781421000-2-na-na-na-na,0.0027045690622918613,9958.25,9.0,0.090734361826507,9079.25,7.0,0.11459454171965178,8841.0,5.0,0.11459454171965178,8841.0,5.0,0.48093468043580534,5183.0,2.0
dtn1-dtn0-100GB-1549773052000-2-na-na-na-na,0.03382879022190752,9428.25,5.0,0.03382879022190752,9428.25,5.0,0.03382879022190752,9428.25,5.0,0.215390993273835,7656.5,4.0,0.4492929142367386,5374.0,2.0
dtn1-dtn0-100GB-1549784987000-2-na-na-na-na,0.030730514962333526,10292.0,6.0,0.07942782480497196,10778.25,5.0,0.1785051757085813,8202.75,4.0,0.1785051757085813,8202.75,4.0,0.43561194937133396,5635.5,2.0
dtn1-dtn0-100GB-1549787226000-2-na-na-na-na,0.014554135491571845,10130.5,6.0,0.014554135491571845,10130.5,6.0,0.11180820402340676,8868.75,5.0,0.2776540801770066,7212.75,4.0,0.42357875532523986,5755.666666666667,3.0
dtn1-dtn0-100GB-1549766318000-2-na-na-na-na,0.0471421101908869,10335.75,5.0,0.0471421101908869,10335.75,5.0,0.0471421101908869,10335.75,5.0,0.20616481586718968,7835.5,4.0,0.49505780642997554,4984.0,2.0
dtn1-dtn0-100GB-1549789989000-2-na-na-na-na,0.012495253603184969,10226.75,5.0,0.012495253603184969,10226.75,5.0,0.012495253603184969,10226.75,5.0,0.21717065829903112,7907.0,4.0,0.4986407251329573,5064.0,2.0
dtn1-dtn0-100GB-1549770354000-2-na-na-na-na,0.008337525678111716,9952.5,5.0,0.008337525678111716,9952.5,5.0,0.18345176707332414,8059.5,4.0,0.18345176707332414,8059.5,4.0,0.42544264173618973,5671.0,2.0
dtn1-dtn0-100GB-1549788488000-2-na-na-na-na,0.0035250632345336904,9905.0,6.0,0.0659010397015051,9219.75,5.0,0.0659010397015051,9219.75,5.0,0.23887107142358058,7512.5,4.0,0.47726526362861416,5159.5,2.0
dtn1-dtn0-100GB-1549790345000-2-na-na-na-na,0.04205038803022254,9677.5,6.0,0.06543613805118456,9441.25,5.0,0.06543613805118456,9441.25,5.0,0.26932523267838676,7381.5,4.0,0.3975302862324579,6086.333333333333,3.0
dtn1-dtn0-100GB-1549769186000-2-na-na-na-na,0.007470481988743699,9944.0,5.0,0.007470481988743699,9944.0,5.0,0.19323336201967356,7963.0,4.0,0.19323336201967356,7963.0,4.0,0.4564988535168327,5364.5,2.0
dtn1-dtn0-100GB-1549775850000-2-na-na-na-na,0.04236423600436017,9789.5,5.0,0.04236423600436017,9789.5,5.0,0.04236423600436017,9789.5,5.0,0.27554920484082845,7405.75,4.0,0.46608345677632135,5458.0,2.0
dtn1-dtn0-100GB-1549753829000-2-na-na-na-na,0.01477059807879752,10499.0,6.0,0.08431316835384227,11218.5,5.0,0.19902810303086055,8287.0,4.0,0.19902810303086055,8287.0,4.0,0.4196892398452138,6004.0,2.0
dtn1-dtn0-100GB-1549761824000-2-na-na-na-na,0.014894583311498835,9723.5,5.0,0.014894583311498835,9723.5,5.0,0.014894583311498835,9723.5,5.0,0.22227986515048292,7676.5,4.0,0.4070726126220545,5852.5,2.0
dtn1-dtn0-100GB-1549784095000-2-na-na-na-na,0.043304418304855076,9552.75,8.0,0.05612345308091208,9424.75,7.0,0.10852626516350448,8901.5,5.0,0.10852626516350448,8901.5,5.0,0.4236107957203119,5755.333333333333,3.0
dtn1-dtn0-100GB-1549754005000-2-na-na-na-na,0.00946959992919924,10080.0,6.0,0.09152743296054257,9071.5,5.0,0.09152743296054257,9071.5,5.0,0.2749444540191069,7240.0,4.0,0.4238946310986071,5752.666666666667,3.0
dtn1-dtn0-100GB-1549772508000-2-na-na-na-na,0.019873765604620813,9564.25,8.0,0.07867057946711382,8990.5,5.0,0.07867057946711382,8990.5,5.0,0.07867057946711382,8990.5,5.0,0.468651015464878,5185.0,2.0
dtn1-dtn0-100GB-1549758138000-2-na-na-na-na,0.01374321849065354,9735.25,5.0,0.01374321849065354,9735.25,5.0,0.01374321849065354,9735.25,5.0,0.22773062371836902,7623.0,4.0,0.4704134639233601,5227.5,2.0
dtn1-dtn0-100GB-1549781774000-2-na-na-na-na,0.04344734984965747,9663.5,5.0,0.04344734984965747,9663.5,5.0,0.04344734984965747,9663.5,5.0,0.25406512822782185,7535.75,4.0,0.41123038618572594,5948.0,3.0
dtn1-dtn0-100GB-1549765513000-2-na-na-na-na,0.04317617837109565,9444.5,6.0,0.05510544990445406,9326.75,5.0,0.05510544990445406,9326.75,5.0,0.2769493763602636,7137.0,4.0,0.488940889596378,5044.5,2.0
dtn1-dtn0-100GB-1549789107000-2-na-na-na-na,0.03448673412467808,10575.25,6.0,0.05708349879528167,10806.25,5.0,0.18969567035088808,8283.5,4.0,0.18969567035088808,8283.5,4.0,0.3702252339855155,6438.0,3.0
dtn1-dtn0-100GB-1549771437000-2-na-na-na-na,0.020795995914864356,9777.5,6.0,0.056699308158742766,9419.0,5.0,0.056699308158742766,9419.0,5.0,0.28351109729214197,7154.25,4.0,0.44772994318307535,5514.5,2.0
dtn1-dtn0-100GB-1549758048000-2-na-na-na-na,0.01922740983148354,9680.0,6.0,0.05590506248034748,9318.0,5.0,0.05590506248034748,9318.0,5.0,0.2991731398558235,6917.0,4.0,0.42413383488418127,5683.666666666667,3.0
dtn1-dtn0-100GB-1549756159000-2-na-na-na-na,0.04540031581815763,9422.25,5.0,0.04540031581815763,9422.25,5.0,0.04540031581815763,9422.25,5.0,0.2991395934889289,6917.75,4.0,0.36446137399530926,6273.0,3.0
dtn1-dtn0-100GB-1549757779000-2-na-na-na-na,0.002890196968902975,10014.5,5.0,0.002890196968902975,10014.5,5.0,0.002890196968902975,10014.5,5.0,0.263942987895408,7350.0,4.0,0.41335755416208164,5858.0,3.0
dtn1-dtn0-100GB-1549789900000-2-na-na-na-na,0.025799877725698014,9842.0,5.0,0.025799877725698014,9842.0,5.0,0.025799877725698014,9842.0,5.0,0.25029549622987574,7574.0,4.0,0.47206905586771086,5333.5,2.0
dtn1-dtn0-100GB-1549785789000-2-na-na-na-na,0.026278798663525425,10247.0,5.0,0.026278798663525425,10247.0,5.0,0.19656401650445976,8022.0,4.0,0.19656401650445976,8022.0,4.0,0.4675809413784228,5316.0,2.0
dtn1-dtn0-100GB-1549785965000-2-na-na-na-na,0.00684360014067422,10171.75,5.0,0.00684360014067422,10171.75,5.0,0.00684360014067422,10171.75,5.0,0.20953608967745085,7985.75,4.0,0.44351023963517877,5622.0,2.0
dtn1-dtn0-100GB-1549785076000-2-na-na-na-na,0.019547725234929054,9790.5,7.0,0.019547725234929054,9790.5,7.0,0.10414371717689255,8945.75,5.0,0.10414371717689255,8945.75,5.0,0.47159425690231377,5276.5,2.0
dtn1-dtn0-100GB-1549788665000-2-na-na-na-na,0.0002107729428094392,9987.5,5.0,0.0002107729428094392,9987.5,5.0,0.0002107729428094392,9987.5,5.0,0.2522579488182742,7466.5,4.0,0.4780376922575296,5212.0,2.0
dtn1-dtn0-100GB-1549748830000-2-na-na-na-na,0.027009464317531505,10021.5,5.0,0.027009464317531505,10021.5,5.0,0.027009464317531505,10021.5,5.0,0.2154340461558707,7655.75,4.0,0.43620290695575514,5501.5,2.0
dtn1-dtn0-100GB-1549748561000-2-na-na-na-na,0.0488690854636959,9497.75,7.0,0.08194123250121683,9167.5,5.0,0.08194123250121683,9167.5,5.0,0.2585179569945061,7404.25,4.0,0.4583278021924278,5409.0,2.0
dtn1-dtn0-100GB-1549759579000-2-na-na-na-na,0.011286767146162661,9872.75,5.0,0.011286767146162661,9872.75,5.0,0.011286767146162661,9872.75,5.0,0.24214758910927411,7567.5,4.0,0.3997268119089513,5994.0,2.0
dtn1-dtn0-100GB-1549781598000-2-na-na-na-na,0.04214198873667188,9792.0,5.0,0.04214198873667188,9792.0,5.0,0.04214198873667188,9792.0,5.0,0.2813130301519943,7347.0,4.0,0.42540257780220697,5874.0,3.0
dtn1-dtn0-100GB-1549768201000-2-na-na-na-na,0.003338006814587838,10018.75,6.0,0.07425012751151092,9244.0,5.0,0.07425012751151092,9244.0,5.0,0.27326531943089105,7256.75,4.0,0.49496358643883054,5043.0,2.0
dtn1-dtn0-100GB-1549789547000-2-na-na-na-na,0.01011946076125077,9883.75,5.0,0.01011946076125077,9883.75,5.0,0.01011946076125077,9883.75,5.0,0.24217239708766353,7566.75,4.0,0.47715478891150725,5220.5,2.0
dtn1-dtn0-100GB-1549777101000-2-na-na-na-na,0.047645803880650574,9086.75,17.0,0.08354624663162231,10338.5,6.0,0.15360559063352286,8075.75,4.0,0.26418561536795376,7020.666666666667,3.0,0.43021722979031635,5436.5,2.0
dtn1-dtn0-100GB-1549748739000-2-na-na-na-na,0.046841103212171054,9408.5,6.0,0.046841103212171054,9408.5,6.0,0.11993502296903119,8687.0,5.0,0.26675603919582197,7237.75,4.0,0.4429564549090846,5498.5,2.0
dtn1-dtn0-100GB-1549779003000-2-na-na-na-na,0.021222806277991342,9773.5,6.0,0.08812035223453729,9105.5,5.0,0.08812035223453729,9105.5,5.0,0.08812035223453729,9105.5,5.0,0.40910505939280456,5900.333333333333,3.0
