file_name,error_rate,mean_estimation,required_seconds,error_rate,mean_estimation,required_seconds,error_rate,mean_estimation,required_seconds,error_rate,mean_estimation,required_seconds,error_rate,mean_estimation,required_seconds
82,0.018451762330373808,5532.0,8.0,0.07386643703417758,5833.0,3.0,0.07386643703417758,5833.0,3.0,0.07386643703417758,5833.0,3.0,0.07386643703417758,5833.0,3.0
462,0.02150444969176768,5494.0,7.0,0.09087540288526176,5104.5,4.0,0.12854409762319244,4893.0,3.0,0.12854409762319244,4893.0,3.0,0.12854409762319244,4893.0,3.0
380,0.02548714664715034,5424.0,7.0,0.08182843899612725,5722.0,3.0,0.08182843899612725,5722.0,3.0,0.08182843899612725,5722.0,3.0,0.08182843899612725,5722.0,3.0
85,0.005545074135887645,5305.0,3.0,0.005545074135887645,5305.0,3.0,0.005545074135887645,5305.0,3.0,0.005545074135887645,5305.0,3.0,0.005545074135887645,5305.0,3.0
851,0.037022006603825756,5052.0,3.0,0.037022006603825756,5052.0,3.0,0.037022006603825756,5052.0,3.0,0.037022006603825756,5052.0,3.0,0.037022006603825756,5052.0,3.0
833,0.03242108490927634,5293.0,3.0,0.03242108490927634,5293.0,3.0,0.03242108490927634,5293.0,3.0,0.03242108490927634,5293.0,3.0,0.03242108490927634,5293.0,3.0
719,0.023014510379034465,5286.5,4.0,0.023014510379034465,5286.5,4.0,0.11606514766725089,4783.0,3.0,0.11606514766725089,4783.0,3.0,0.11606514766725089,4783.0,3.0
204,0.047265912506726286,4969.0,8.0,0.08733864832602478,4760.0,3.0,0.08733864832602478,4760.0,3.0,0.08733864832602478,4760.0,3.0,0.08733864832602478,4760.0,3.0
548,0.006995064970344476,4952.5,5.0,0.07727234507693595,4602.0,3.0,0.07727234507693595,4602.0,3.0,0.07727234507693595,4602.0,3.0,0.07727234507693595,4602.0,3.0
918,0.011472370976284287,5544.5,17.0,0.05899488024480662,5805.0,3.0,0.05899488024480662,5805.0,3.0,0.05899488024480662,5805.0,3.0,0.05899488024480662,5805.0,3.0
930,0.027794621201312545,5275.5,5.0,0.07607778094830452,5013.5,4.0,0.13772173871688775,4679.0,3.0,0.13772173871688775,4679.0,3.0,0.13772173871688775,4679.0,3.0
599,0.022525029472840036,5269.0,4.0,0.022525029472840036,5269.0,4.0,0.11249947637086102,4784.0,3.0,0.11249947637086102,4784.0,3.0,0.11249947637086102,4784.0,3.0
404,0.01325783197727222,4941.0,8.0,0.08535131966320719,4580.0,6.0,0.15784421725321937,4217.0,3.0,0.15784421725321937,4217.0,3.0,0.15784421725321937,4217.0,3.0
18,0.026683199814905953,4342.5,5.0,0.026683199814905953,4342.5,5.0,0.19198455620788393,3605.0,3.0,0.19198455620788393,3605.0,3.0,0.19198455620788393,3605.0,3.0
979,0.04359346773177132,5140.5,6.0,0.07912963107448734,4949.5,5.0,0.15345788895624152,4550.0,3.0,0.15345788895624152,4550.0,3.0,0.15345788895624152,4550.0,3.0
87,0.019740620937755016,5230.0,22.0,0.08890232473774898,4861.0,3.0,0.08890232473774898,4861.0,3.0,0.08890232473774898,4861.0,3.0,0.08890232473774898,4861.0,3.0
251,0.011727438161353418,5203.0,3.0,0.011727438161353418,5203.0,3.0,0.011727438161353418,5203.0,3.0,0.011727438161353418,5203.0,3.0,0.011727438161353418,5203.0,3.0
83,0.001273785494522669,4932.0,6.0,0.08217222886332604,4532.5,5.0,0.1509207182843742,4193.0,3.0,0.1509207182843742,4193.0,3.0,0.1509207182843742,4193.0,3.0
892,0.002757674885269957,5448.5,4.0,0.002757674885269957,5448.5,4.0,0.10003027802349819,4890.0,3.0,0.10003027802349819,4890.0,3.0,0.10003027802349819,4890.0,3.0
414,0.009385210082061996,5551.0,9.0,0.052348942110851004,5211.5,4.0,0.11353757896774415,4875.0,3.0,0.11353757896774415,4875.0,3.0,0.11353757896774415,4875.0,3.0
521,0.009115239199169721,5267.0,11.0,0.009115239199169721,5267.0,11.0,0.18915638521899023,4310.0,4.0,0.2580122467061943,3944.0,3.0,0.2580122467061943,3944.0,3.0
836,0.003972970323718897,5244.5,20.0,0.051957997402406524,5539.0,3.0,0.051957997402406524,5539.0,3.0,0.051957997402406524,5539.0,3.0,0.051957997402406524,5539.0,3.0
871,0.039583807207554,5312.0,3.0,0.039583807207554,5312.0,3.0,0.039583807207554,5312.0,3.0,0.039583807207554,5312.0,3.0,0.039583807207554,5312.0,3.0
958,0.023940719932292485,5245.5,5.0,0.07864693065384544,4951.5,4.0,0.1137221712015078,4763.0,3.0,0.1137221712015078,4763.0,3.0,0.1137221712015078,4763.0,3.0
855,0.03188710957269334,5327.5,9.0,0.06355553611706412,5491.0,3.0,0.06355553611706412,5491.0,3.0,0.06355553611706412,5491.0,3.0,0.06355553611706412,5491.0,3.0
