file_name,error_rate,mean_estimation,required_seconds,error_rate,mean_estimation,required_seconds,error_rate,mean_estimation,required_seconds,error_rate,mean_estimation,required_seconds,error_rate,mean_estimation,required_seconds
esnet2-esnet1-500x100MB-1565563441000-1-na-na-na-na,0.003766881677081981,6427.77088,0.9,0.003766881677081981,6427.77088,0.9,0.13012434489014382,5612.50304,0.8,0.2625762195121957,4757.9136,0.7,0.2625762195121957,4757.9136,0.7
esnet2-esnet1-500x100MB-1565594682000-1-na-na-na-na,0.043952804589533566,6315.04896,0.5,0.043952804589533566,6315.04896,0.5,0.043952804589533566,6315.04896,0.5,0.26979639861628724,4417.1264,0.4,0.4539723811611406,3303.0144,0.2
esnet2-esnet1-500x100MB-1565538733000-1-na-na-na-na,0.013858181267509428,6315.04896,0.5,0.013858181267509428,6315.04896,0.5,0.013858181267509428,6315.04896,0.5,0.28747949319805166,4438.09792,0.4,0.36870598924812614,3932.16,0.3
esnet2-esnet1-500x100MB-1565592806000-1-na-na-na-na,0.0069180851305307165,6564.08576,0.8,0.053320075561731996,6257.37728,0.7,0.13303631553328277,5730.46784,0.5,0.13303631553328277,5730.46784,0.5,0.4595688407898841,3572.148906666667,0.3
esnet2-esnet1-500x100MB-1565615970000-1-na-na-na-na,0.03842634949679739,6343.8848,0.7,0.056448624983931904,6453.98528,0.5,0.19157221386282386,4938.79296,0.4,0.25736782278410847,4536.838826666667,0.3,0.3992574837621833,3670.016,0.2
esnet2-esnet1-500x100MB-1565595418000-1-na-na-na-na,0.02550017390778294,6315.04896,0.5,0.02550017390778294,6315.04896,0.5,0.02550017390778294,6315.04896,0.5,0.28763213210942534,4616.35584,0.4,0.36894158210715705,4089.4464000000003,0.3
esnet2-esnet1-500x100MB-1565547801000-1-na-na-na-na,0.019319565179036786,6828.8512,0.5,0.019319565179036786,6828.8512,0.5,0.019319565179036786,6828.8512,0.5,0.2685420189988434,4900.345173333334,0.3,0.37471298842376166,4189.06112,0.2
esnet2-esnet1-500x100MB-1565505461000-1-na-na-na-na,0.01946208640227672,6530.00704,0.5,0.01946208640227672,6530.00704,0.5,0.01946208640227672,6530.00704,0.5,0.2540669023413546,4967.6288,0.4,0.4544257132691913,3633.31584,0.2
esnet2-esnet1-500x100MB-1565602907000-1-na-na-na-na,0.027309655191590357,6425.149439999999,0.5,0.027309655191590357,6425.149439999999,0.5,0.027309655191590357,6425.149439999999,0.5,0.2789153992179191,4763.15648,0.4,0.4682149889664345,3512.7296,0.2
esnet2-esnet1-500x100MB-1565607575000-1-na-na-na-na,0.016706119022590383,6417.28512,0.5,0.016706119022590383,6417.28512,0.5,0.016706119022590383,6417.28512,0.5,0.26322032061026335,4650.43456,0.4,0.49164694048870483,3208.64256,0.2
esnet2-esnet1-500x100MB-1565528220000-1-na-na-na-na,0.014762418897510591,6398.93504,0.5,0.014762418897510591,6398.93504,0.5,0.014762418897510591,6398.93504,0.5,0.2678324571405507,4755.29216,0.4,0.4995106101732541,3250.5856,0.2
esnet2-esnet1-500x100MB-1565525767000-1-na-na-na-na,0.04704888900092074,6312.42752,0.5,0.04704888900092074,6312.42752,0.5,0.04704888900092074,6312.42752,0.5,0.2747186267219536,4372.56192,0.4,0.47125770389322275,3187.67104,0.2
esnet2-esnet1-500x100MB-1565571011000-1-na-na-na-na,0.0004977669795245115,6569.32864,0.5,0.0004977669795245115,6569.32864,0.5,0.0004977669795245115,6569.32864,0.5,0.29750335205105183,4617.229653333333,0.3,0.43045124151905867,3743.41632,0.2
esnet2-esnet1-500x100MB-1565581208000-1-na-na-na-na,0.03459625511995326,6233.78432,0.6,0.06679142874437574,6427.77088,0.5,0.06679142874437574,6427.77088,0.5,0.2905459938257903,4274.694826666667,0.3,0.39612295958515764,3638.55872,0.2
esnet2-esnet1-500x100MB-1565574486000-1-na-na-na-na,0.04203996461702511,6283.5916799999995,0.6,0.04203996461702511,6283.5916799999995,0.6,0.14967452198961145,5127.53664,0.5,0.14967452198961145,5127.53664,0.5,0.4777482919649897,3149.2232533333336,0.3
esnet2-esnet1-500x100MB-1565495825000-1-na-na-na-na,0.011677689221932804,6026.690560000001,1.5,0.06326476068490294,5712.11776,1.4,0.17159761075714003,5051.51488,0.5,0.17159761075714003,5051.51488,0.5,0.4531770424925179,3334.47168,0.3
esnet2-esnet1-500x100MB-1565499227000-1-na-na-na-na,0.03733559770265775,6359.61344,0.5,0.03733559770265775,6359.61344,0.5,0.03733559770265775,6359.61344,0.5,0.2901044452968074,4689.75616,0.4,0.37462526874665647,4131.38944,0.3
esnet2-esnet1-500x100MB-1565567828000-1-na-na-na-na,0.04154590406871257,6094.848,0.5,0.04154590406871257,6094.848,0.5,0.04154590406871257,6094.848,0.5,0.23395978668494685,4482.6624,0.4,0.38895973627968866,3575.64416,0.2
esnet2-esnet1-500x100MB-1565517142000-1-na-na-na-na,0.03276919624961792,6430.39232,0.5,0.03276919624961792,6430.39232,0.5,0.03276919624961792,6430.39232,0.5,0.2749985503702234,4514.11968,0.4,0.4669849969620806,3318.74304,0.2
esnet2-esnet1-500x100MB-1565510569000-1-na-na-na-na,0.0426739626542943,6301.94176,0.9,0.057854324007414214,6393.69216,0.5,0.057854324007414214,6393.69216,0.5,0.23751213546329064,4608.49152,0.4,0.43615800688411704,3407.872,0.2
