file_name,error_rate,mean_estimation,required_seconds,error_rate,mean_estimation,required_seconds,error_rate,mean_estimation,required_seconds,error_rate,mean_estimation,required_seconds,error_rate,mean_estimation,required_seconds
esnet2-esnet1-500x100MB-1565389126000-4-na-na-na-na,0.03808878423296276,17078.6816,0.5,0.03808878423296276,17078.6816,0.5,0.03808878423296276,17078.6816,0.5,0.2778652714786524,12821.46304,0.4,0.4191621300341482,10312.74496,0.2
esnet2-esnet1-500x100MB-1565376452000-4-na-na-na-na,0.03682422026872084,19419.627520000002,0.9,0.053726603012385424,19078.84032,0.8,0.13108750864684962,17519.08352,0.5,0.13108750864684962,17519.08352,0.5,0.45964382551792715,10894.70464,0.2
esnet2-esnet1-500x100MB-1565371197000-4-na-na-na-na,0.01285458417434856,19057.8688,0.6,0.01285458417434856,19057.8688,0.6,0.18964458849415577,15644.75392,0.5,0.18964458849415577,15644.75392,0.5,0.4859239966553073,9924.77184,0.4
esnet2-esnet1-500x100MB-1565376795000-4-na-na-na-na,0.011767683798868113,19314.76992,0.6,0.07919139888372752,20601.89696,0.5,0.19379912166352403,15390.47424,0.4,0.19379912166352403,15390.47424,0.4,0.3820637110348932,11796.48,0.2
esnet2-esnet1-500x100MB-1565404292000-4-na-na-na-na,0.01804499017830697,18279.301119999996,0.6,0.07060431851104627,19223.019519999998,0.5,0.07060431851104627,19223.019519999998,0.5,0.27915854512543214,12942.923093333333,0.3,0.4387831719137512,10076.81536,0.2
esnet2-esnet1-500x100MB-1565399895000-4-na-na-na-na,0.021677441486798777,18402.5088,0.6,0.06333349308486128,20001.5872,0.5,0.19783124689430392,15089.00864,0.4,0.19783124689430392,15089.00864,0.4,0.30959972152786336,12986.61376,0.2
esnet2-esnet1-500x100MB-1565370486000-4-na-na-na-na,0.011386715835426626,19152.24064,0.8,0.06646002635486022,18085.31456,0.5,0.06646002635486022,18085.31456,0.5,0.2832350716917951,13885.767679999999,0.4,0.33289577184076835,12923.6992,0.2
esnet2-esnet1-500x100MB-1565403536000-4-na-na-na-na,0.03602436474385223,18150.85056,0.9,0.06998992378441482,18745.91744,0.5,0.06998992378441482,18745.91744,0.5,0.20846780914283955,13867.4176,0.4,0.47510492901192464,9196.01152,0.2
esnet2-esnet1-500x100MB-1565385667000-4-na-na-na-na,0.02197868855773664,18119.39328,0.5,0.02197868855773664,18119.39328,0.5,0.02197868855773664,18119.39328,0.5,0.23529025213822136,13558.08768,0.4,0.45263815031239285,9704.57088,0.2
esnet2-esnet1-500x100MB-1565376645000-4-na-na-na-na,0.014368729687720115,20276.8384,0.5,0.014368729687720115,20276.8384,0.5,0.014368729687720115,20276.8384,0.5,0.251378964048527,15400.96,0.4,0.40441621752558554,12252.61056,0.2
esnet2-esnet1-500x100MB-1565408096000-4-na-na-na-na,0.040808312043103034,20255.86688,0.5,0.040808312043103034,20255.86688,0.5,0.040808312043103034,20255.86688,0.5,0.22292957782106101,15123.087360000001,0.4,0.4318455467584045,11057.23392,0.2
esnet2-esnet1-500x100MB-1565372346000-4-na-na-na-na,0.014272437767221457,19679.15008,0.5,0.014272437767221457,19679.15008,0.5,0.014272437767221457,19679.15008,0.5,0.22635886790260956,15010.36544,0.4,0.3893017958295137,11848.9088,0.2
esnet2-esnet1-500x100MB-1565393316000-4-na-na-na-na,0.0403919362447687,16148.0704,0.6,0.0403919362447687,16148.0704,0.6,0.0403919362447687,16148.0704,0.6,0.29260061404017773,11903.95904,0.5,0.29260061404017773,11903.95904,0.5
