file_name,error_rate,mean_estimation,required_seconds,error_rate,mean_estimation,required_seconds,error_rate,mean_estimation,required_seconds,error_rate,mean_estimation,required_seconds,error_rate,mean_estimation,required_seconds
esnet2-esnet1-500x100MB-1565336967000-8-na-na-na-na,0.013509265839392203,24416.09216,0.9,0.06910430219209526,26460.81536,0.5,0.1518340348767289,20992.49152,0.4,0.2540315967856557,31037.8496,0.3,0.2540315967856557,31037.8496,0.3
esnet2-esnet1-500x100MB-1565366299000-8-na-na-na-na,0.00938388350641062,23540.531199999998,1.0,0.06750014503683921,21747.46624,0.6,0.13932238788652335,26570.91584,0.4,0.13932238788652335,26570.91584,0.4,0.4189824215350699,33093.05856,0.3
esnet2-esnet1-500x100MB-1565341901000-8-na-na-na-na,0.0345446281189446,29255.2704,0.4,0.07904117126384543,30513.5616,0.3,0.07904117126384543,30513.5616,0.3,0.07904117126384543,30513.5616,0.3,0.07904117126384543,30513.5616,0.3
esnet2-esnet1-500x100MB-1565351184000-8-na-na-na-na,0.04112433862433883,26623.34464,1.7,0.09357804232804215,23178.77248,0.7,0.09357804232804215,23178.77248,0.7,0.09357804232804215,23178.77248,0.7,0.49501984126984117,12913.21344,0.6
esnet2-esnet1-500x100MB-1565336641000-8-na-na-na-na,0.016281877721268722,28185.72288,0.4,0.09983779103094148,30503.07584,0.3,0.09983779103094148,30503.07584,0.3,0.09983779103094148,30503.07584,0.3,0.09983779103094148,30503.07584,0.3
esnet2-esnet1-500x100MB-1565359891000-8-na-na-na-na,0.03483338043729596,27247.24736,0.4,0.03483338043729596,27247.24736,0.4,0.03483338043729596,27247.24736,0.4,0.23176434315665045,32432.45568,0.3,0.23176434315665045,32432.45568,0.3
esnet2-esnet1-500x100MB-1565343007000-8-na-na-na-na,0.014713850059598516,22172.13952,0.5,0.014713850059598516,22172.13952,0.5,0.014713850059598516,22172.13952,0.5,0.014713850059598516,22172.13952,0.5,0.014713850059598516,22172.13952,0.5
esnet2-esnet1-500x100MB-1565338058000-8-na-na-na-na,0.01710374639769431,23876.07552,1.4,0.01710374639769431,23876.07552,1.4,0.15914985590778086,27210.5472,0.3,0.15914985590778086,27210.5472,0.3,0.15914985590778086,27210.5472,0.3
esnet2-esnet1-500x100MB-1565344972000-8-na-na-na-na,0.039350962646548054,22879.92832,2.0,0.06615602095849787,20557.33248,0.9,0.15141900093729369,18680.381439999997,0.5,0.15141900093729369,18680.381439999997,0.5,0.46793995175243164,11712.59392,0.4
esnet2-esnet1-500x100MB-1565359205000-8-na-na-na-na,0.000663361029214979,25223.49568,0.6,0.000663361029214979,25223.49568,0.6,0.19438488340927335,30146.56,0.3,0.19438488340927335,30146.56,0.3,0.19438488340927335,30146.56,0.3
