file_name,error_rate,mean_estimation,required_seconds,error_rate,mean_estimation,required_seconds,error_rate,mean_estimation,required_seconds,error_rate,mean_estimation,required_seconds,error_rate,mean_estimation,required_seconds
esnet2-esnet1-50x1GB-1566100969000-1-na-na-na-na,0.004138107416879757,5826.1504,5.9,0.0525442455242965,6157.762559999999,1.2,0.0525442455242965,6157.762559999999,1.2,0.2960634271099745,4118.28224,1.1,0.43720920716112527,3292.5286400000005,0.5
esnet2-esnet1-50x1GB-1566098266000-1-na-na-na-na,0.008248589882621298,5801.24672,0.5,0.008248589882621298,5801.24672,0.5,0.008248589882621298,5801.24672,0.5,0.008248589882621298,5801.24672,0.5,0.3129512546122942,3953.13152,0.4
esnet2-esnet1-50x1GB-1566161235000-1-na-na-na-na,0.035194937876040965,5775.03232,0.5,0.035194937876040965,5775.03232,0.5,0.035194937876040965,5775.03232,0.5,0.035194937876040965,5775.03232,0.5,0.32381047861841905,3772.25216,0.4
esnet2-esnet1-50x1GB-1566080421000-1-na-na-na-na,0.0488465373613589,6450.0531200000005,1.3,0.06944442549894471,5722.603520000001,0.5,0.06944442549894471,5722.603520000001,0.5,0.06944442549894471,5722.603520000001,0.5,0.41771007110928016,3580.88704,0.4
esnet2-esnet1-50x1GB-1566133439000-1-na-na-na-na,0.010352735105579746,5643.96032,0.5,0.010352735105579746,5643.96032,0.5,0.010352735105579746,5643.96032,0.5,0.010352735105579746,5643.96032,0.5,0.3584987510964573,3583.50848,0.4
esnet2-esnet1-50x1GB-1566080224000-1-na-na-na-na,0.007157925742485641,6039.7977599999995,0.5,0.007157925742485641,6039.7977599999995,0.5,0.007157925742485641,6039.7977599999995,0.5,0.007157925742485641,6039.7977599999995,0.5,0.3600822568262115,3892.8383999999996,0.4
esnet2-esnet1-50x1GB-1566075300000-1-na-na-na-na,0.021747877931443463,5688.5248,0.5,0.021747877931443463,5688.5248,0.5,0.021747877931443463,5688.5248,0.5,0.021747877931443463,5688.5248,0.5,0.3481324569073121,3790.60224,0.4
esnet2-esnet1-50x1GB-1566170462000-1-na-na-na-na,0.006983108812953084,6003.097599999999,0.5,0.006983108812953084,6003.097599999999,0.5,0.006983108812953084,6003.097599999999,0.5,0.006983108812953084,6003.097599999999,0.5,0.36039305043629066,3866.624,0.4
esnet2-esnet1-50x1GB-1566042151000-1-na-na-na-na,0.015700352928818048,6294.07744,0.5,0.015700352928818048,6294.07744,0.5,0.015700352928818048,6294.07744,0.5,0.015700352928818048,6294.07744,0.5,0.3264455143115569,4307.02592,0.4
esnet2-esnet1-50x1GB-1566174640000-1-na-na-na-na,0.03578926690321595,5718.67136,1.3,0.060786504438359694,6291.456,0.5,0.060786504438359694,6291.456,0.5,0.29855492394013455,4160.225280000001,0.4,0.29855492394013455,4160.225280000001,0.4
esnet2-esnet1-50x1GB-1566063459000-1-na-na-na-na,0.01911787767012783,5426.3808,4.9,0.055367869147536074,5225.84064,1.4,0.11640496628462736,6176.112639999999,0.5,0.22856227287293146,4267.70432,0.4,0.4269500257950441,3170.194773333333,0.3
esnet2-esnet1-50x1GB-1566005590000-1-na-na-na-na,0.022703195027140195,6003.0976,0.5,0.022703195027140195,6003.0976,0.5,0.022703195027140195,6003.0976,0.5,0.022703195027140195,6003.0976,0.5,0.35600834991089725,3955.75296,0.4
esnet2-esnet1-50x1GB-1566014364000-1-na-na-na-na,0.004845438291917284,5442.10944,0.5,0.004845438291917284,5442.10944,0.5,0.004845438291917284,5442.10944,0.5,0.004845438291917284,5442.10944,0.5,0.36101106418262324,3494.37952,0.4
esnet2-esnet1-50x1GB-1566114408000-1-na-na-na-na,0.0019542360880892024,5843.189759999999,0.5,0.0019542360880892024,5843.189759999999,0.5,0.0019542360880892024,5843.189759999999,0.5,0.0019542360880892024,5843.189759999999,0.5,0.3284344420297868,3916.4313599999996,0.4
esnet2-esnet1-50x1GB-1566105803000-1-na-na-na-na,0.03827073094545283,5903.48288,1.9,0.0631670983837542,6045.04064,0.5,0.0631670983837542,6045.04064,0.5,0.2784663881307132,4102.5536,0.4,0.49285177440497413,2883.5840000000003,0.3
esnet2-esnet1-50x1GB-1566119774000-1-na-na-na-na,0.003328837607000769,5788.13952,0.6,0.003328837607000769,5788.13952,0.6,0.003328837607000769,5788.13952,0.6,0.23082986380540274,4466.93376,0.5,0.48135182717864305,3012.03456,0.4
esnet2-esnet1-50x1GB-1566026092000-1-na-na-na-na,0.024429443251168442,5743.57504,0.5,0.024429443251168442,5743.57504,0.5,0.024429443251168442,5743.57504,0.5,0.024429443251168442,5743.57504,0.5,0.3459091064061919,3850.89536,0.4
esnet2-esnet1-50x1GB-1566016965000-1-na-na-na-na,0.04276770735300076,6128.92672,0.5,0.04276770735300076,6128.92672,0.5,0.04276770735300076,6128.92672,0.5,0.04276770735300076,6128.92672,0.5,0.31359302753795204,4034.3961600000002,0.4
esnet2-esnet1-50x1GB-1566148858000-1-na-na-na-na,0.023137207307578043,6385.82784,3.1,0.05064766998354151,6557.532160000002,2.5,0.13401907213894104,7077.887999999999,0.5,0.21878686141539613,4875.8784,0.4,0.42319029910957556,3600.1109333333334,0.3
esnet2-esnet1-50x1GB-1566185987000-1-na-na-na-na,0.0045709773285528025,6404.177919999999,0.5,0.0045709773285528025,6404.177919999999,0.5,0.0045709773285528025,6404.177919999999,0.5,0.0045709773285528025,6404.177919999999,0.5,0.32192487039918805,4322.754559999999,0.4
esnet2-esnet1-50x1GB-1566108916000-1-na-na-na-na,0.01582219361630499,5743.575040000001,0.5,0.01582219361630499,5743.575040000001,0.5,0.01582219361630499,5743.575040000001,0.5,0.01582219361630499,5743.575040000001,0.5,0.31845795316477943,3853.5168000000003,0.4
esnet2-esnet1-50x1GB-1566029762000-1-na-na-na-na,0.04685971754441198,5575.80288,1.9,0.05492578481484007,5528.61696,0.5,0.05492578481484007,5528.61696,0.5,0.05492578481484007,5528.61696,0.5,0.3753279013901788,3654.2873600000003,0.4
esnet2-esnet1-50x1GB-1566150368000-1-na-na-na-na,0.04307153133373924,5924.4544,0.5,0.04307153133373924,5924.4544,0.5,0.04307153133373924,5924.4544,0.5,0.04307153133373924,5924.4544,0.5,0.37460913795572254,3871.8668799999996,0.4
esnet2-esnet1-50x1GB-1566157315000-1-na-na-na-na,0.03943861118576097,6043.72992,1.5,0.09917646240333343,6391.07072,0.6,0.1690803034416145,4831.3139200000005,0.5,0.1690803034416145,4831.3139200000005,0.5,0.4472558068472162,3213.88544,0.4
esnet2-esnet1-50x1GB-1566193105000-1-na-na-na-na,0.03483308154216177,6034.55488,0.5,0.03483308154216177,6034.55488,0.5,0.03483308154216177,6034.55488,0.5,0.03483308154216177,6034.55488,0.5,0.33209778405589213,4175.95392,0.4
esnet2-esnet1-50x1GB-1566105733000-1-na-na-na-na,0.044444596004718305,5801.246719999999,2.0,0.084089126535399,6021.447679999999,0.5,0.084089126535399,6021.447679999999,0.5,0.26987989605996415,4055.36768,0.4,0.49531883356181106,2803.193173333333,0.3
esnet2-esnet1-50x1GB-1566081548000-1-na-na-na-na,0.0025770700098342184,6009.6512,1.3,0.06638325034063072,6425.149439999999,0.5,0.06638325034063072,6425.149439999999,0.5,0.2916883184191975,4267.70432,0.4,0.2916883184191975,4267.70432,0.4
esnet2-esnet1-50x1GB-1566057366000-1-na-na-na-na,0.0453484517575029,6356.992,2.1,0.05871166907893892,6438.25664,0.6,0.16587659622648743,5072.4864,0.5,0.16587659622648743,5072.4864,0.5,0.4335720141817077,3444.57216,0.4
esnet2-esnet1-50x1GB-1566135805000-1-na-na-na-na,0.014388518641252799,5811.73248,4.5,0.0918636888665239,6438.2566400000005,0.5,0.0918636888665239,6438.2566400000005,0.5,0.28246417189309053,4231.00416,0.4,0.28246417189309053,4231.00416,0.4
esnet2-esnet1-50x1GB-1566187963000-1-na-na-na-na,0.03295188950454095,6637.486080000001,3.0,0.0602851346059643,6813.12256,0.5,0.0602851346059643,6813.12256,0.5,0.28444012077766007,4598.00576,0.4,0.28444012077766007,4598.00576,0.4
esnet2-esnet1-50x1GB-1566188529000-1-na-na-na-na,0.029051527021996894,6031.933440000001,1.2,0.05413125612710847,5544.345600000001,0.6,0.05413125612710847,5544.345600000001,0.6,0.27550479192714705,4246.7328,0.5,0.27550479192714705,4246.7328,0.5
esnet2-esnet1-50x1GB-1566031906000-1-na-na-na-na,0.046939397784152966,5731.77856,1.3,0.046939397784152966,5731.77856,1.3,0.11194035959415766,6687.2934399999995,0.5,0.24286930434533438,4553.44128,0.4,0.46705903057737225,3205.1473066666663,0.3
esnet2-esnet1-50x1GB-1566030740000-1-na-na-na-na,0.037534641331862566,6018.82624,0.5,0.037534641331862566,6018.82624,0.5,0.037534641331862566,6018.82624,0.5,0.2900840934092525,4118.2822400000005,0.4,0.48424526540065377,2991.936853333333,0.3
esnet2-esnet1-50x1GB-1566137757000-1-na-na-na-na,0.006793203931177376,5827.46112,0.6,0.006793203931177376,5827.46112,0.6,0.006793203931177376,5827.46112,0.6,0.23286726547450806,4501.01248,0.5,0.4835145945768965,3030.38464,0.4
esnet2-esnet1-50x1GB-1566065238000-1-na-na-na-na,0.008569924169982047,5811.732480000001,0.5,0.008569924169982047,5811.732480000001,0.5,0.008569924169982047,5811.732480000001,0.5,0.2543770384688315,4296.5401600000005,0.4,0.49351623113400395,2918.5365333333334,0.3
esnet2-esnet1-50x1GB-1566182958000-1-na-na-na-na,0.03122199045305037,5743.57504,0.5,0.03122199045305037,5743.57504,0.5,0.03122199045305037,5743.57504,0.5,0.03122199045305037,5743.57504,0.5,0.324599015837459,3761.7664,0.4
esnet2-esnet1-50x1GB-1566057303000-1-na-na-na-na,0.00025770208820469307,6085.67296,7.7,0.09892624129914543,6685.98272,6.4,0.10431207859231906,6718.75072,0.5,0.2593396554427638,4506.25536,0.4,0.4967473633258569,3061.8419200000003,0.3
esnet2-esnet1-50x1GB-1566083481000-1-na-na-na-na,0.03468414698198619,6098.78016,1.3,0.05669870330075181,6228.54144,0.5,0.05669870330075181,6228.54144,0.5,0.05669870330075181,6228.54144,0.5,0.3070973990982444,4084.20352,0.4
esnet2-esnet1-50x1GB-1566158718000-1-na-na-na-na,0.007482651838175441,5713.42848,4.3,0.0682690563881732,6058.14784,0.5,0.0682690563881732,6058.14784,0.5,0.26594060513006534,4162.84672,0.4,0.4674833609004,3019.89888,0.3
esnet2-esnet1-50x1GB-1566164696000-1-na-na-na-na,0.03884873832655398,6676.80768,3.4,0.055163598763563255,6781.665280000001,1.4,0.12144476546706034,5646.58176,0.8,0.12144476546706034,5646.58176,0.8,0.4550836614038963,3502.24384,0.7
esnet2-esnet1-50x1GB-1566191519000-1-na-na-na-na,0.04353832812710954,5632.16384,1.4,0.07536844659995649,5444.73088,0.5,0.07536844659995649,5444.73088,0.5,0.07536844659995649,5444.73088,0.5,0.39144374891773737,3583.50848,0.4
esnet2-esnet1-50x1GB-1566041235000-1-na-na-na-na,0.0207327866594476,5536.48128,2.1,0.053189559828878755,5352.98048,0.5,0.053189559828878755,5352.98048,0.5,0.053189559828878755,5352.98048,0.5,0.3559648866808583,3641.18016,0.4
esnet2-esnet1-50x1GB-1566065777000-1-na-na-na-na,0.009522770805926154,5806.4896,0.5,0.009522770805926154,5806.4896,0.5,0.009522770805926154,5806.4896,0.5,0.009522770805926154,5806.4896,0.5,0.33819128703962553,3879.7312,0.4
esnet2-esnet1-50x1GB-1566170975000-1-na-na-na-na,0.005276156110945703,6168.248320000001,1.8,0.06532260374008356,6606.0288,0.5,0.06532260374008356,6606.0288,0.5,0.27879350715056256,4472.17664,0.4,0.4938308475351349,3138.7374933333335,0.3
esnet2-esnet1-50x1GB-1566014024000-1-na-na-na-na,0.03264749408386846,5782.89664,0.5,0.03264749408386846,5782.89664,0.5,0.03264749408386846,5782.89664,0.5,0.03264749408386846,5782.89664,0.5,0.36021427645891396,3824.6809599999997,0.4
