file_name,error_rate,mean_estimation,required_seconds,error_rate,mean_estimation,required_seconds,error_rate,mean_estimation,required_seconds,error_rate,mean_estimation,required_seconds,error_rate,mean_estimation,required_seconds
esnet2-esnet1-100GB-1549879137000-1-na-na-na-na,0.048901870100742886,3623.0,19.0,0.08465659849087309,3746.5,6.0,0.18176679261048176,2826.25,5.0,0.18176679261048176,2826.25,5.0,0.46114584440380685,1861.25,4.0
esnet2-esnet1-100GB-1549852084000-1-na-na-na-na,0.012386206138610264,3717.75,6.0,0.012386206138610264,3717.75,6.0,0.17298987074360583,3037.0,5.0,0.17298987074360583,3037.0,5.0,0.3956726278063047,2219.25,4.0
esnet2-esnet1-100GB-1549896827000-1-na-na-na-na,0.0333749818322164,3899.0,6.0,0.0333749818322164,3899.0,6.0,0.0333749818322164,3899.0,6.0,0.20787394794792594,2988.75,5.0,0.48006581928459846,1961.75,4.0
esnet2-esnet1-100GB-1549939704000-1-na-na-na-na,0.008578528644958849,3823.75,6.0,0.008578528644958849,3823.75,6.0,0.1678815002961271,3154.75,5.0,0.1678815002961271,3154.75,5.0,0.39768837655161465,2283.5,4.0
esnet2-esnet1-100GB-1549856471000-1-na-na-na-na,0.03135719685081674,3787.25,8.0,0.08240594764305842,3369.5,5.0,0.08240594764305842,3369.5,5.0,0.08240594764305842,3369.5,5.0,0.3775365469135245,2285.75,4.0
esnet2-esnet1-100GB-1549891287000-1-na-na-na-na,0.0038592382385120192,3788.5,6.0,0.0038592382385120192,3788.5,6.0,0.18202099288840265,3087.0,5.0,0.18202099288840265,3087.0,5.0,0.41016479759299784,2226.0,4.0
esnet2-esnet1-100GB-1549932334000-1-na-na-na-na,0.031392795824714236,3573.0,7.0,0.0883896233304108,3362.75,6.0,0.0883896233304108,3362.75,6.0,0.0883896233304108,3362.75,6.0,0.3135304806121278,2532.25,5.0
esnet2-esnet1-100GB-1549906253000-1-na-na-na-na,0.01844909631970542,3626.25,8.0,0.06517536929330865,3328.5,6.0,0.06517536929330865,3328.5,6.0,0.25313732936554934,2659.25,5.0,0.4960765829516356,1794.25,4.0
esnet2-esnet1-100GB-1549886210000-1-na-na-na-na,0.00571637917875138,3628.0,6.0,0.00571637917875138,3628.0,6.0,0.17058891772248508,2992.0,5.0,0.17058891772248508,2992.0,5.0,0.4099593955121355,2128.5,4.0
esnet2-esnet1-100GB-1549868170000-1-na-na-na-na,0.0300707251927509,3833.75,8.0,0.08526226699218248,3404.5,5.0,0.08526226699218248,3404.5,5.0,0.08526226699218248,3404.5,5.0,0.37685255183481253,2319.25,4.0
esnet2-esnet1-100GB-1549829891000-1-na-na-na-na,0.0338948745095597,3633.75,27.0,0.05409466520618336,3324.5,5.0,0.05409466520618336,3324.5,5.0,0.05409466520618336,3324.5,5.0,0.3487209170272082,2289.0,4.0
esnet2-esnet1-100GB-1549889229000-1-na-na-na-na,0.0146094678241247,3776.75,9.0,0.09049835087877826,3385.5,7.0,0.13348173999689833,3225.5,6.0,0.13348173999689833,3225.5,6.0,0.37479317296784426,2327.25,5.0
esnet2-esnet1-100GB-1549902553000-1-na-na-na-na,0.015364561073596003,3762.5,13.0,0.062186023225428266,3936.0,6.0,0.18689875813561602,3013.0,5.0,0.18689875813561602,3013.0,5.0,0.4662758111193875,1977.75,4.0
