file_name,error_rate,mean_estimation,required_seconds,error_rate,mean_estimation,required_seconds,error_rate,mean_estimation,required_seconds,error_rate,mean_estimation,required_seconds,error_rate,mean_estimation,required_seconds
esnet2-esnet1-100GB-1549651529000-2-na-na-na-na,0.04580978683407402,5814.5,6.0,0.06219757011731671,5214.0,5.0,0.06219757011731671,5214.0,5.0,0.06219757011731671,5214.0,5.0,0.47174420088886826,2937.0,4.0
esnet2-esnet1-100GB-1549614051000-2-na-na-na-na,0.04565216124388805,5282.5,5.0,0.04565216124388805,5282.5,5.0,0.04565216124388805,5282.5,5.0,0.04565216124388805,5282.5,5.0,0.43525010052974805,3126.0,4.0
esnet2-esnet1-100GB-1549620582000-2-na-na-na-na,0.0013284308635717606,5274.5,5.0,0.0013284308635717606,5274.5,5.0,0.0013284308635717606,5274.5,5.0,0.0013284308635717606,5274.5,5.0,0.4140886964275899,3094.5,4.0
esnet2-esnet1-100GB-1549682611000-2-na-na-na-na,0.04068907760955766,5131.0,16.0,0.05417686238075929,5197.5,8.0,0.11365985789246405,4370.0,5.0,0.11365985789246405,4370.0,5.0,0.11365985789246405,4370.0,5.0
esnet2-esnet1-100GB-1549662088000-2-na-na-na-na,0.015550682468427935,5393.0,6.0,0.057136609100793864,5007.0,5.0,0.057136609100793864,5007.0,5.0,0.057136609100793864,5007.0,5.0,0.4904357228333829,2706.0,4.0
esnet2-esnet1-100GB-1549686241000-2-na-na-na-na,0.0049640920764767536,5453.0,5.0,0.0049640920764767536,5453.0,5.0,0.0049640920764767536,5453.0,5.0,0.0049640920764767536,5453.0,5.0,0.4573415057547798,2944.5,4.0
esnet2-esnet1-100GB-1549663150000-2-na-na-na-na,0.013326896884643929,5688.0,5.0,0.013326896884643929,5688.0,5.0,0.013326896884643929,5688.0,5.0,0.013326896884643929,5688.0,5.0,0.4070220505835905,3328.5,4.0
esnet2-esnet1-100GB-1549630522000-2-na-na-na-na,0.009158391419666762,5609.0,7.0,0.009158391419666762,5609.0,7.0,0.14958415795613492,6389.5,5.0,0.14958415795613492,6389.5,5.0,0.33331495464332767,3705.5,4.0
esnet2-esnet1-100GB-1549615115000-2-na-na-na-na,0.0026352263194367627,5320.5,8.0,0.08498680867101911,5757.5,5.0,0.08498680867101911,5757.5,5.0,0.08498680867101911,5757.5,5.0,0.45058114794956905,2915.5,4.0
esnet2-esnet1-100GB-1549615417000-2-na-na-na-na,0.012502885281218803,5518.5,5.0,0.012502885281218803,5518.5,5.0,0.012502885281218803,5518.5,5.0,0.012502885281218803,5518.5,5.0,0.43031232059469343,3105.0,4.0
esnet2-esnet1-100GB-1549677198000-2-na-na-na-na,0.03330373764857519,5819.0,5.0,0.03330373764857519,5819.0,5.0,0.03330373764857519,5819.0,5.0,0.03330373764857519,5819.0,5.0,0.40912215380209077,3327.5,4.0
esnet2-esnet1-100GB-1549672386000-2-na-na-na-na,0.03713669961921936,5526.5,16.0,0.06401532808271844,4987.5,8.0,0.1300737951533717,4635.5,5.0,0.1300737951533717,4635.5,5.0,0.46721594314322556,2839.0,4.0
esnet2-esnet1-100GB-1549647453000-2-na-na-na-na,0.028968982331238347,5068.5,10.0,0.028968982331238347,5068.5,10.0,0.10054013633189332,5744.5,9.0,0.2778333982238538,3769.5,4.0,0.2778333982238538,3769.5,4.0
esnet2-esnet1-100GB-1549683219000-2-na-na-na-na,0.029231377688053072,5305.0,8.0,0.057686518266659624,5149.5,6.0,0.10078095946448498,4914.0,5.0,0.10078095946448498,4914.0,5.0,0.4840561488014073,2819.5,4.0
esnet2-esnet1-100GB-1549660426000-2-na-na-na-na,0.04653875618079259,5817.0,8.0,0.04653875618079259,5817.0,8.0,0.12381026998166081,6246.5,5.0,0.12381026998166081,6246.5,5.0,0.37301228033521366,3485.0,4.0
esnet2-esnet1-100GB-1549631431000-2-na-na-na-na,0.040266696195965776,5312.0,6.0,0.040266696195965776,5312.0,6.0,0.12436983115846162,4846.5,5.0,0.12436983115846162,4846.5,5.0,0.47857863050104615,2886.0,4.0
esnet2-esnet1-100GB-1549616493000-2-na-na-na-na,0.04853090708185654,5222.0,12.0,0.09289757198525905,4978.5,6.0,0.10692727710871694,4901.5,5.0,0.10692727710871694,4901.5,5.0,0.4694220607855929,2912.0,4.0
esnet2-esnet1-100GB-1549648516000-2-na-na-na-na,0.027306522676117103,5241.5,6.0,0.027306522676117103,5241.5,6.0,0.027306522676117103,5241.5,6.0,0.027306522676117103,5241.5,6.0,0.34686736746324415,3519.5,5.0
esnet2-esnet1-100GB-1549614506000-2-na-na-na-na,0.03578992463691165,5537.5,5.0,0.03578992463691165,5537.5,5.0,0.03578992463691165,5537.5,5.0,0.03578992463691165,5537.5,5.0,0.4063965100071803,3173.5,4.0
esnet2-esnet1-100GB-1549677653000-2-na-na-na-na,0.04978070444856683,4990.0,6.0,0.06920402471835564,4888.0,5.0,0.06920402471835564,4888.0,5.0,0.06920402471835564,4888.0,5.0,0.42901151148076705,2998.5,4.0
esnet2-esnet1-100GB-1549647914000-2-na-na-na-na,0.03122191882475024,5390.5,18.0,0.0512606454829527,5279.0,5.0,0.0512606454829527,5279.0,5.0,0.0512606454829527,5279.0,5.0,0.4965157602425634,2801.5,4.0
esnet2-esnet1-100GB-1549671929000-2-na-na-na-na,0.0005909265362566714,5292.0,8.0,0.06735039506789561,4938.5,7.0,0.1766017459746937,4360.0,6.0,0.1766017459746937,4360.0,6.0,0.4419399448062431,2955.0,5.0
esnet2-esnet1-100GB-1549638216000-2-na-na-na-na,0,4026.935483870968,31.0,0.06268674650538712,3774.5,12.0,0.14839187727800696,4624.5,11.0,0.2130492249769696,3169.0,4.0,0.2130492249769696,3169.0,4.0
esnet2-esnet1-100GB-1549628124000-2-na-na-na-na,0.026296107329630475,5417.5,7.0,0.0994474657637496,5010.5,6.0,0.15723164693468156,4689.0,5.0,0.15723164693468156,4689.0,5.0,0.49962314034253646,2784.0,4.0
esnet2-esnet1-100GB-1549645636000-2-na-na-na-na,0.04988106085159205,5012.0,5.0,0.04988106085159205,5012.0,5.0,0.04988106085159205,5012.0,5.0,0.04988106085159205,5012.0,5.0,0.440203266698873,2953.0,4.0
esnet2-esnet1-100GB-1549617857000-2-na-na-na-na,0.04042545865636786,5848.5,7.0,0.04042545865636786,5848.5,7.0,0.10731439983013795,6224.5,5.0,0.10731439983013795,6224.5,5.0,0.33653641992666083,3729.5,4.0
esnet2-esnet1-100GB-1549633707000-2-na-na-na-na,0.04087373973919681,5020.5,7.0,0.04087373973919681,5020.5,7.0,0.12330835408090313,4589.0,5.0,0.12330835408090313,4589.0,5.0,0.465751103113368,2796.5,4.0
esnet2-esnet1-100GB-1549674948000-2-na-na-na-na,0.02304852476446442,5587.0,5.0,0.02304852476446442,5587.0,5.0,0.02304852476446442,5587.0,5.0,0.02304852476446442,5587.0,5.0,0.39911692607578486,3281.5,4.0
esnet2-esnet1-100GB-1549675096000-2-na-na-na-na,0.015469709533595395,5451.5,5.0,0.015469709533595395,5451.5,5.0,0.015469709533595395,5451.5,5.0,0.015469709533595395,5451.5,5.0,0.44220415570056837,2994.5,4.0
esnet2-esnet1-100GB-1549615573000-2-na-na-na-na,0.004880895538224888,5499.0,9.0,0.05988528716524902,5800.0,7.0,0.12192512423293903,6139.5,5.0,0.12192512423293903,6139.5,5.0,0.35822118473718023,3512.0,4.0
esnet2-esnet1-100GB-1549675549000-2-na-na-na-na,0.013354308485104285,5652.0,8.0,0.07844282632458668,5140.0,7.0,0.17373614107331864,4608.5,5.0,0.17373614107331864,4608.5,5.0,0.4848961556479645,2873.0,4.0
esnet2-esnet1-100GB-1549685330000-2-na-na-na-na,0.03460107069900684,5685.5,12.0,0.08082192584939779,5939.5,7.0,0.10748080490267446,6086.0,5.0,0.10748080490267446,6086.0,5.0,0.31860633027307517,3744.5,4.0
esnet2-esnet1-100GB-1549631728000-2-na-na-na-na,0.028002876859263268,5348.5,12.0,0.05010633219044309,5463.5,5.0,0.05010633219044309,5463.5,5.0,0.05010633219044309,5463.5,5.0,0.3889836130624291,3179.0,4.0
esnet2-esnet1-100GB-1549627378000-2-na-na-na-na,0.01904167038458102,5526.0,13.0,0.01904167038458102,5526.0,13.0,0.1285803515659855,6120.0,5.0,0.1285803515659855,6120.0,5.0,0.3930192439249279,3291.5,4.0
esnet2-esnet1-100GB-1549659822000-2-na-na-na-na,0.0020966016821430088,5297.0,8.0,0.06954032767757302,4939.0,7.0,0.13481756526812191,4592.5,5.0,0.13481756526812191,4592.5,5.0,0.4719420000972337,2803.0,4.0
esnet2-esnet1-100GB-1549657255000-2-na-na-na-na,0.037131517676440254,5934.5,12.0,0.09025949499106453,6238.5,5.0,0.09025949499106453,6238.5,5.0,0.09025949499106453,6238.5,5.0,0.3543377888523703,3694.5,4.0
esnet2-esnet1-100GB-1549638827000-2-na-na-na-na,0.04221631184621406,5663.0,15.0,0.05473100533121186,5731.0,5.0,0.05473100533121186,5731.0,5.0,0.05473100533121186,5731.0,5.0,0.382639128008454,3354.5,4.0
esnet2-esnet1-100GB-1549628719000-2-na-na-na-na,0.019810686391144642,5724.0,5.0,0.019810686391144642,5724.0,5.0,0.019810686391144642,5724.0,5.0,0.019810686391144642,5724.0,5.0,0.4916981327264263,2853.0,4.0
esnet2-esnet1-100GB-1549615726000-2-na-na-na-na,0.04227599118691273,5412.5,5.0,0.04227599118691273,5412.5,5.0,0.04227599118691273,5412.5,5.0,0.04227599118691273,5412.5,5.0,0.4180223067000011,3289.0,4.0
esnet2-esnet1-100GB-1549611791000-2-na-na-na-na,0.013280695745773986,5344.5,5.0,0.013280695745773986,5344.5,5.0,0.013280695745773986,5344.5,5.0,0.013280695745773986,5344.5,5.0,0.4171905961787802,3074.0,4.0
esnet2-esnet1-100GB-1549685942000-2-na-na-na-na,0.03665924678137407,5558.5,5.0,0.03665924678137407,5558.5,5.0,0.03665924678137407,5558.5,5.0,0.03665924678137407,5558.5,5.0,0.4120593189748526,3152.5,4.0
esnet2-esnet1-100GB-1549664217000-2-na-na-na-na,0.03904260933612483,5345.0,6.0,0.05135796597980592,5276.5,5.0,0.05135796597980592,5276.5,5.0,0.05135796597980592,5276.5,5.0,0.44724724086135,3074.5,4.0
esnet2-esnet1-100GB-1549623447000-2-na-na-na-na,0.023724615543776542,5426.5,5.0,0.023724615543776542,5426.5,5.0,0.023724615543776542,5426.5,5.0,0.023724615543776542,5426.5,5.0,0.4241372175532336,3052.5,4.0
esnet2-esnet1-100GB-1549668603000-2-na-na-na-na,0.00495228372829248,5652.5,10.0,0.05419983482829018,5929.5,5.0,0.05419983482829018,5929.5,5.0,0.05419983482829018,5929.5,5.0,0.4881454887476773,2879.0,4.0
esnet2-esnet1-100GB-1549649125000-2-na-na-na-na,7.262839247222823e-05,5551.5,5.0,7.262839247222823e-05,5551.5,5.0,7.262839247222823e-05,5551.5,5.0,7.262839247222823e-05,5551.5,5.0,0.42794391926046865,3176.0,4.0
esnet2-esnet1-100GB-1549659216000-2-na-na-na-na,0.006756187910422674,5400.5,8.0,0.05503872705842739,5659.5,7.0,0.1124558006398384,5967.5,5.0,0.1124558006398384,5967.5,5.0,0.36552269501840134,3403.5,4.0
esnet2-esnet1-100GB-1549673288000-2-na-na-na-na,0.0019324870576555608,5469.0,9.0,0.07107356452261061,5070.5,8.0,0.16872030352457265,4537.5,5.0,0.16872030352457265,4537.5,5.0,0.4906064581708153,2780.5,4.0
esnet2-esnet1-100GB-1549613902000-2-na-na-na-na,0.04150459095952881,5510.5,5.0,0.04150459095952881,5510.5,5.0,0.04150459095952881,5510.5,5.0,0.04150459095952881,5510.5,5.0,0.4258069236303333,3038.0,4.0
esnet2-esnet1-100GB-1549632195000-2-na-na-na-na,0.044899653021936804,5848.0,7.0,0.044899653021936804,5848.0,7.0,0.1492466771951261,6432.0,5.0,0.1492466771951261,6432.0,5.0,0.33925463117730464,3698.0,4.0
esnet2-esnet1-100GB-1549643216000-2-na-na-na-na,0.01848970944309927,5230.5,5.0,0.01848970944309927,5230.5,5.0,0.01848970944309927,5230.5,5.0,0.01848970944309927,5230.5,5.0,0.4047699757869249,3172.0,4.0
esnet2-esnet1-100GB-1549684429000-2-na-na-na-na,0.021108546749413818,5323.5,6.0,0.06472710172815971,4876.0,5.0,0.06472710172815971,4876.0,5.0,0.06472710172815971,4876.0,5.0,0.4336765315529925,2952.5,4.0
esnet2-esnet1-100GB-1549619532000-2-na-na-na-na,0.047997132686162805,5565.0,12.0,0.07389104207418569,5702.5,5.0,0.07389104207418569,5702.5,5.0,0.07389104207418569,5702.5,5.0,0.3891862174541655,3243.5,4.0
esnet2-esnet1-100GB-1549632802000-2-na-na-na-na,0.025179552684854944,5219.0,5.0,0.025179552684854944,5219.0,5.0,0.025179552684854944,5219.0,5.0,0.025179552684854944,5219.0,5.0,0.45636809505446835,2910.5,4.0
esnet2-esnet1-100GB-1549621335000-2-na-na-na-na,0.004617539528037589,5410.0,10.0,0.074533497934571,5030.0,5.0,0.074533497934571,5030.0,5.0,0.074533497934571,5030.0,5.0,0.074533497934571,5030.0,5.0
esnet2-esnet1-100GB-1549652431000-2-na-na-na-na,0.04241106375576238,5799.0,7.0,0.08744020179177178,6049.5,5.0,0.08744020179177178,6049.5,5.0,0.08744020179177178,6049.5,5.0,0.36491838450610303,3533.0,4.0
esnet2-esnet1-100GB-1549684276000-2-na-na-na-na,0.017269483108914435,5445.5,5.0,0.017269483108914435,5445.5,5.0,0.017269483108914435,5445.5,5.0,0.017269483108914435,5445.5,5.0,0.4286429498710537,3166.0,4.0
esnet2-esnet1-100GB-1549676143000-2-na-na-na-na,0.039359384121002705,5801.0,5.0,0.039359384121002705,5801.0,5.0,0.039359384121002705,5801.0,5.0,0.039359384121002705,5801.0,5.0,0.39709630622872366,3365.0,4.0
esnet2-esnet1-100GB-1549676900000-2-na-na-na-na,0.04016366538013153,5929.0,10.0,0.07551414245452798,6130.5,9.0,0.12761881585946963,6427.5,5.0,0.12761881585946963,6427.5,5.0,0.3419372729227739,3751.0,4.0
