file_name,error_rate,mean_estimation,required_seconds,error_rate,mean_estimation,required_seconds,error_rate,mean_estimation,required_seconds,error_rate,mean_estimation,required_seconds,error_rate,mean_estimation,required_seconds
esnet2-esnet1-100GB-1549571744000-8-na-na-na-na,0.0045952985386424625,18106.5,11.0,0.0904289759747067,19835.0,7.0,0.10496986148745234,20099.5,5.0,0.10496986148745234,20099.5,5.0,0.427655353220435,10411.0,4.0
esnet2-esnet1-100GB-1549580800000-8-na-na-na-na,0.04533805029525803,19016.0,24.0,0.09327319858393415,19888.0,9.0,0.14277503463204522,20788.5,5.0,0.14277503463204522,20788.5,5.0,0.4308800570726332,10353.0,4.0
esnet2-esnet1-100GB-1549579479000-8-na-na-na-na,0.01918874599368286,15434.5,22.0,0.05246945660826812,15938.5,13.0,0.1710980213287094,17735.0,9.0,0.2696855232088201,19228.0,5.0,0.3433332803437637,9944.5,4.0
esnet2-esnet1-100GB-1549580489000-8-na-na-na-na,0.011888635500274266,18009.0,23.0,0.08844470556908007,19371.5,10.0,0.11698817976721096,19879.5,5.0,0.11698817976721096,19879.5,5.0,0.45545456655278427,9691.5,4.0
esnet2-esnet1-100GB-1549567343000-8-na-na-na-na,0.001905718254215441,17761.5,9.0,0.07361936209746288,19105.5,8.0,0.19480227562305386,21262.0,5.0,0.19480227562305386,21262.0,5.0,0.41274192543510846,10450.5,4.0
esnet2-esnet1-100GB-1549582634000-8-na-na-na-na,0.012606212224117024,18371.0,8.0,0.06978857720816367,19904.0,5.0,0.06978857720816367,19904.0,5.0,0.06978857720816367,19904.0,5.0,0.43326036714371574,10544.5,4.0
esnet2-esnet1-100GB-1549562966000-8-na-na-na-na,0.03009474214106983,18460.5,5.0,0.03009474214106983,18460.5,5.0,0.03009474214106983,18460.5,5.0,0.03009474214106983,18460.5,5.0,0.03009474214106983,18460.5,5.0
esnet2-esnet1-100GB-1549583350000-8-na-na-na-na,0.0032494666695989877,18128.5,22.0,0.09077063493808978,19838.5,8.0,0.13889133255624705,15661.5,5.0,0.13889133255624705,15661.5,5.0,0.13889133255624705,15661.5,5.0
esnet2-esnet1-100GB-1549564320000-8-na-na-na-na,0.04429274061332545,19427.5,26.0,0.06974494046819146,19901.0,10.0,0.16066869137527884,21592.5,5.0,0.16066869137527884,21592.5,5.0,0.42586072513236756,10681.0,4.0
esnet2-esnet1-100GB-1549573745000-8-na-na-na-na,0.033793993020480556,19682.5,9.0,0.07224120261738094,20414.5,5.0,0.07224120261738094,20414.5,5.0,0.07224120261738094,20414.5,5.0,0.4607673807013965,10266.5,4.0
esnet2-esnet1-100GB-1549559310000-8-na-na-na-na,0.024737313407308625,18235.0,8.0,0.024737313407308625,18235.0,8.0,0.024737313407308625,18235.0,8.0,0.21532665250360078,21626.5,5.0,0.4054444323636235,10580.0,4.0
esnet2-esnet1-100GB-1549568454000-8-na-na-na-na,0.027362555076303738,17309.5,25.0,0.07616440498047372,16441.0,8.0,0.1499480233607813,20465.0,5.0,0.1499480233607813,20465.0,5.0,0.39951529188150553,10686.5,4.0
esnet2-esnet1-100GB-1549571275000-8-na-na-na-na,0.018125577991783246,16027.0,5.0,0.018125577991783246,16027.0,5.0,0.018125577991783246,16027.0,5.0,0.018125577991783246,16027.0,5.0,0.018125577991783246,16027.0,5.0
esnet2-esnet1-100GB-1549565434000-8-na-na-na-na,0.023053989161845274,17767.5,39.0,0.088428101001338,19795.0,19.0,0.17615667059707604,21390.5,5.0,0.17615667059707604,21390.5,5.0,0.40594204580861554,10804.0,4.0
esnet2-esnet1-100GB-1549575911000-8-na-na-na-na,0.0193107096045999,17081.5,8.0,0.0193107096045999,17081.5,8.0,0.1684851320301133,20352.5,5.0,0.1684851320301133,20352.5,5.0,0.4051792059747948,10360.5,4.0
esnet2-esnet1-100GB-1549574365000-8-na-na-na-na,0.04461031940431605,18193.0,6.0,0.04461031940431605,18193.0,6.0,0.10470585360788226,15592.5,5.0,0.10470585360788226,15592.5,5.0,0.10470585360788226,15592.5,5.0
esnet2-esnet1-100GB-1549581969000-8-na-na-na-na,0.026087025598783658,18657.5,19.0,0.026087025598783658,18657.5,19.0,0.16090960864878598,21109.0,5.0,0.16090960864878598,21109.0,5.0,0.4335691641348159,10299.5,4.0
esnet2-esnet1-100GB-1549576376000-8-na-na-na-na,0.010379192019633256,18002.5,10.0,0.05668579260672683,19222.5,9.0,0.16591376346949527,21209.5,5.0,0.16591376346949527,21209.5,5.0,0.42730900832998414,10418.0,4.0
