file_name,error_rate,mean_estimation,required_seconds,error_rate,mean_estimation,required_seconds,error_rate,mean_estimation,required_seconds,error_rate,mean_estimation,required_seconds,error_rate,mean_estimation,required_seconds
82,0.032653499957938766,3338.5,7.0,0.07122360660641018,3697.0,5.0,0.07122360660641018,3697.0,5.0,0.25779300288820134,2561.5,4.0,0.25779300288820134,2561.5,4.0
85,0.026273109086136448,3350.5,5.0,0.026273109086136448,3350.5,5.0,0.026273109086136448,3350.5,5.0,0.026273109086136448,3350.5,5.0,0.379814002324971,2134.0,4.0
18,0.012550855914638774,3404.0,5.0,0.012550855914638774,3404.0,5.0,0.012550855914638774,3404.0,5.0,0.012550855914638774,3404.0,5.0,0.3463335764182084,2197.5,4.0
87,0.026805028827964476,3659.5,5.0,0.026805028827964476,3659.5,5.0,0.026805028827964476,3659.5,5.0,0.2866097046604455,2542.5,4.0,0.2866097046604455,2542.5,4.0
83,0.030384662397863655,3326.5,5.0,0.030384662397863655,3326.5,5.0,0.030384662397863655,3326.5,5.0,0.030384662397863655,3326.5,5.0,0.42869500625276197,1960.0,4.0
6,0.04960001439768202,3407.0,5.0,0.04960001439768202,3407.0,5.0,0.04960001439768202,3407.0,5.0,0.04960001439768202,3407.0,5.0,0.39243581783332887,2178.0,4.0
31,0.0429189303741378,3492.5,30.0,0.08457596424305469,3632.0,5.0,0.08457596424305469,3632.0,5.0,0.2389752629753786,2548.5,4.0,0.2389752629753786,2548.5,4.0
70,0.007051659972732917,3526.5,11.0,0.007051659972732917,3526.5,11.0,0.19738199638896048,4193.0,5.0,0.24981576329267846,2627.0,4.0,0.24981576329267846,2627.0,4.0
63,0.013249592138889722,3466.0,13.0,0.09944738355918933,3080.5,7.0,0.14227515772201316,2934.0,5.0,0.14227515772201316,2934.0,5.0,0.4767118378740298,1790.0,4.0
14,0.01521294239740839,3376.5,7.0,0.01521294239740839,3376.5,7.0,0.13051996547142175,3760.0,5.0,0.21795680048107235,2601.0,4.0,0.21795680048107235,2601.0,4.0
49,0.019246929252114225,3539.0,16.0,0.055161717115731874,3807.5,5.0,0.055161717115731874,3807.5,5.0,0.055161717115731874,3807.5,5.0,0.34611843163898376,2359.5,4.0
59,0.036759906759906716,3332.5,5.0,0.036759906759906716,3332.5,5.0,0.036759906759906716,3332.5,5.0,0.036759906759906716,3332.5,5.0,0.3963310023310023,2088.5,4.0
78,0.01871883318960671,3377.0,9.0,0.06496756777023731,3665.0,8.0,0.18555734693112366,4080.0,7.0,0.23548985789809157,2631.0,4.0,0.23548985789809157,2631.0,4.0
67,0.01935599353671397,3398.5,5.0,0.01935599353671397,3398.5,5.0,0.01935599353671397,3398.5,5.0,0.01935599353671397,3398.5,5.0,0.3393757317155767,2202.5,4.0
44,0.03165122933845402,3318.5,6.0,0.05732990699951053,3230.5,5.0,0.05732990699951053,3230.5,5.0,0.05732990699951053,3230.5,5.0,0.3854625550660793,2106.0,4.0
2,0.01648312861781737,929.0,6.0,0.07214457150924744,848.0,5.0,0.07214457150924744,848.0,5.0,0.25705915572497523,679.0,4.0,0.48902301284766336,467.0,3.0
