file_name,error_rate,mean_estimation,required_seconds,error_rate,mean_estimation,required_seconds,error_rate,mean_estimation,required_seconds,error_rate,mean_estimation,required_seconds,error_rate,mean_estimation,required_seconds
stampede2-comet-745-1537121647677.log,0.04057704918032804,1912.602624,8.0,0.07009836065573763,1709.17888,7.0,0.18990163934426219,1488.97792,6.0,0.18990163934426219,1488.97792,6.0,0.3171213114754097,1255.1454720000002,5.0
comet-stampede2-745-1537080632220.log,0.0003603873143664243,1773.142016,10.0,0.05064461730947059,1862.270976,5.0,0.05064461730947059,1862.270976,5.0,0.2873442854811512,1263.1845546666666,4.0,0.2873442854811512,1263.1845546666666,4.0
stampede2-comet-745-1537130580947.log,0.036973450745876206,1521.483776,9.0,0.07022573437602689,1364.197376,8.0,0.13168660051258477,1274.01984,7.0,0.13168660051258477,1274.01984,7.0,0.3768154038246699,914.3582719999999,6.0
comet-stampede2-745-1537081330656.log,0.03148534352913913,1209.008128,8.0,0.07015409570154099,1335.885824,7.0,0.1541246668983894,1055.916032,4.0,0.1541246668983894,1055.916032,4.0,0.1541246668983894,1055.916032,4.0
stampede2-comet-745-1537120703944.log,0.027940637596189127,2060.4518399999997,5.0,0.027940637596189127,2060.4518399999997,5.0,0.027940637596189127,2060.4518399999997,5.0,0.027940637596189127,2060.4518399999997,5.0,0.3791681934774642,1315.96288,4.0
stampede2-comet-745-1537058667968.log,0.029164881147437614,1923.0883840000001,5.0,0.029164881147437614,1923.0883840000001,5.0,0.029164881147437614,1923.0883840000001,5.0,0.029164881147437614,1923.0883840000001,5.0,0.4080058481006276,1172.6574933333334,4.0
stampede2-comet-745-1537093052766.log,0.043619734412100895,1572.864,13.0,0.09027350277020492,1793.06496,12.0,0.15774777943892346,1385.1688960000001,6.0,0.15774777943892346,1385.1688960000001,6.0,0.31140620877671266,1132.46208,5.0
comet-stampede2-745-1537094325866.log,0.03652774743281629,850.395136,8.0,0.03652774743281629,850.395136,8.0,0.03652774743281629,850.395136,8.0,0.23611262835918723,674.234368,7.0,0.37867325759230935,548.405248,6.0
stampede2-comet-745-1537118123417.log,0.01853473438412148,2090.860544,7.0,0.01853473438412148,2090.860544,7.0,0.10588149445417387,2270.16704,5.0,0.24350554582603615,1552.9410560000001,4.0,0.4810274372446001,1065.353216,3.0
comet-stampede2-745-1537147793468.log,0.020467648256499,1652.5557760000002,4.0,0.020467648256499,1652.5557760000002,4.0,0.020467648256499,1652.5557760000002,4.0,0.020467648256499,1652.5557760000002,4.0,0.020467648256499,1652.5557760000002,4.0
comet-stampede2-745-1537122155931.log,0.03991328249003126,2080.374784,10.0,0.03991328249003126,2080.374784,10.0,0.03991328249003126,2080.374784,10.0,0.23686655568890086,1653.604352,5.0,0.4347876582400991,1224.736768,4.0
stampede2-comet-745-1537064280703.log,0,1632.6207794022987,29.0,0.09634720725243257,1789.919232,14.0,0.10532415951807923,1460.6663680000001,8.0,0.10532415951807923,1460.6663680000001,8.0,0.46242377711172455,877.6581120000001,7.0
stampede2-comet-745-1537091203582.log,0.034405885412796135,2013.26592,16.0,0.09151371033662757,2124.414976,15.0,0.19226053355131142,2320.498688,12.0,0.21342052463401967,1530.92096,7.0,0.21342052463401967,1530.92096,7.0
comet-stampede2-745-1537089945667.log,0.047800077190274196,2723.151872,5.0,0.047800077190274196,2723.151872,5.0,0.047800077190274196,2723.151872,5.0,0.047800077190274196,2723.151872,5.0,0.4401196449247396,1601.175552,4.0
stampede2-comet-745-1537115023424.log,0.01249219237976268,1699.741696,7.0,0.061836352279825056,1574.961152,6.0,0.14615865084322288,1433.4033920000002,5.0,0.14615865084322288,1433.4033920000002,5.0,0.39225484072454714,1020.264448,4.0
comet-stampede2-745-1537085873033.log,0.029775386938467447,1486.880768,16.0,0.08654209135522828,1665.138688,10.0,0.1590694601736503,1776.287744,8.0,0.24941015477538708,1150.2878719999999,7.0,0.4786240090600227,799.014912,6.0
comet-stampede2-745-1537085727714.log,0.02004695314892316,1806.6964480000001,8.0,0.05142390527712547,1862.2709759999998,7.0,0.15548637337960602,1495.793664,4.0,0.15548637337960602,1495.793664,4.0,0.15548637337960602,1495.793664,4.0
comet-stampede2-745-1537116031561.log,0.013449819551541325,1205.8624,20.0,0.013449819551541325,1205.8624,20.0,0.16186128147987466,1024.458752,6.0,0.20732837675271665,968.884224,5.0,0.4489616818190783,673.5353173333333,4.0
