file_name,error_rate,mean_estimation,required_seconds,error_rate,mean_estimation,required_seconds,error_rate,mean_estimation,required_seconds,error_rate,mean_estimation,required_seconds,error_rate,mean_estimation,required_seconds
pronghorn0-pronghorn1-100GB-1550715622000-16-na-na-na-na,0.018577335866551862,9114.0,5.0,0.018577335866551862,9114.0,5.0,0.018577335866551862,9114.0,5.0,0.24157116024529432,6786.25,4.0,0.33488114422641296,5951.333333333333,3.0
pronghorn0-pronghorn1-100GB-1550703377000-16-na-na-na-na,0.046418711319405344,7699.0,12.0,0.06223555358448499,8576.25,6.0,0.1753546928126511,6658.0,4.0,0.28075769017168295,5807.0,3.0,0.28075769017168295,5807.0,3.0
pronghorn0-pronghorn1-100GB-1550724814000-16-na-na-na-na,0.031027074381544457,8769.75,7.0,0.08912568596144575,7747.75,6.0,0.08912568596144575,7747.75,6.0,0.27441017744926627,6171.75,5.0,0.27441017744926627,6171.75,5.0
pronghorn0-pronghorn1-100GB-1550721671000-16-na-na-na-na,0.020512820512820513,9154.0,5.0,0.020512820512820513,9154.0,5.0,0.020512820512820513,9154.0,5.0,0.2406911928651059,6811.0,4.0,0.3367149758454106,5949.666666666667,3.0
pronghorn0-pronghorn1-100GB-1550740779000-16-na-na-na-na,0.013396860986547085,9039.5,5.0,0.013396860986547085,9039.5,5.0,0.013396860986547085,9039.5,5.0,0.23738789237668162,6802.5,4.0,0.32690582959641257,6004.0,3.0
pronghorn0-pronghorn1-100GB-1550706662000-16-na-na-na-na,0.038699115828661305,8396.25,6.0,0.08483926843500932,7993.25,5.0,0.08483926843500932,7993.25,5.0,0.08483926843500932,7993.25,5.0,0.4808183324592569,4534.666666666667,3.0
pronghorn0-pronghorn1-100GB-1550705681000-16-na-na-na-na,0.004156823222581055,8967.25,5.0,0.004156823222581055,8967.25,5.0,0.004156823222581055,8967.25,5.0,0.25986511772397897,6609.5,4.0,0.3642122475322154,5677.666666666667,3.0
pronghorn0-pronghorn1-100GB-1550715354000-16-na-na-na-na,0.0005711800417241811,8932.25,5.0,0.0005711800417241811,8932.25,5.0,0.0005711800417241811,8932.25,5.0,0.2573585675201583,6637.25,4.0,0.3621155137191491,5701.0,3.0
pronghorn0-pronghorn1-100GB-1550747290000-16-na-na-na-na,0.029146882127467924,8554.5,6.0,0.05292310846381668,8345.0,5.0,0.05292310846381668,8345.0,5.0,0.05292310846381668,8345.0,5.0,0.39362111066772587,5343.0,3.0
pronghorn0-pronghorn1-100GB-1550722206000-16-na-na-na-na,0.0306813148028768,8682.25,5.0,0.0306813148028768,8682.25,5.0,0.0306813148028768,8682.25,5.0,0.29326734349171135,6330.25,4.0,0.4065019861777872,5316.0,3.0
pronghorn0-pronghorn1-100GB-1550718725000-16-na-na-na-na,0.004466610768622702,8694.25,5.0,0.004466610768622702,8694.25,5.0,0.004466610768622702,8694.25,5.0,0.2659955823308007,6410.25,4.0,0.3793839641563027,5420.0,3.0
pronghorn0-pronghorn1-100GB-1550743886000-16-na-na-na-na,0.016181424446583253,8177.5,5.0,0.016181424446583253,8177.5,5.0,0.016181424446583253,8177.5,5.0,0.2998075072184793,5820.0,4.0,0.37880975296759706,5163.333333333333,3.0
pronghorn0-pronghorn1-100GB-1550707200000-16-na-na-na-na,0.04592498543459865,9207.75,21.0,0.06993866042278134,8187.75,6.0,0.12889280963844824,7668.75,5.0,0.12889280963844824,7668.75,5.0,0.3934481343461325,5339.75,4.0
pronghorn0-pronghorn1-100GB-1550704910000-16-na-na-na-na,0.019180865700074063,7474.0,10.0,0.08550851942004448,8271.75,6.0,0.1487384908455921,6486.75,4.0,0.2759120894627297,5517.666666666667,3.0,0.2759120894627297,5517.666666666667,3.0
pronghorn0-pronghorn1-100GB-1550733313000-16-na-na-na-na,0.013113514561990782,8862.75,5.0,0.013113514561990782,8862.75,5.0,0.013113514561990782,8862.75,5.0,0.2752922096581847,6508.25,4.0,0.3904581962384517,5474.0,3.0
pronghorn0-pronghorn1-100GB-1550722651000-16-na-na-na-na,0.04644892384495823,9317.75,5.0,0.04644892384495823,9317.75,5.0,0.04644892384495823,9317.75,5.0,0.21766915795079508,6966.0,4.0,0.3105470801980952,6139.0,3.0
pronghorn0-pronghorn1-100GB-1550725980000-16-na-na-na-na,0.011373448705674125,8827.0,5.0,0.011373448705674125,8827.0,5.0,0.011373448705674125,8827.0,5.0,0.2744061274996839,6478.5,4.0,0.3427449705246552,5868.333333333333,3.0
pronghorn0-pronghorn1-100GB-1550747468000-16-na-na-na-na,0.024706640806995174,9152.25,5.0,0.024706640806995174,9152.25,5.0,0.024706640806995174,9152.25,5.0,0.2118976159260904,7039.0,4.0,0.30254972990608414,6229.333333333333,3.0
pronghorn0-pronghorn1-100GB-1550705499000-16-na-na-na-na,0.017145741185270593,8307.75,6.0,0.06100758301435319,7937.0,5.0,0.06100758301435319,7937.0,5.0,0.06100758301435319,7937.0,5.0,0.47129178385928494,4469.0,3.0
pronghorn0-pronghorn1-100GB-1550700973000-16-na-na-na-na,0.021123810071818336,9159.25,5.0,0.021123810071818336,9159.25,5.0,0.021123810071818336,9159.25,5.0,0.24017039304042603,6815.5,4.0,0.33692124926125844,5947.666666666667,3.0
pronghorn0-pronghorn1-100GB-1550733783000-16-na-na-na-na,0.01988465203912854,8658.75,6.0,0.01988465203912854,8658.75,6.0,0.14168099844084908,7582.75,5.0,0.14168099844084908,7582.75,5.0,0.40216784059415706,5281.5,4.0
pronghorn0-pronghorn1-100GB-1550707648000-16-na-na-na-na,0.007621346263465815,9009.5,5.0,0.007621346263465815,9009.5,5.0,0.007621346263465815,9009.5,5.0,0.2556217575455838,6655.75,4.0,0.3481972133832645,5828.0,3.0
pronghorn0-pronghorn1-100GB-1550713829000-16-na-na-na-na,0.030983018076081503,8875.5,5.0,0.030983018076081503,8875.5,5.0,0.030983018076081503,8875.5,5.0,0.233166087112923,6601.5,4.0,0.3364521818199986,5712.333333333333,3.0
