file_name,error_rate,mean_estimation,required_seconds,error_rate,mean_estimation,required_seconds,error_rate,mean_estimation,required_seconds,error_rate,mean_estimation,required_seconds,error_rate,mean_estimation,required_seconds
pronghorn0-pronghorn1-100GB-1550472443000-2-na-na-na-na,0.040810810810810796,1901.25,8.0,0.040810810810810796,1901.25,8.0,0.13628828828828826,1712.0,7.0,0.20740540540540542,2393.25,4.0,0.4652492492492494,2904.3333333333335,3.0
pronghorn0-pronghorn1-100GB-1550549118000-2-na-na-na-na,0.039116557855240694,6245.75,14.0,0.039116557855240694,6245.75,14.0,0.15750102869227264,5476.25,13.0,0.27319319512430384,4724.25,6.0,0.4197314777393434,3771.75,4.0
pronghorn0-pronghorn1-100GB-1550524252000-2-na-na-na-na,0.02541097087248137,6591.5,5.0,0.02541097087248137,6591.5,5.0,0.02541097087248137,6591.5,5.0,0.02541097087248137,6591.5,5.0,0.34381762705485436,4438.0,3.0
pronghorn0-pronghorn1-100GB-1550493505000-2-na-na-na-na,0.013301798441245113,5060.25,4.0,0.06477799199905905,4670.333333333333,3.0,0.19500553732843134,4020.0,2.0,0.19500553732843134,4020.0,2.0,0.19500553732843134,4020.0,2.0
pronghorn0-pronghorn1-100GB-1550533181000-2-na-na-na-na,0.006930402930402977,3617.0,8.0,0.06962637362637358,3342.0,5.0,0.15397802197802193,3039.0,2.0,0.15397802197802193,3039.0,2.0,0.15397802197802193,3039.0,2.0
pronghorn0-pronghorn1-100GB-1550529436000-2-na-na-na-na,0.04121709080252035,5800.5,8.0,0.09754005275240565,5027.5,4.0,0.11773433302398284,4915.0,3.0,0.11773433302398284,4915.0,3.0,0.34633358569823675,3641.5,2.0
pronghorn0-pronghorn1-100GB-1550508596000-2-na-na-na-na,0.024208622948377778,8388.75,5.0,0.024208622948377778,8388.75,5.0,0.024208622948377778,8388.75,5.0,0.2160401051465911,6421.0,4.0,0.30467970702535996,5695.0,3.0
pronghorn0-pronghorn1-100GB-1550512748000-2-na-na-na-na,0.029514289516706965,8432.0,5.0,0.029514289516706965,8432.0,5.0,0.029514289516706965,8432.0,5.0,0.24990262836267918,6143.5,4.0,0.3281051784617601,5503.0,3.0
pronghorn0-pronghorn1-100GB-1550549393000-2-na-na-na-na,0.047808604400985104,4456.0,10.0,0.096056489200235,5129.25,9.0,0.10551216003848823,5173.5,5.0,0.21448483612612684,3676.0,4.0,0.21448483612612684,3676.0,4.0
pronghorn0-pronghorn1-100GB-1550530834000-2-na-na-na-na,0.036691685806491785,4994.25,9.0,0.036691685806491785,4994.25,9.0,0.11701912028845884,4253.75,4.0,0.11701912028845884,4253.75,4.0,0.3080073050841318,3333.6666666666665,3.0
pronghorn0-pronghorn1-100GB-1550505355000-2-na-na-na-na,0.006437799682780463,8303.25,6.0,0.006437799682780463,8303.25,6.0,0.102344836512245,7501.75,5.0,0.102344836512245,7501.75,5.0,0.44390272094972155,4647.333333333333,3.0
pronghorn0-pronghorn1-100GB-1550499616000-2-na-na-na-na,0.01820437398272729,8096.0,5.0,0.01820437398272729,8096.0,5.0,0.01820437398272729,8096.0,5.0,0.2681027230246441,5819.5,4.0,0.35796278048643493,5105.0,3.0
pronghorn0-pronghorn1-100GB-1550508889000-2-na-na-na-na,0.029285931446586155,8346.5,5.0,0.029285931446586155,8346.5,5.0,0.029285931446586155,8346.5,5.0,0.24849116800629054,6094.0,4.0,0.3273745204073369,5454.333333333333,3.0
pronghorn0-pronghorn1-100GB-1550493669000-2-na-na-na-na,0.030510326806962293,4157.5,5.0,0.030510326806962293,4157.5,5.0,0.030510326806962293,4157.5,5.0,0.2512533807090484,3020.75,4.0,0.2512533807090484,3020.75,4.0
pronghorn0-pronghorn1-100GB-1550501979000-2-na-na-na-na,0.01991528890050175,8110.0,5.0,0.01991528890050175,8110.0,5.0,0.01991528890050175,8110.0,5.0,0.29884491894164444,5575.333333333333,3.0,0.29884491894164444,5575.333333333333,3.0
pronghorn0-pronghorn1-100GB-1550498418000-2-na-na-na-na,0.03128754542080175,7702.75,5.0,0.03128754542080175,7702.75,5.0,0.03128754542080175,7702.75,5.0,0.03128754542080175,7702.75,5.0,0.40284059089369906,4748.333333333333,3.0
pronghorn0-pronghorn1-100GB-1550507511000-2-na-na-na-na,0.0016715853686828266,8343.0,5.0,0.0016715853686828266,8343.0,5.0,0.0016715853686828266,8343.0,5.0,0.28212612471809545,5999.25,4.0,0.353673193867679,5401.333333333333,3.0
pronghorn0-pronghorn1-100GB-1550491660000-2-na-na-na-na,0.011495298460170939,7359.75,16.0,0.0953501093423949,8155.25,5.0,0.0953501093423949,8155.25,5.0,0.25819335349645356,5523.0,3.0,0.4759135370891113,3902.0,2.0
pronghorn0-pronghorn1-100GB-1550500603000-2-na-na-na-na,0.00732190618092115,8210.25,5.0,0.00732190618092115,8210.25,5.0,0.00732190618092115,8210.25,5.0,0.2920582919114325,5855.25,4.0,0.37148422711007445,5198.333333333333,3.0
pronghorn0-pronghorn1-100GB-1550502669000-2-na-na-na-na,0.021954501277148555,7931.0,6.0,0.0700490346905784,7541.0,5.0,0.0700490346905784,7541.0,5.0,0.0700490346905784,7541.0,5.0,0.40819060038192356,4799.0,3.0
pronghorn0-pronghorn1-100GB-1550538958000-2-na-na-na-na,0.020598349591062624,2057.75,40.0,0.05246492422900493,2122.0,27.0,0.13740112511223637,2293.25,11.0,0.20854340111289604,1595.75,7.0,0.37419999144865834,1261.75,6.0
