file_name,error_rate,mean_estimation,required_seconds,error_rate,mean_estimation,required_seconds,error_rate,mean_estimation,required_seconds,error_rate,mean_estimation,required_seconds,error_rate,mean_estimation,required_seconds
pronghorn0-pronghorn1-100GB-1550607384000-4-na-na-na-na,0.03381845446707902,8241.75,5.0,0.03381845446707902,8241.75,5.0,0.03381845446707902,8241.75,5.0,0.03381845446707902,8241.75,5.0,0.44522787830534055,4732.333333333333,3.0
pronghorn0-pronghorn1-100GB-1550601481000-4-na-na-na-na,0.017657050608859554,8503.75,10.0,0.05460564556702335,8812.5,9.0,0.16226914378660368,7000.25,4.0,0.2553636468728275,6222.333333333333,3.0,0.44669853023782896,4623.5,2.0
pronghorn0-pronghorn1-100GB-1550626562000-4-na-na-na-na,0.00725900789793745,8332.25,5.0,0.00725900789793745,8332.25,5.0,0.00725900789793745,8332.25,5.0,0.26540116100167527,6076.75,4.0,0.474444653384586,4347.5,2.0
pronghorn0-pronghorn1-100GB-1550599671000-4-na-na-na-na,0.04168091268978745,8979.75,5.0,0.04168091268978745,8979.75,5.0,0.04168091268978745,8979.75,5.0,0.2152084640914742,6765.25,4.0,0.31685638299171376,5889.0,3.0
pronghorn0-pronghorn1-100GB-1550598816000-4-na-na-na-na,0.00198461882252664,8425.75,16.0,0.05703222403083076,8924.0,5.0,0.05703222403083076,8924.0,5.0,0.22297944983838527,6560.0,4.0,0.3338075333904002,5624.333333333333,3.0
pronghorn0-pronghorn1-100GB-1550636225000-4-na-na-na-na,0.032589251371571606,8808.75,5.0,0.032589251371571606,8808.75,5.0,0.032589251371571606,8808.75,5.0,0.2431781632844945,6456.25,4.0,0.3584768807901816,5472.666666666667,3.0
pronghorn0-pronghorn1-100GB-1550599480000-4-na-na-na-na,0.013076229766467006,8464.5,13.0,0.05577396087511927,8821.25,5.0,0.1945478460309668,6729.75,4.0,0.1945478460309668,6729.75,4.0,0.30163626904278634,5835.0,3.0
pronghorn0-pronghorn1-100GB-1550632676000-4-na-na-na-na,0.01743170126224296,8295.5,5.0,0.01743170126224296,8295.5,5.0,0.01743170126224296,8295.5,5.0,0.20102290891018743,6745.5,4.0,0.30630160895174524,5856.666666666667,3.0
pronghorn0-pronghorn1-100GB-1550639074000-4-na-na-na-na,0.014370542402807438,8653.5,5.0,0.014370542402807438,8653.5,5.0,0.014370542402807438,8653.5,5.0,0.23838689471004326,6497.25,4.0,0.3520422678813676,5527.666666666667,3.0
pronghorn0-pronghorn1-100GB-1550613896000-4-na-na-na-na,0.006783285359607605,8384.5,5.0,0.006783285359607605,8384.5,5.0,0.006783285359607605,8384.5,5.0,0.28282160002247053,6054.25,4.0,0.41509057610399613,4937.666666666667,3.0
pronghorn0-pronghorn1-100GB-1550612462000-4-na-na-na-na,0.02536057971226915,8837.0,5.0,0.02536057971226915,8837.0,5.0,0.02536057971226915,8837.0,5.0,0.20377043814297624,6862.25,4.0,0.4985166430331077,4322.0,2.0
pronghorn0-pronghorn1-100GB-1550618710000-4-na-na-na-na,0.005211813117353055,8572.75,8.0,0.05998287564567495,8016.75,7.0,0.15789216542468282,7181.75,5.0,0.15789216542468282,7181.75,5.0,0.4332693714677966,4833.25,4.0
pronghorn0-pronghorn1-100GB-1550603687000-4-na-na-na-na,0.005529071584870201,8483.5,5.0,0.005529071584870201,8483.5,5.0,0.17503516723976237,7037.5,4.0,0.2678571428571428,6245.666666666667,3.0,0.453032197561738,4666.0,2.0
pronghorn0-pronghorn1-100GB-1550625985000-4-na-na-na-na,0.007487618321952856,8556.0,8.0,0.09359003946507236,7813.75,5.0,0.09359003946507236,7813.75,5.0,0.09359003946507236,7813.75,5.0,0.496087682794596,4344.0,2.0
pronghorn0-pronghorn1-100GB-1550596913000-4-na-na-na-na,0.04678832259395886,8047.75,5.0,0.04678832259395886,8047.75,5.0,0.04678832259395886,8047.75,5.0,0.04678832259395886,8047.75,5.0,0.3730338112222699,5293.333333333333,3.0
pronghorn0-pronghorn1-100GB-1550627056000-4-na-na-na-na,0.0005040162555163784,8446.75,5.0,0.0005040162555163784,8446.75,5.0,0.19878541546081313,6764.25,4.0,0.19878541546081313,6764.25,4.0,0.3027732392910029,5886.333333333333,3.0
pronghorn0-pronghorn1-100GB-1550602441000-4-na-na-na-na,0.022566938499376,8290.75,5.0,0.022566938499376,8290.75,5.0,0.022566938499376,8290.75,5.0,0.24301123721739043,6137.5,4.0,0.3783750119064192,5040.0,3.0
pronghorn0-pronghorn1-100GB-1550611793000-4-na-na-na-na,0.006929637526652452,8383.5,5.0,0.006929637526652452,8383.5,5.0,0.006929637526652452,8383.5,5.0,0.23312011371712865,6474.0,4.0,0.34916686409223724,5494.333333333333,3.0
pronghorn0-pronghorn1-100GB-1550594916000-4-na-na-na-na,0.03788410699131206,8207.5,5.0,0.03788410699131206,8207.5,5.0,0.17503617459047927,7037.5,4.0,0.2678580368645025,6245.666666666667,3.0,0.4540292693648536,4657.5,2.0
pronghorn0-pronghorn1-100GB-1550601386000-4-na-na-na-na,0.036164556853828786,8839.25,5.0,0.036164556853828786,8839.25,5.0,0.1792915571261285,7001.25,4.0,0.27286492110028565,6203.0,3.0,0.4611252687889752,4597.0,2.0
pronghorn0-pronghorn1-100GB-1550611391000-4-na-na-na-na,0.007654970724529676,7934.75,5.0,0.007654970724529676,7934.75,5.0,0.007654970724529676,7934.75,5.0,0.28912686444144603,5597.75,4.0,0.45020646482161,4329.333333333333,3.0
pronghorn0-pronghorn1-100GB-1550611981000-4-na-na-na-na,0.015358132525338387,8751.5,6.0,0.059156075166978704,9129.0,5.0,0.059156075166978704,9129.0,5.0,0.21375441643248735,6776.75,4.0,0.3152824949490138,5901.666666666667,3.0
pronghorn0-pronghorn1-100GB-1550599577000-4-na-na-na-na,0.024908373238757067,8833.75,5.0,0.024908373238757067,8833.75,5.0,0.024908373238757067,8833.75,5.0,0.2120373321804422,6791.5,4.0,0.31342112730125354,5917.666666666667,3.0
pronghorn0-pronghorn1-100GB-1550619184000-4-na-na-na-na,0.0458630282188931,8224.5,10.0,0.08612910986171415,9362.25,5.0,0.1859179688454043,7017.25,4.0,0.27864019812329954,6218.0,3.0,0.4625765065625901,4632.5,2.0
pronghorn0-pronghorn1-100GB-1550610196000-4-na-na-na-na,0.04860941514355205,8945.25,5.0,0.04860941514355205,8945.25,5.0,0.04860941514355205,8945.25,5.0,0.2028388054744205,6800.25,4.0,0.3043461271698888,5934.333333333333,3.0
pronghorn0-pronghorn1-100GB-1550636699000-4-na-na-na-na,0.04594126288102748,8922.5,7.0,0.0566014235527275,8047.75,6.0,0.11585872905974452,7542.25,5.0,0.11585872905974452,7542.25,5.0,0.39110334494594823,5194.25,4.0
pronghorn0-pronghorn1-100GB-1550632867000-4-na-na-na-na,0.020581566155164998,8184.75,6.0,0.09743565322402419,7542.5,5.0,0.09743565322402419,7542.5,5.0,0.09743565322402419,7542.5,5.0,0.4856849105146644,4298.0,3.0
pronghorn0-pronghorn1-100GB-1550630671000-4-na-na-na-na,0.04847582680732631,8943.75,5.0,0.04847582680732631,8943.75,5.0,0.04847582680732631,8943.75,5.0,0.20239637661603394,6803.75,4.0,0.30482609051377274,5930.0,3.0
pronghorn0-pronghorn1-100GB-1550616587000-4-na-na-na-na,0.042963169193121806,7837.5,9.0,0.042963169193121806,7837.5,9.0,0.16687425360285446,6822.75,4.0,0.2711663373768012,5968.666666666667,3.0,0.48194848424903597,4242.5,2.0
pronghorn0-pronghorn1-100GB-1550622558000-4-na-na-na-na,0.01478312934739556,5396.333333333333,3.0,0.01478312934739556,5396.333333333333,3.0,0.01478312934739556,5396.333333333333,3.0,0.23764331217968834,4054.0,2.0,0.23764331217968834,4054.0,2.0
pronghorn0-pronghorn1-100GB-1550633729000-4-na-na-na-na,0.045191879102427154,7978.25,11.0,0.0881856205159518,7619.0,7.0,0.0881856205159518,7619.0,7.0,0.23140833460540378,6422.25,6.0,0.47680476263165933,4371.75,5.0
pronghorn0-pronghorn1-100GB-1550605003000-4-na-na-na-na,0.01911448666601552,8197.0,34.0,0.05325229559441233,8801.75,5.0,0.18544739669825153,6807.0,4.0,0.2887572856631175,5943.666666666667,3.0,0.4977105108918629,4197.5,2.0
pronghorn0-pronghorn1-100GB-1550632389000-4-na-na-na-na,0.028939832454083603,8197.75,21.0,0.08305887309495899,9143.25,5.0,0.19539798261039468,6792.5,4.0,0.2985520874039338,5921.666666666667,3.0,0.2985520874039338,5921.666666666667,3.0
pronghorn0-pronghorn1-100GB-1550605856000-4-na-na-na-na,0.0044344354491041805,8404.0,6.0,0.0871810497802323,7705.5,5.0,0.0871810497802323,7705.5,5.0,0.0871810497802323,7705.5,5.0,0.42987562981969557,4812.666666666667,3.0
pronghorn0-pronghorn1-100GB-1550636887000-4-na-na-na-na,0.03482486518697969,8647.25,20.0,0.08679198741745134,9081.5,5.0,0.1948536594896644,6728.0,4.0,0.1948536594896644,6728.0,4.0,0.3017198429135244,5835.0,3.0
pronghorn0-pronghorn1-100GB-1550601770000-4-na-na-na-na,0.04322003682665593,8162.25,6.0,0.09589094621061518,9349.0,5.0,0.17907816140234348,7003.25,4.0,0.2727272727272728,6204.333333333333,3.0,0.46143213687403234,4594.5,2.0
pronghorn0-pronghorn1-100GB-1550638784000-4-na-na-na-na,0.00016454679112380268,8618.75,5.0,0.00016454679112380268,8618.75,5.0,0.00016454679112380268,8618.75,5.0,0.25044967982064087,6461.25,4.0,0.3640495484274333,5482.0,3.0
