file_name,error_rate,mean_estimation,required_seconds,error_rate,mean_estimation,required_seconds,error_rate,mean_estimation,required_seconds,error_rate,mean_estimation,required_seconds,error_rate,mean_estimation,required_seconds
pronghorn0-pronghorn1-1000x100MB-1551006803000-8-na-na-na-na,0.026119566400682682,6823.608319999999,0.5,0.026119566400682682,6823.608319999999,0.5,0.1473401812628336,5974.261759999999,0.4,0.1473401812628336,5974.261759999999,0.4,0.435052072710346,3958.3744,0.2
pronghorn0-pronghorn1-1000x100MB-1551007040000-8-na-na-na-na,0.020241800350148324,7319.06048,0.4,0.08694692748033525,6550.104746666667,0.3,0.08694692748033525,6550.104746666667,0.3,0.08694692748033525,6550.104746666667,0.3,0.3429818205481495,4713.34912,0.2
pronghorn0-pronghorn1-1000x100MB-1551006685000-8-na-na-na-na,0.02342402447359014,6915.35872,5.2,0.09005923129495257,6443.499519999999,0.4,0.09005923129495257,6443.499519999999,0.4,0.26059600134517974,5235.889493333333,0.3,0.36696553519705805,4482.6624,0.2
pronghorn0-pronghorn1-1000x100MB-1551005986000-8-na-na-na-na,0.039462505114559183,7581.204479999999,3.6,0.05902045698827236,6862.9299200000005,0.4,0.05902045698827236,6862.9299200000005,0.4,0.23322267949133482,5592.405333333333,0.3,0.3882554689816805,4461.69088,0.2
pronghorn0-pronghorn1-1000x100MB-1551007625000-8-na-na-na-na,0.007269946376901449,7216.824319999999,3.9,0.09417439349755759,6585.05728,0.4,0.09417439349755759,6585.05728,0.4,0.26101170000304996,5372.204373333333,0.3,0.26101170000304996,5372.204373333333,0.3
pronghorn0-pronghorn1-1000x100MB-1551008807000-8-na-na-na-na,0.014563003513092898,7240.41728,0.6,0.08314653990996382,6543.11424,0.4,0.08314653990996382,6543.11424,0.4,0.2692599559538814,5214.917973333333,0.3,0.458556890956445,3864.00256,0.2
pronghorn0-pronghorn1-1000x100MB-1550999905000-8-na-na-na-na,0.03388920591062055,7119.831040000001,1.6,0.03388920591062055,7119.831040000001,1.6,0.10005143260451768,6632.243200000001,0.4,0.25442996155694425,5494.538240000001,0.3,0.41947981739548335,4278.19008,0.2
pronghorn0-pronghorn1-1000x100MB-1551000252000-8-na-na-na-na,0.04528933811934204,7090.995199999999,0.4,0.04528933811934204,7090.995199999999,0.4,0.15340752644569128,6287.960746666667,0.3,0.15340752644569128,6287.960746666667,0.3,0.4091735127585132,4388.29056,0.2
pronghorn0-pronghorn1-1000x100MB-1551001545000-8-na-na-na-na,0.003384418342026576,7201.095679999999,1.9,0.003384418342026576,7201.095679999999,1.9,0.12701537683383918,6265.2416,0.9,0.2723910588506308,5221.90848,0.3,0.4557543562687951,3905.9456,0.2
pronghorn0-pronghorn1-1000x100MB-1551005284000-8-na-na-na-na,0.03023321162903823,7258.76736,8.3,0.08324498611269407,6459.22816,0.4,0.08324498611269407,6459.22816,0.4,0.24695123859257018,5305.794559999999,0.3,0.4292604743087957,4021.28896,0.2
pronghorn0-pronghorn1-1000x100MB-1551001662000-8-na-na-na-na,0.021875976424025976,7169.6384,0.4,0.021875976424025976,7169.6384,0.4,0.10030078565665276,6312.42752,0.3,0.10030078565665276,6312.42752,0.3,0.33120365711188066,4692.3776,0.2
pronghorn0-pronghorn1-1000x100MB-1551003177000-8-na-na-na-na,0.03089686525241694,7444.8896,2.7,0.03089686525241694,7444.8896,2.7,0.13862033054789247,6220.67712,0.4,0.13862033054789247,6220.67712,0.4,0.3127354231650554,4963.259733333333,0.3
pronghorn0-pronghorn1-1000x100MB-1550998613000-8-na-na-na-na,0.037623980576323594,7056.91648,0.4,0.037623980576323594,7056.91648,0.4,0.18252854219336065,5994.359466666666,0.3,0.18252854219336065,5994.359466666666,0.3,0.44159311205803026,4094.68928,0.2
pronghorn0-pronghorn1-1000x100MB-1551006923000-8-na-na-na-na,0.03807833901859666,7447.511039999999,0.6,0.03807833901859666,7447.511039999999,0.6,0.18846462831386715,5822.21824,0.4,0.18846462831386715,5822.21824,0.4,0.41244985246677096,4215.27552,0.3
pronghorn0-pronghorn1-1000x100MB-1551002367000-8-na-na-na-na,0.04685873210531668,6938.95168,1.2,0.060806261888075815,7722.762239999999,1.1,0.10555235759335345,6511.65696,0.4,0.2687902526112063,5323.270826666667,0.3,0.2687902526112063,5323.270826666667,0.3
pronghorn0-pronghorn1-1000x100MB-1551002718000-8-na-na-na-na,0.0270750800082132,7591.69024,1.0,0.0270750800082132,7591.69024,1.0,0.0270750800082132,7591.69024,1.0,0.22792042500763815,5706.874879999999,0.9,0.22792042500763815,5706.874879999999,0.9
pronghorn0-pronghorn1-1000x100MB-1551000839000-8-na-na-na-na,0.0008123708089545881,7211.58144,0.9,0.0008123708089545881,7211.58144,0.9,0.1883633590422473,5848.43264,0.4,0.1883633590422473,5848.43264,0.4,0.36844410188137217,4550.81984,0.3
pronghorn0-pronghorn1-1000x100MB-1551007506000-8-na-na-na-na,0.0027836610058254853,7072.645119999999,4.3,0.06968546196247816,7544.50432,1.7,0.15332054122636365,5971.64032,0.4,0.15332054122636365,5971.64032,0.4,0.3483269017926065,4596.258133333334,0.3
pronghorn0-pronghorn1-1000x100MB-1551007864000-8-na-na-na-na,0.040917765277840266,6910.11584,2.7,0.0726003140974684,7728.00512,2.6,0.10750048491143488,6430.39232,0.4,0.2679539240284578,5274.33728,0.3,0.4200390431915317,4178.57536,0.2
pronghorn0-pronghorn1-1000x100MB-1550998498000-8-na-na-na-na,0.04161508254919243,6980.89472,0.7,0.09811768564336328,6569.32864,0.4,0.09811768564336328,6569.32864,0.4,0.2360752091216995,5564.443306666667,0.3,0.2360752091216995,5564.443306666667,0.3
pronghorn0-pronghorn1-1000x100MB-1551003413000-8-na-na-na-na,0.03722315117047383,7308.5747200000005,0.4,0.08281893519167578,6462.723413333333,0.3,0.08281893519167578,6462.723413333333,0.3,0.08281893519167578,6462.723413333333,0.3,0.34373685844163715,4624.22016,0.2
pronghorn0-pronghorn1-1000x100MB-1551009398000-8-na-na-na-na,0.031029893760594937,6978.27328,0.4,0.031029893760594937,6978.27328,0.4,0.16231284579553565,6032.807253333333,0.3,0.16231284579553565,6032.807253333333,0.3,0.34043056630135166,4750.04928,0.2
pronghorn0-pronghorn1-1000x100MB-1550998262000-8-na-na-na-na,0.015517077299888065,6847.20128,0.4,0.015517077299888065,6847.20128,0.4,0.15823946119311513,5854.549333333333,0.3,0.15823946119311513,5854.549333333333,0.3,0.3456882259542901,4550.81984,0.2
pronghorn0-pronghorn1-1000x100MB-1551004464000-8-na-na-na-na,0.04489550669395589,7392.4608,6.3,0.0536655588310768,6695.15776,2.2,0.1381464721382476,6097.469440000001,0.4,0.1381464721382476,6097.469440000001,0.4,0.47014164022256844,3748.6592,0.2
