file_name,error_rate,mean_estimation,required_seconds,error_rate,mean_estimation,required_seconds,error_rate,mean_estimation,required_seconds,error_rate,mean_estimation,required_seconds,error_rate,mean_estimation,required_seconds
pronghorn0-pronghorn1-600x100MB-1551011677000-4-na-na-na-na,0.03403695115409801,6550.97856,2.1,0.09817289650379193,6957.301759999999,0.7,0.10913103007812196,5643.96032,0.4,0.2540920592448496,4725.582506666667,0.3,0.2540920592448496,4725.582506666667,0.3
pronghorn0-pronghorn1-600x100MB-1551012072000-4-na-na-na-na,0.0015135767995427996,6110.576639999999,3.0,0.054172066707990324,6451.36384,1.7,0.11371287015066019,6815.744,0.5,0.2906505719348103,4341.10464,0.4,0.2906505719348103,4341.10464,0.4
pronghorn0-pronghorn1-600x100MB-1551012769000-4-na-na-na-na,0.0027827494565917424,6703.02208,0.5,0.0027827494565917424,6703.02208,0.5,0.0027827494565917424,6703.02208,0.5,0.27526690614165755,4844.42112,0.4,0.30428760362299817,4650.43456,0.2
pronghorn0-pronghorn1-600x100MB-1551014123000-4-na-na-na-na,0.024103384548636028,6873.41568,2.0,0.054568702624453416,7077.887999999999,1.7,0.19384081399375097,5410.652160000001,0.3,0.19384081399375097,5410.652160000001,0.3,0.3242948683184057,4535.0912,0.2
pronghorn0-pronghorn1-600x100MB-1551017511000-4-na-na-na-na,0.03240924223208511,7022.83776,0.5,0.03240924223208511,7022.83776,0.5,0.03240924223208511,7022.83776,0.5,0.03240924223208511,7022.83776,0.5,0.32983961469145356,4558.68416,0.4
pronghorn0-pronghorn1-600x100MB-1551014730000-4-na-na-na-na,0.04526081033436065,6805.25824,3.0,0.07344580907218992,6988.759039999999,2.3,0.10887837891403289,7219.4457600000005,0.5,0.25873453319508544,4826.071040000001,0.4,0.48300659458038553,3365.92896,0.2
pronghorn0-pronghorn1-600x100MB-1551015938000-4-na-na-na-na,0.02488932858296712,7014.97344,0.8,0.0888491633637429,7452.753920000001,0.5,0.0888491633637429,7452.753920000001,0.5,0.2592914942154489,5069.864960000001,0.4,0.4924065806619485,3474.2818133333335,0.3
pronghorn0-pronghorn1-600x100MB-1551014427000-4-na-na-na-na,0.006936547646123976,6571.9500800000005,0.4,0.006936547646123976,6571.9500800000005,0.4,0.1811695352474812,5344.242346666667,0.3,0.2987191016393569,4577.03424,0.2,0.2987191016393569,4577.03424,0.2
pronghorn0-pronghorn1-600x100MB-1551011596000-4-na-na-na-na,0.03251679582248999,6008.34048,0.9,0.03251679582248999,6008.34048,0.9,0.03251679582248999,6008.34048,0.9,0.03251679582248999,6008.34048,0.9,0.4094637859317904,3667.3945599999997,0.8
pronghorn0-pronghorn1-600x100MB-1551012461000-4-na-na-na-na,0.04398751085286887,6490.68544,2.3,0.05827364255660221,6393.6921600000005,1.6,0.10846815935350337,6052.90496,0.4,0.10846815935350337,6052.90496,0.4,0.3899435650838177,4141.8752,0.2
pronghorn0-pronghorn1-600x100MB-1551016085000-4-na-na-na-na,0.03931748575052748,6328.15616,0.7,0.03931748575052748,6328.15616,0.7,0.120899886504936,5790.76096,0.5,0.2542174682255545,4912.57856,0.4,0.4746889317277118,3460.3008,0.2
pronghorn0-pronghorn1-600x100MB-1551011995000-4-na-na-na-na,0.01295075469139517,6451.36384,1.9,0.09035851752949385,5945.42592,0.7,0.144503843867024,5591.53152,0.4,0.144503843867024,5591.53152,0.4,0.35881238243260616,4190.808746666667,0.3
pronghorn0-pronghorn1-600x100MB-1551010147000-4-na-na-na-na,0.042409666455944746,6640.10752,0.5,0.042409666455944746,6640.10752,0.5,0.042409666455944746,6640.10752,0.5,0.042409666455944746,6640.10752,0.5,0.3259111592361479,4293.91872,0.4
pronghorn0-pronghorn1-600x100MB-1551011517000-4-na-na-na-na,0.009454083888894304,6398.93504,3.0,0.06746458043037419,5911.3472,2.3,0.18532382414538226,5164.236800000001,0.4,0.18532382414538226,5164.236800000001,0.4,0.41442565227911743,3711.95904,0.3
pronghorn0-pronghorn1-600x100MB-1551013748000-4-na-na-na-na,0.017742036422805696,6820.98688,1.8,0.017742036422805696,6820.98688,1.8,0.149946805181802,7707.033600000001,0.5,0.21107390950622637,5287.44448,0.4,0.3225483447024215,4540.33408,0.2
pronghorn0-pronghorn1-600x100MB-1551012997000-4-na-na-na-na,0.014698211468965007,6236.405760000001,3.9,0.0921567113729883,6912.73728,3.3,0.13481584723624873,7182.7456,0.5,0.23669138450496124,4831.31392,0.4,0.4872620369056657,3245.34272,0.2
pronghorn0-pronghorn1-600x100MB-1551016161000-4-na-na-na-na,0.02653576780042361,6393.69216,0.8,0.07963130303397051,7090.995199999999,0.5,0.07963130303397051,7090.995199999999,0.5,0.2719972285641544,4781.50656,0.4,0.2719972285641544,4781.50656,0.4
pronghorn0-pronghorn1-600x100MB-1551012692000-4-na-na-na-na,0.004430132830967838,6498.54976,1.3,0.004430132830967838,6498.54976,1.3,0.1116326713690526,7256.145920000001,0.9,0.28635431465939076,4658.29888,0.7,0.48755661536600037,3344.95744,0.2
pronghorn0-pronghorn1-600x100MB-1551013602000-4-na-na-na-na,0.01814994640004254,7041.18784,0.5,0.01814994640004254,7041.18784,0.5,0.01814994640004254,7041.18784,0.5,0.01814994640004254,7041.18784,0.5,0.3241394808520939,4674.02752,0.4
pronghorn0-pronghorn1-600x100MB-1551016467000-4-na-na-na-na,0.023541436348845396,6962.54464,2.0,0.059766170918420354,7208.959999999999,1.7,0.12405508854633826,5958.53312,0.4,0.12405508854633826,5958.53312,0.4,0.308904000055624,4701.115733333333,0.3
pronghorn0-pronghorn1-600x100MB-1551016389000-4-na-na-na-na,0.03237432579559261,6204.94848,1.6,0.09149157166276632,6999.2448,1.0,0.11740438081651217,5659.68896,0.9,0.22369194959266175,4978.11456,0.8,0.46488297104623183,3431.46496,0.7
pronghorn0-pronghorn1-600x100MB-1551012535000-4-na-na-na-na,0.03647448746535082,6123.683840000001,0.9,0.03647448746535082,6123.683840000001,0.9,0.16392713445730578,5313.65888,0.4,0.16392713445730578,5313.65888,0.4,0.4010962995717849,3806.33088,0.3
pronghorn0-pronghorn1-600x100MB-1551014807000-4-na-na-na-na,0.02775309723438854,6414.66368,0.4,0.02775309723438854,6414.66368,0.4,0.16350477620656567,5519.0050133333325,0.3,0.16350477620656567,5519.0050133333325,0.3,0.42229383055937914,3811.57376,0.2
pronghorn0-pronghorn1-600x100MB-1551013970000-4-na-na-na-na,0.005366201797569162,6629.621759999999,0.8,0.0932214531211211,7208.959999999999,0.6,0.1003781278497829,5932.318719999999,0.5,0.2609822976901221,4873.25696,0.4,0.2609822976901221,4873.25696,0.4
pronghorn0-pronghorn1-600x100MB-1551016766000-4-na-na-na-na,0.006315865228166004,6938.95168,0.9,0.0765616786402663,6367.47776,0.5,0.0765616786402663,6367.47776,0.5,0.23965556084007103,5242.88,0.4,0.4046503041377756,4105.17504,0.2
pronghorn0-pronghorn1-600x100MB-1551017359000-4-na-na-na-na,0.04055132235180201,6965.16608,4.2,0.09495140912494757,6058.14784,3.8,0.1783678305253743,5499.78112,0.5,0.1783678305253743,5499.78112,0.5,0.30956267169505947,4621.59872,0.4
pronghorn0-pronghorn1-600x100MB-1551015863000-4-na-na-na-na,0.021447630293194197,6566.7072,1.6,0.07464972816903107,7211.58144,1.4,0.11090411439014372,5966.39744,0.4,0.20517848773248937,5333.756586666666,0.3,0.32575593209024073,4524.60544,0.2
pronghorn0-pronghorn1-600x100MB-1551013823000-4-na-na-na-na,0.02754583323772888,6705.64352,0.7,0.02754583323772888,6705.64352,0.7,0.16250331142404867,5775.03232,0.5,0.16250331142404867,5775.03232,0.5,0.3966830482205924,4160.225280000001,0.4
pronghorn0-pronghorn1-600x100MB-1551013076000-4-na-na-na-na,0.015542309417275224,6797.39392,3.0,0.055490367867164186,7064.7808,0.5,0.055490367867164186,7064.7808,0.5,0.055490367867164186,7064.7808,0.5,0.3024755676543899,4668.78464,0.4
pronghorn0-pronghorn1-600x100MB-1551014581000-4-na-na-na-na,0.03299744432274435,7083.130880000001,1.0,0.08231523496583612,7421.2966400000005,0.5,0.08231523496583612,7421.2966400000005,0.5,0.2556454388984518,5103.94368,0.4,0.2556454388984518,5103.94368,0.4
pronghorn0-pronghorn1-600x100MB-1551010064000-4-na-na-na-na,0.030241359239100592,5900.861440000001,1.2,0.030241359239100592,5900.861440000001,1.2,0.10589534910405525,6729.23648,0.5,0.2809741575166855,4375.18336,0.4,0.2809741575166855,4375.18336,0.4
pronghorn0-pronghorn1-600x100MB-1551014655000-4-na-na-na-na,0.03448534810760324,6952.0588800000005,1.6,0.09260688538815856,7342.65344,0.9,0.14916811294306143,7722.76224,0.5,0.20970312395701204,5311.03744,0.4,0.4367281890394499,3785.35936,0.3
pronghorn0-pronghorn1-600x100MB-1551017435000-4-na-na-na-na,0.03935390022372887,6367.47776,0.4,0.03935390022372887,6367.47776,0.4,0.18950840930087626,5372.204373333333,0.3,0.18950840930087626,5372.204373333333,0.3,0.31184676261395156,4561.3056,0.2
pronghorn0-pronghorn1-600x100MB-1551015711000-4-na-na-na-na,0.006512106956962351,6682.05056,2.8,0.05640086737654211,6346.50624,1.2,0.14393368618333297,7693.9264,0.5,0.20567739269450344,5342.49472,0.4,0.42212185847320105,3886.7217066666667,0.3
pronghorn0-pronghorn1-600x100MB-1551017139000-4-na-na-na-na,0.01811115838829469,7001.86624,1.2,0.09358326971771523,7520.91136,0.5,0.09358326971771523,7520.91136,0.5,0.2475659203824434,5174.72256,0.4,0.4704246464292509,3642.0539733333335,0.3
pronghorn0-pronghorn1-600x100MB-1551017212000-4-na-na-na-na,0.049700505071585875,7041.1878400000005,0.5,0.049700505071585875,7041.1878400000005,0.5,0.049700505071585875,7041.1878400000005,0.5,0.049700505071585875,7041.1878400000005,0.5,0.4815328853084001,3477.777066666667,0.3
pronghorn0-pronghorn1-600x100MB-1551016617000-4-na-na-na-na,0.04140051651556323,6710.8864,0.6,0.04140051651556323,6710.8864,0.6,0.17171013380172886,5798.62528,0.5,0.17171013380172886,5798.62528,0.5,0.3117555270920333,4818.20672,0.4
