file_name,error_rate,mean_estimation,required_seconds,error_rate,mean_estimation,required_seconds,error_rate,mean_estimation,required_seconds,error_rate,mean_estimation,required_seconds,error_rate,mean_estimation,required_seconds
comet-stampede2-745-1540038098625.log,0.00809531082938787,461.37344,3.0,0.00809531082938787,461.37344,3.0,0.00809531082938787,461.37344,3.0,0.00809531082938787,461.37344,3.0,0.00809531082938787,461.37344,3.0
comet-stampede2-745-1539937877727.log,0.023741860413076955,1599.0783999999999,6.0,0.023741860413076955,1599.0783999999999,6.0,0.19074045067018733,1264.058368,4.0,0.19074045067018733,1264.058368,4.0,0.397838394235718,940.572672,3.0
comet-stampede2-745-1539993005433.log,0.03149232473492634,1069.54752,10.0,0.08941288178509257,1005.584384,5.0,0.08941288178509257,1005.584384,5.0,0.23373951574616236,846.200832,3.0,0.23373951574616236,846.200832,3.0
comet-stampede2-745-1539984707183.log,0.03381186248583267,1430.2576640000002,16.0,0.03381186248583267,1430.2576640000002,16.0,0.13085568568190384,1286.602752,4.0,0.13085568568190384,1286.602752,4.0,0.34973554967888165,962.592768,3.0
comet-stampede2-745-1540027932590.log,0.019463594065918098,1462.76352,6.0,0.06896299724732642,1335.885824,5.0,0.06896299724732642,1335.885824,5.0,0.2505663686633699,1075.314688,4.0,0.34447394704148493,940.572672,3.0
comet-stampede2-745-1540073573332.log,0.041423001949317556,1767.899136,9.0,0.0732618583495775,1709.17888,6.0,0.12784275503573733,1608.515584,5.0,0.12784275503573733,1608.515584,5.0,0.47693307342430136,964.68992,3.0
comet-stampede2-745-1539981155248.log,0.03524872249452482,1337.982976,8.0,0.09404004588591106,1517.289472,7.0,0.18268328292835534,1133.510656,4.0,0.18268328292835534,1133.510656,4.0,0.18268328292835534,1133.510656,4.0
comet-stampede2-745-1540030982687.log,0.015537677332187088,1680.8673279999998,5.0,0.015537677332187088,1680.8673279999998,5.0,0.19824356691027453,1368.915968,4.0,0.19824356691027453,1368.915968,4.0,0.4798255849659154,888.143872,3.0
comet-stampede2-745-1539917859375.log,0.01018402715740571,1161.822208,11.0,0.06485617294979447,1249.902592,7.0,0.18885117026978743,952.107008,5.0,0.18885117026978743,952.107008,5.0,0.39967839914239767,704.6430720000001,4.0
comet-stampede2-745-1540128170254.log,0.04741606787642585,1892.67968,6.0,0.08594162302602189,1816.133632,5.0,0.08594162302602189,1816.133632,5.0,0.25218203223318303,1485.832192,4.0,0.49758454106280187,998.244352,3.0
comet-stampede2-745-1540026077067.log,0.01371461920046721,354.418688,5.0,0.01371461920046721,354.418688,5.0,0.01371461920046721,354.418688,5.0,0.26028596440035023,265.81401600000004,4.0,0.4660052524073535,191.889408,3.0
comet-stampede2-745-1539958241383.log,0.03571061027065959,982.515712,8.0,0.06864258516002876,948.96128,6.0,0.13244828650818147,883.949568,5.0,0.2976227230626737,715.65312,4.0,0.2976227230626737,715.65312,4.0
comet-stampede2-745-1540125926863.log,0.021187621968218415,2560.6225919999997,8.0,0.06161137440758301,2353.004544,6.0,0.1159743518260385,2216.689664,5.0,0.1159743518260385,2216.689664,5.0,0.3748257596877614,1567.62112,4.0
comet-stampede2-745-1539974618564.log,0.001821161901292872,957.874176,22.0,0.001821161901292872,957.874176,22.0,0.12001456929521033,1074.7903999999999,5.0,0.12001456929521033,1074.7903999999999,5.0,0.34547441267528683,628.0970239999999,4.0
comet-stampede2-745-1539910637244.log,0.006622516556291272,10.48576,3.0,0.006622516556291272,10.48576,3.0,0.006622516556291272,10.48576,3.0,0.006622516556291272,10.48576,3.0,0.006622516556291272,10.48576,3.0
comet-stampede2-745-1539920600498.log,0.021374375854277382,1691.353088,17.0,0.0957209406120117,1893.7282559999999,16.0,0.17467014421601706,1426.4128853333332,4.0,0.17467014421601706,1426.4128853333332,4.0,0.17467014421601706,1426.4128853333332,4.0
comet-stampede2-745-1540000741536.log,0.006461719208928616,1616.904192,5.0,0.006461719208928616,1616.904192,5.0,0.006461719208928616,1616.904192,5.0,0.006461719208928616,1616.904192,5.0,0.33914235363226963,1061.6832,4.0
comet-stampede2-745-1539986526921.log,0.04038097723269615,1542.455296,7.0,0.06203927196816497,1707.081728,5.0,0.1558483919368517,1356.857344,4.0,0.1558483919368517,1356.857344,4.0,0.4428860330093287,895.483904,3.0
comet-stampede2-745-1539925251106.log,0.00617283950617249,168.820736,4.0,0.00617283950617249,168.820736,4.0,0.00617283950617249,168.820736,4.0,0.24691358024691337,127.926272,3.0,0.24691358024691337,127.926272,3.0
comet-stampede2-745-1539935048016.log,0.00343886269365759,982.515712,16.0,0.00343886269365759,982.515712,16.0,0.13372567093274718,854.065152,4.0,0.13372567093274718,854.065152,4.0,0.4926791222037083,500.170752,3.0
comet-stampede2-745-1540116054649.log,0.0234370244110306,1940.914176,11.0,0.051399119336052346,1885.3396480000001,5.0,0.051399119336052346,1885.3396480000001,5.0,0.051399119336052346,1885.3396480000001,5.0,0.3634666504332298,1265.106944,4.0
comet-stampede2-745-1540135528517.log,0.016649616902231705,1829.240832,10.0,0.06283012171444093,1977.090048,9.0,0.1804004258961564,1524.629504,4.0,0.1804004258961564,1524.629504,4.0,0.45322449320445096,1017.11872,3.0
comet-stampede2-745-1540000839267.log,0.038932573495164574,1325.400064,14.0,0.08989287377736409,1390.411776,6.0,0.16326474697936896,1067.450368,5.0,0.16326474697936896,1067.450368,5.0,0.3383380366585383,844.10368,3.0
comet-stampede2-745-1539949555372.log,0.0028368193750530177,1655.701504,6.0,0.05622830044881027,1558.183936,5.0,0.17118299601998477,1368.39168,4.0,0.17118299601998477,1368.39168,4.0,0.4525362012024727,903.872512,3.0
comet-stampede2-745-1540091863818.log,0.015196328403875557,1739.5875839999999,5.0,0.015196328403875557,1739.5875839999999,5.0,0.015196328403875557,1739.5875839999999,5.0,0.22070372259051493,1335.3615360000001,4.0,0.4535441101478837,936.378368,3.0
comet-stampede2-745-1540071456118.log,0.006749091626522888,1407.71328,5.0,0.006749091626522888,1407.71328,5.0,0.006749091626522888,1407.71328,5.0,0.006749091626522888,1407.71328,5.0,0.4280946352531115,810.549248,3.0
comet-stampede2-745-1539929526727.log,0.005817404725157359,1480.589312,14.0,0.05401875816217486,1392.5089280000002,7.0,0.1316633028612133,1278.214144,6.0,0.29977442716371844,1030.750208,5.0,0.3553365784162412,948.96128,3.0
comet-stampede2-745-1540116748207.log,0.019662863391585933,2591.031296,9.0,0.019662863391585933,2591.031296,9.0,0.19491612849980408,2045.771776,5.0,0.19491612849980408,2045.771776,5.0,0.4047496234551345,1512.57088,4.0
comet-stampede2-745-1540066385924.log,0.0020429641552649567,1690.3045120000002,6.0,0.08623785055407651,1547.6981759999999,5.0,0.08623785055407651,1547.6981759999999,5.0,0.2691760044573762,1237.843968,4.0,0.41001671516127025,999.292928,3.0
comet-stampede2-745-1540113287549.log,0.0251147065926103,1780.4820479999998,8.0,0.08898816710939399,1582.301184,6.0,0.13668196087901477,1499.46368,5.0,0.27825404491668687,1253.572608,4.0,0.43552282057474045,980.41856,3.0
comet-stampede2-745-1540141682646.log,0.021221054127006683,1386.217472,14.0,0.052120329592271544,1428.160512,13.0,0.16953757636027852,1587.5440640000002,5.0,0.2092360420514278,1073.3922986666666,4.0,0.2092360420514278,1073.3922986666666,4.0
comet-stampede2-745-1539970560005.log,0.010359536867763596,60.817408,9.0,0.07495429616087747,66.060288,5.0,0.1895185862279098,49.80736,4.0,0.1895185862279098,49.80736,4.0,0.40280316879951256,36.70016,3.0
comet-stampede2-745-1540085124367.log,0.037963376507369175,2258.632704,12.0,0.037963376507369175,2258.632704,12.0,0.16837874050915577,1952.448512,6.0,0.2081286288521661,1859.1252479999998,5.0,0.4419383653416703,1310.195712,4.0
comet-stampede2-745-1540048913430.log,0.0046202657148521524,1831.8622719999998,6.0,0.09946460440214154,1642.0700160000001,5.0,0.09946460440214154,1642.0700160000001,5.0,0.09946460440214154,1642.0700160000001,5.0,0.4962522308149911,918.552576,3.0
comet-stampede2-745-1540066811181.log,0.013150598114552646,2554.331136,9.0,0.013150598114552646,2554.331136,9.0,0.013150598114552646,2554.331136,9.0,0.2467915709419314,1898.9711360000001,5.0,0.41273865166759094,1480.589312,4.0
comet-stampede2-745-1539960307814.log,0.036867787158237256,869.269504,3.0,0.036867787158237256,869.269504,3.0,0.036867787158237256,869.269504,3.0,0.036867787158237256,869.269504,3.0,0.036867787158237256,869.269504,3.0
comet-stampede2-745-1540146783965.log,0,447.49728426666667,30.0,0.05678356635163636,472.907776,4.0,0.05678356635163636,472.907776,4.0,0.05678356635163636,472.907776,4.0,0.05678356635163636,472.907776,4.0
comet-stampede2-745-1540136986021.log,0.044371388316010764,1635.77856,6.0,0.044371388316010764,1635.77856,6.0,0.044371388316010764,1635.77856,6.0,0.044371388316010764,1635.77856,6.0,0.3430053294672573,1124.59776,5.0
comet-stampede2-745-1539973576845.log,0.028971028971028996,108.00332800000001,6.0,0.050949050949050965,99.61472,5.0,0.050949050949050965,99.61472,5.0,0.2657342657342658,77.070336,4.0,0.4705294705294706,55.574528,3.0
comet-stampede2-745-1539912315093.log,0.04936572672454772,1465.909248,5.0,0.04936572672454772,1465.909248,5.0,0.18295093452097974,1141.374976,4.0,0.18295093452097974,1141.374976,4.0,0.4227737883754097,806.354944,3.0
comet-stampede2-745-1540134086483.log,0.023003721903784836,1719.66464,5.0,0.023003721903784836,1719.66464,5.0,0.023003721903784836,1719.66464,5.0,0.2024937448451286,1340.6044160000001,4.0,0.4928646183489164,852.492288,3.0
comet-stampede2-745-1539998896894.log,0.025858088348468655,1397.751808,5.0,0.025858088348468655,1397.751808,5.0,0.025858088348468655,1397.751808,5.0,0.20193935662613507,1087.373312,4.0,0.39048791750038475,830.472192,3.0
comet-stampede2-745-1539903069871.log,0.041372825575928654,929.0383360000001,15.0,0.08439116125999062,816.840704,14.0,0.19840150446638444,715.1288320000001,5.0,0.19840150446638444,715.1288320000001,5.0,0.4252468265162199,512.7536640000001,4.0
comet-stampede2-745-1540016873860.log,0.04612108599912857,688.914432,9.0,0.08236945264482433,781.713408,4.0,0.08236945264482433,781.713408,4.0,0.20940812079562532,873.463808,3.0,0.20940812079562532,873.463808,3.0
comet-stampede2-745-1540006294526.log,0.043365746549560755,1395.130368,4.0,0.043365746549560755,1395.130368,4.0,0.043365746549560755,1395.130368,4.0,0.21816185696361362,1045.430272,3.0,0.21816185696361362,1045.430272,3.0
comet-stampede2-745-1540094425844.log,0.012942573619693669,2337.275904,6.0,0.07803788168515148,2183.1352319999996,5.0,0.07803788168515148,2183.1352319999996,5.0,0.07803788168515148,2183.1352319999996,5.0,0.3926652040015298,1438.1219839999999,4.0
comet-stampede2-745-1539952650943.log,0.007992365501610532,1772.09344,11.0,0.007992365501610532,1772.09344,11.0,0.1745198616247166,1451.229184,5.0,0.1745198616247166,1451.229184,5.0,0.4381486341405224,987.758592,3.0
comet-stampede2-745-1540138696205.log,0.03297617809216693,694.157312,3.0,0.03297617809216693,694.157312,3.0,0.03297617809216693,694.157312,3.0,0.03297617809216693,694.157312,3.0,0.03297617809216693,694.157312,3.0
comet-stampede2-745-1540058589308.log,0.03318174500965893,2190.4752639999997,5.0,0.03318174500965893,2190.4752639999997,5.0,0.03318174500965893,2190.4752639999997,5.0,0.28958065035415337,1609.56416,4.0,0.28958065035415337,1609.56416,4.0
comet-stampede2-745-1539992224440.log,0.027372672201032438,1212.153856,4.0,0.027372672201032438,1212.153856,4.0,0.027372672201032438,1212.153856,4.0,0.26463989230424073,916.455424,3.0,0.26463989230424073,916.455424,3.0
comet-stampede2-745-1540136208446.log,0.024441813261163552,806.354944,5.0,0.0586941813261162,778.043392,3.0,0.0586941813261162,778.043392,3.0,0.0586941813261162,778.043392,3.0,0.0586941813261162,778.043392,3.0
comet-stampede2-745-1540022974057.log,0.043212914656954406,339.738624,7.0,0.05207205433605674,336.592896,5.0,0.16133477704498472,297.795584,3.0,0.16133477704498472,297.795584,3.0,0.16133477704498472,297.795584,3.0
comet-stampede2-745-1540134880054.log,0.01814013082473521,1526.726656,5.0,0.01814013082473521,1526.726656,5.0,0.01814013082473521,1526.726656,5.0,0.2194348910917795,1213.7267200000001,4.0,0.4679344527614808,827.326464,3.0
comet-stampede2-745-1539991107229.log,0.02883720930232554,25.165824,7.0,0.02883720930232554,25.165824,7.0,0.1502325581395348,22.020096000000002,5.0,0.1502325581395348,22.020096000000002,5.0,0.3390697674418605,17.12674133333333,4.0
comet-stampede2-745-1539918180736.log,0.005586592178771086,75.497472,5.0,0.005586592178771086,75.497472,5.0,0.005586592178771086,75.497472,5.0,0.21787709497206686,58.720256000000006,4.0,0.3016759776536312,52.4288,3.0
