file_name,error_rate,mean_estimation,required_seconds,error_rate,mean_estimation,required_seconds,error_rate,mean_estimation,required_seconds,error_rate,mean_estimation,required_seconds,error_rate,mean_estimation,required_seconds
stampede2-psc-000-1542560841894.log,0.013513513513513173,2306.8671999999997,25.0,0.07862407862407879,2097.152,6.0,0.07862407862407879,2097.152,6.0,0.07862407862407879,2097.152,6.0,0.3366093366093368,1509.9494399999999,5.0
stampede2-psc-000-1542475509717.log,0,2197.8152959999998,30.0,0.08778625954198481,2390.75328,9.0,0.14122137404580146,1887.4368,8.0,0.14122137404580146,1887.4368,8.0,0.40839694656488545,1300.23424,5.0
stampede2-psc-000-1542460842793.log,0.023529411764705816,1216.34816,26.0,0.058823529411764726,1258.2912000000001,8.0,0.058823529411764726,1258.2912000000001,8.0,0.25882352941176473,880.80384,7.0,0.4352941176470589,671.0886399999999,6.0
stampede2-psc-000-1542414533240.log,0.04176904176904165,2181.0380800000003,7.0,0.04176904176904165,2181.0380800000003,7.0,0.04176904176904165,2181.0380800000003,7.0,0.2444717444717445,1719.66464,6.0,0.37346437346437344,1426.06336,5.0
stampede2-psc-000-1542557588553.log,0,2264.9241600000005,30.0,0.09259259259259281,2055.20896,8.0,0.09259259259259281,2055.20896,8.0,0.09259259259259281,2055.20896,8.0,0.4444444444444446,1258.2912,5.0
stampede2-psc-000-1542482802949.log,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
stampede2-psc-000-1542474946643.log,0.03904282115868996,2306.8671999999997,9.0,0.03904282115868996,2306.8671999999997,9.0,0.11209068010075565,1971.3228800000002,8.0,0.28211586901763225,1593.83552,7.0,0.4143576826196474,1300.23424,5.0
stampede2-psc-000-1542515868468.log,0,2185.2323840000004,30.0,0.05950095969289846,2055.20896,8.0,0.05950095969289846,2055.20896,8.0,0.27063339731285996,1593.83552,7.0,0.4433781190019195,1216.34816,5.0
stampede2-psc-000-1542476178245.log,0.020942408376963505,2181.0380800000003,6.0,0.020942408376963505,2181.0380800000003,6.0,0.020942408376963505,2181.0380800000003,6.0,0.2539267015706806,1593.83552,5.0,0.2539267015706806,1593.83552,5.0
stampede2-psc-000-1542455816318.log,0,2069.1899733333335,30.0,0.07432432432432422,2222.98112,9.0,0.07432432432432422,2222.98112,9.0,0.2094594594594595,1635.77856,8.0,0.4729729729729729,1090.5190400000001,6.0
stampede2-psc-000-1542414613502.log,0,2217.388714666667,30.0,0.07818411097099598,2390.75328,7.0,0.11097099621689804,1971.32288,6.0,0.11097099621689804,1971.32288,6.0,0.3190416141235814,1509.94944,5.0
stampede2-psc-000-1542494946969.log,0.04575163398692798,1342.1772799999999,8.0,0.04575163398692798,1342.1772799999999,8.0,0.11764705882352944,1132.46208,7.0,0.11764705882352944,1132.46208,7.0,0.3790849673202614,796.91776,6.0
stampede2-psc-000-1542456814340.log,0,1235.9215786666668,30.0,0.08597285067873296,1342.17728,7.0,0.11764705882352944,1090.5190400000001,6.0,0.11764705882352944,1090.5190400000001,6.0,0.35520361990950233,796.91776,5.0
stampede2-psc-000-1542576161029.log,0,2372.577962666667,30.0,0.08073070123747819,2181.03808,6.0,0.08073070123747819,2181.03808,6.0,0.08073070123747819,2181.03808,6.0,0.3282262816735417,1593.83552,5.0
stampede2-psc-000-1542425371098.log,0,1445.6367786666665,30.0,0.07156673114119919,1342.1772799999999,8.0,0.07156673114119919,1342.1772799999999,8.0,0.07156673114119919,1342.1772799999999,8.0,0.47775628626692446,754.97472,5.0
stampede2-psc-000-1542436467442.log,0.015283842794759422,1300.23424,6.0,0.015283842794759422,1300.23424,6.0,0.015283842794759422,1300.23424,6.0,0.015283842794759422,1300.23424,6.0,0.3449781659388649,838.8608,5.0
stampede2-psc-000-1542416698478.log,0.017305315203955455,2222.98112,6.0,0.017305315203955455,2222.98112,6.0,0.017305315203955455,2222.98112,6.0,0.29542645241038307,1593.83552,5.0,0.29542645241038307,1593.83552,5.0
stampede2-psc-000-1542493158821.log,0.010638297872340396,1300.23424,9.0,0.07446808510638295,1216.34816,8.0,0.07446808510638295,1216.34816,8.0,0.2659574468085106,964.68992,7.0,0.4893617021276595,671.08864,5.0
stampede2-psc-000-1542415946279.log,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
stampede2-psc-000-1542499998165.log,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
stampede2-psc-000-1542532837811.log,0,173.36456533333336,30.0,0,173.36456533333336,30.0,0,173.36456533333336,30.0,0,173.36456533333336,30.0,0.4516129032258063,251.65824,10.0
stampede2-psc-000-1542472341169.log,0.0262172284644195,2181.0380800000003,6.0,0.0262172284644195,2181.0380800000003,6.0,0.0262172284644195,2181.0380800000003,6.0,0.2696629213483146,1635.7785600000002,5.0,0.2696629213483146,1635.7785600000002,5.0
stampede2-psc-000-1542450609281.log,0.026717557251908424,2139.09504,8.0,0.026717557251908424,2139.09504,8.0,0.026717557251908424,2139.09504,8.0,0.29389312977099247,1551.89248,7.0,0.48473282442748106,1132.4620799999998,5.0
stampede2-psc-000-1542422874174.log,0.03761061946902645,1216.34816,8.0,0.03761061946902645,1216.34816,8.0,0.03761061946902645,1216.34816,8.0,0.23672566371681406,964.68992,7.0,0.4026548672566371,754.97472,5.0
